OID,FID_,X,Y,BCE_Manuka
172,172,1759240.985913803,5910745.51533401,0.140897439
173,173,1749483.791074817,5910882.923919955,-0.764679479
174,174,1753599.289827004,5910779.690054517,-0.090724999
175,175,1749439.446233102,5910843.97493388,-0.869224507
176,176,1753632.606543929,5910777.872126962,-0.28997241
177,177,1753894.947434633,5910754.395344542,2.275749975
178,178,1753881.797633753,5910736.705874559,2.674590178
179,179,1754334.769379535,5910762.610174539,-0.296124483
180,180,1753388.85326478,5910700.08768515,-0.505285702
181,181,1754317.977463064,5910691.881265079,-0.245437501
182,182,1758334.122426008,5910612.93167993,0.205375
183,183,1758422.129583646,5910611.287399266,-0.273624995
184,184,1759101.724118938,5910602.996222078,0.965137608
185,185,1753366.468875484,5910692.895382923,-0.414054639
186,186,1758433.947354951,5910591.240475658,0.967741938
187,187,1759154.901315131,5910593.688183647,0.999256294
188,188,1758298.014829241,5910533.825282517,0.479333339
189,189,1758414.557882466,5910535.56280909,0.717356331
190,190,1749228.190783428,5910677.621171083,-0.839380276
191,191,1749212.072961633,5910667.760933587,-0.805078102
192,192,1758415.897118051,5910491.763516187,0.597812495
193,193,1762313.411341528,5910429.059692548,0.381546213
194,194,1758427.525630932,5910471.606433417,0.380749995
195,195,1759038.605793248,5910536.15683132,0.734660804
196,196,1749122.817894455,5910620.2458134,-0.869866665
197,197,1759018.993087055,5910430.635333867,1.01592435
198,198,1758570.787481039,5910429.050991642,-0.074249999
199,199,1758506.598682666,5910420.279966343,0.835606695
200,200,1758986.837017992,5910417.827542132,1.017115385
201,201,1758482.411608078,5910410.76161958,0.364567899
202,202,1759522.453412161,5910391.277201974,0.836749979
203,203,1749088.272923949,5910600.689752513,-0.667481447
204,204,1762195.508332077,5910355.337344908,0.567406126
205,205,1749049.590719899,5910551.745785698,-0.712674985
206,206,1757177.040285151,5910395.156183838,-0.219583334
207,207,1758297.660864289,5910374.329370974,0.197624999
208,208,1758825.679220521,5910364.464551331,0.129743589
209,209,1762382.069930809,5910358.04935032,0.285347096
210,210,1757197.43964185,5910384.808581895,0.254687501
211,211,1758777.491038543,5910355.396315332,0.216751053
212,212,1758689.301714448,5910347.075661651,0.10875
213,213,1758757.303931854,5910345.803912254,0.871812487
214,214,1758966.131478919,5910359.87424525,0.669420687
215,215,1757097.067215472,5910366.726734397,-0.265375001
216,216,1757227.070712222,5910354.396602759,-0.073750004
217,217,1757600.31381571,5910347.427222485,0.779799992
218,218,1757576.711230582,5910337.895393033,1.217249997
219,219,1757089.097280037,5910336.964865695,-0.225370375
220,220,1757247.934626375,5910334.02343516,0.003076922
221,221,1757552.525774594,5910328.374542696,1.220374985
222,222,1757615.944088127,5910327.197020706,0.919799995
223,223,1758224.543502585,5910315.872388892,0.372222219
224,224,1758936.563219329,5910302.568327527,0.512051276
225,225,1748984.189866828,5910473.138329695,-0.724024983
226,226,1756784.322316805,5910332.630536166,0.090625
227,227,1757644.342978971,5910316.699482989,0.436937498
228,228,1757840.347953382,5910313.05660642,0.605750001
229,229,1757876.348862838,5910312.386991476,0.306518985
230,230,1748976.027599485,5910464.039079767,-0.771254905
231,231,1757080.144806734,5910317.190684815,-0.104874999
232,232,1757536.048574015,5910312.795141751,1.346799991
233,233,1757632.157631381,5910306.955953854,0.713250017
234,234,1757816.162020989,5910303.536391679,0.784358985
235,235,1758180.17087118,5910296.759675529,-0.203812496
236,236,1758928.18977514,5910282.785364493,0.639125
237,237,1757275.360558965,5910312.913423204,0.203927712
238,238,1757519.97000767,5910299.068938025,0.935249994
239,239,1757799.976328027,5910293.867365004,1.166875007
240,240,1757043.775147101,5910297.923865807,-0.008250003
241,241,1757060.597988166,5910306.144860336,-0.102588832
242,242,1757303.780496657,5910293.108727654,0.72491667
243,243,1757701.713002884,5910289.069892373,0.786802511
244,244,1757783.790701441,5910284.198192635,0.478249993
245,245,1748931.921892999,5910434.761966016,-0.744908258
246,246,1756399.578830186,5910299.849629635,-0.424444437
247,247,1757019.590266068,5910288.401412395,-0.050949365
248,248,1757323.596162363,5910282.771474023,0.468062504
249,249,1758151.613015909,5910267.382037975,-0.013124999
250,250,1756999.405513622,5910278.804897503,0.021
251,251,1757335.411717626,5910272.582412361,0.537341772
252,252,1757503.506132026,5910274.452833218,1.113630576
253,253,1758131.427080708,5910257.78808627,0.864312501
254,254,1748887.139840154,5910415.024611732,-0.707799995
255,255,1748903.139894892,5910414.743913233,-0.601249999
256,256,1756466.32666205,5910282.32752583,0.127500001
257,257,1756967.804046964,5910269.419348431,0.142399998
258,258,1758103.240960472,5910248.343023808,-0.01925
259,259,1748872.271952971,5910404.407279808,-0.654432921
260,260,1756643.031333562,5910265.45012175,0.702327048
261,261,1756916.285368683,5910281.681016595,0.276379822
262,262,1758079.054585288,5910238.823828559,0.072625
263,263,1748726.837718392,5910397.829591964,0.270898732
264,264,1756606.846884978,5910256.147991443,0.233125
265,265,1756626.847160272,5910255.778903287,0.402312502
266,266,1756558.662372973,5910247.067085299,0.286000006
267,267,1748689.087431947,5910378.197458467,0.111657148
268,268,1748714.544396183,5910383.135999285,0.195634948
269,269,1748781.907207803,5910383.980359164,-0.362403115
270,270,1756573.57222435,5910241.042891686,0.349397997
271,271,1757446.489227832,5910220.672726424,0.902750009
272,272,1757476.785392662,5910232.449213121,1.04426987
273,273,1756582.294906972,5910226.691274553,0.764250004
274,274,1748663.851961552,5910358.005489553,0.352473683
275,275,1757427.575818016,5910207.730302657,1.176124979
276,276,1748656.657415657,5910346.625808795,0.430374997
277,277,1756907.813670552,5910201.863587009,1.130122385
