FID,X,Y,BCE_Kaipara_Harbour_System_Seagrass
289,1711058.629554561804980,5999116.479700907133520,
290,1725784.532743629999459,5998917.452097968198359,-0.628963634000000
291,1725201.707463509868830,5998922.027505156584084,-0.956977596000000
292,1726001.358129845932126,5998921.413914841599762,0.423119771000000
293,1726114.357945188181475,5998904.327527674846351,0.743882667000000
294,1726398.772827838314697,5998903.950693024322391,0.144963603000000
295,1727593.535309482598677,5998870.157973282039165,-0.837636369000000
296,1724716.648861279711127,5998896.585854304023087,-0.930509436000000
297,1724968.949629980605096,5998899.806956328451633,-0.963434228000000
298,1725015.533552418928593,5998893.242150203324854,-0.962000012000000
299,1725473.470922311535105,5998892.418117351830006,-0.924777658000000
300,1692706.633873798651621,5999288.377727729268372,0.410125588000000
301,1709415.675165032967925,5999114.760670944117010,-0.961499989000000
302,1710977.406720406142995,5999072.865016185678542,
303,1724894.482647888828069,5998896.054948298260570,-0.950202728000000
304,1725443.731733268359676,5998876.735460166819394,-0.927277818000000
305,1726272.725129902828485,5998882.780066671781242,0.360399678000000
306,1692720.431430305587128,5999275.514941255562007,0.842506336000000
307,1709429.751645301701501,5999072.836385960690677,-0.911999967000000
308,1724990.859828305197880,5998863.694731764495373,-0.963000000000000
309,1725305.485469398554415,5998849.019975266419351,-0.947040026000000
310,1725590.267670900793746,5998844.022456810809672,-0.908538917000000
311,1727573.074680148158222,5998816.203150215558708,-0.856475025000000
312,1710961.173188491258770,5999048.077417950145900,
313,1711081.586402606684715,5999031.983910488896072,0.772043480000000
314,1724893.591071297880262,5998845.152122815139592,-0.958854539000000
315,1725354.462988344253972,5998841.088840639218688,-0.940083330000000
316,1711097.835198440589011,5999021.302596746943891,1.076524990000000
317,1709404.635975421406329,5999037.685525102540851,
318,1711023.164792424766347,5999049.635571043007076,-0.902961499000000
319,1724762.747629316523671,5998838.864060734398663,-0.939971757000000
320,1724804.564958657836542,5998826.289553240872920,-0.954047612000000
321,1725090.763850172748789,5998869.024866471067071,-0.959723853000000
322,1725351.676741408882663,5998887.276372200809419,-0.940943816000000
323,1724820.586492044618353,5998816.093863893300295,-0.955865858000000
324,1724917.569695035694167,5998814.707785809412599,-0.964554196000000
325,1725450.967720426619053,5998806.338124973699450,-0.927038447000000
326,1707866.195527337491512,5999034.144209307618439,0.649716011000000
327,1711057.653489376883954,5998997.462266204878688,-0.952599967000000
328,1707833.004842726746574,5999026.053158991038799,-0.187000002000000
329,1711129.546746036270633,5998980.895279821939766,0.790402603000000
330,1725612.273134948918596,5998804.976494112052023,-0.893979058000000
331,1725820.240417134948075,5998781.820914329960942,-0.875791210000000
332,1710969.294615454738960,5998991.643092309124768,
333,1711102.686054403893650,5998977.178942721337080,0.397240123000000
334,1725774.577140288660303,5998774.182772673666477,-0.883714293000000
335,1711141.005487240152434,5998965.154345616698265,0.494537414000000
336,1724832.118491583969444,5998783.533965441398323,-0.919427283000000
337,1707791.521989921107888,5998992.956770570948720,0.405379308000000
338,1710932.245050242869183,5998964.171108230017126,
339,1711112.951307399664074,5998951.547946919687092,-0.393109090000000
340,1724860.933940793620422,5998794.776036149822176,0.049672482000000
341,1725845.891307930694893,5998752.258758093230426,-0.871979173000000
342,1727580.065463603241369,5998741.349051876924932,-0.861843247000000
343,1709391.951865457929671,5998992.996823032386601,
344,1709451.439257112564519,5999009.007391063496470,0.678038637000000
345,1710595.723072513472289,5998923.027859723195434,
346,1711165.246926163323224,5998930.370768344961107,0.766499376000000
347,1727574.751996238483116,5998691.027410660870373,-0.832600003000000
348,1710595.712893024552613,5998898.112545938231051,
349,1709495.890372744528577,5998901.999906156212091,0.841824992000000
350,1724835.585865078726783,5998710.812810949049890,0.361738462000000
351,1726522.326500777620822,5998973.523228936828673,-0.822942117000000
352,1709488.836673554033041,5998881.670574468560517,1.810711961000000
353,1710935.781128459377214,5998892.558776060119271,
354,1711203.593907778849825,5998883.046554632484913,1.077846224000000
355,1710974.393220002995804,5998848.462825787253678,
356,1724842.625018870225176,5998661.293606499210000,0.916033856000000
357,1710546.222966125234962,5998836.088487375527620,-0.191397345000000
358,1710594.366765012266114,5998838.332528343424201,
359,1710909.263255868805572,5998824.575551845133305,
360,1710925.426499870605767,5998824.370344729162753,
361,1710586.032874309923500,5998818.505658661946654,
362,1710960.520997655112296,5998820.232778841629624,
363,1727581.850809128489345,5998586.835421816445887,-0.810200000000000
364,1711280.489385144785047,5998800.829263540916145,1.366435482000000
365,1727980.811221970710903,5998569.948199450038373,-0.605115043000000
366,1728057.921184341423213,5998562.990393573418260,0.512885856000000
367,1709397.441164341289550,5998808.554678038693964,-0.844786890000000
368,1711005.676016259472817,5998788.268234374001622,
369,1710577.509834124241024,5998783.731918687932193,
370,1724825.983004080364481,5998586.780184010043740,-0.763499931000000
371,1728097.978585619013757,5998543.931621406227350,0.916837219000000
372,1710569.239085520152003,5998768.887329184450209,
373,1710924.667382632149383,5998764.582827346399426,
374,1710997.625337991863489,5998768.438136602751911,
375,1724779.329085849458352,5998611.221363958902657,
376,1728114.333670954918489,5998528.962652797810733,0.826937487000000
377,1710496.403422934701666,5998759.821987670846283,-0.225564100000000
378,1727641.386892383685336,5998555.139274517074227,0.717455699000000
379,1727880.731896285200492,5998521.567029893398285,-0.836923097000000
380,1728095.336777771357447,5998518.934971022419631,-0.797533341000000
381,1728125.181454709032550,5998518.477949892170727,0.405097011000000
382,1710561.494590220740065,5998749.052984857931733,
383,1724719.744220636319369,5998558.598288046196103,
384,1724839.878855322720483,5998571.912513520568609,0.839949151000000
385,1709485.303395756287500,5998760.958376450464129,0.283727272000000
386,1709511.467368195066229,5998770.348306560888886,1.588298553000000
387,1710975.822635466698557,5998738.761478508822620,
388,1724803.234742290573195,5998551.143317546695471,
389,1727667.245512472232804,5998498.351795196533203,-0.068601820000000
390,1724485.940094549674541,5999529.200640781782568,-0.879678115000000
391,1728165.280391221400350,5998493.067954079248011,0.695781761000000
392,1709389.394318555947393,5998741.781790602952242,
393,1710939.310250972630456,5998710.549585486762226,
394,1727704.087635607691482,5998474.678328631445765,0.149856062000000
395,1724638.216365256113932,5998509.927844177931547,
396,1709638.791777399601415,5998700.804213561117649,3.103174967000000
397,1710939.818197138374671,5998684.660889585502446,
398,1710968.327258989214897,5998689.080762876197696,
399,1727668.697233421960846,5998456.197551196441054,-0.774685185000000
400,1727722.736198383849114,5998457.276826695539057,-0.174109998000000
401,1728194.609661264345050,5998438.327655183151364,0.954999996000000
402,1724612.148572404403239,5998505.423362162895501,
403,1709383.198025024961680,5998684.639532459899783,
404,1709404.122217393713072,5998673.928251971490681,
405,1724792.974331024335697,5998473.574341416358948,
406,1727636.093733322806656,5998426.572195951826870,-0.772074999000000
407,1692934.184825162170455,5998854.692946711555123,0.420599994000000
408,1724774.887081085238606,5998457.740469262003899,
409,1710955.508930948330089,5998634.429498082026839,-0.983250037000000
410,1724702.016106086317450,5998449.216513045132160,
411,1728203.919965434586629,5998409.584024426527321,0.798783009000000
412,1710947.300932059064507,5998624.567548505030572,
413,1724636.792100874241441,5998439.979394637048244,
414,1692943.123801731504500,5998824.607755973003805,0.570174756000000
415,1711008.865180606488138,5998615.480196516029537,0.404066668000000
416,1728219.376952297287062,5998374.908057142049074,0.849673689000000
417,1692955.004784675780684,5998793.495329998433590,0.802111093000000
418,1707706.428845535730943,5998629.846076259389520,1.235035723000000
419,1709604.427204586565495,5998673.660851203836501,0.932904446000000
420,1710995.561667379224673,5998585.267562423832715,0.194498181000000
421,1724701.020359119866043,5998379.463082858361304,
422,1724811.165934100979939,5998403.794725435785949,
423,1724641.141672370955348,5998387.717400613240898,
424,1710913.247268937760964,5998535.304208946414292,
425,1709444.699488149490207,5998561.025227754376829,
426,1709507.548110079718754,5998542.345920261926949,
427,1710542.557491863844916,5998530.036680736579001,
428,1709450.863056603586301,5998533.816887667402625,
429,1709495.310322920326144,5998533.259879161603749,
430,1709514.924363467609510,5998533.014008786529303,
431,1709524.375828118762001,5998498.612449545413256,
432,1710541.166123468428850,5998496.291739050298929,
433,1724639.927372223464772,5998298.439641080796719,
434,1710532.626027946360409,5998430.500539144501090,
435,1724899.898699946701527,5998225.646673546172678,4.935315810000000
436,1709562.341396092437208,5998426.114990849979222,
437,1710895.548754622694105,5998410.386956326663494,-0.981666625000000
438,1710548.410208058543503,5998400.402250554412603,
439,1724908.443532417993993,5998209.764756944961846,2.271109571000000
440,1709578.510138707235456,5998394.628666152246296,
441,1693036.270136680919677,5998574.572094916366041,-0.623409048000000
442,1709602.532775332685560,5998382.423107958398759,
443,1710887.221245375461876,5998371.192373104393482,
444,1710563.847108108457178,5998365.325229947455227,
445,1709602.871969939442351,5998362.486561400815845,
446,1710873.349065050249919,5998353.668080369010568,
447,1724908.325851721223444,5998156.828953593969345,0.456200007000000
448,1724948.274063371354714,5998156.108647186309099,1.070068504000000
449,1693051.942267869831994,5998544.309215309098363,-0.156438584000000
450,1710862.828330786665902,5998337.347005237825215,
451,1710644.666989590739831,5998329.621371792629361,
452,1724630.287146138027310,5998161.726748701184988,
453,1724925.903595092007890,5998146.157063056714833,0.499604813000000
454,1710983.783350450452417,5998315.152068420313299,0.893549993000000
455,1724939.871794452657923,5998126.882425433024764,0.350472718000000
456,1709773.704321424476802,5998333.867106959223747,0.743502381000000
457,1710853.769313093507662,5998306.836681299842894,
458,1710945.366700220154598,5998351.963038778863847,0.571509771000000
459,1724987.984360322589055,5998115.439657239243388,1.067914266000000
460,1709617.636576336808503,5998327.302229323424399,
461,1709786.556950173107907,5998309.887169127352536,1.225129044000000
462,1710556.763637065887451,5998315.172917156480253,
463,1710999.665047257905826,5998294.983731508255005,0.914164554000000
464,1693084.389910908648744,5998484.369829501025379,0.780509086000000
465,1710643.752893212484196,5998283.946411720477045,
466,1725010.575387386139482,5998089.535624646581709,2.679181839000000
467,1724628.522192848613486,5998101.268881082534790,
468,1710567.207855483982712,5998271.009063160046935,
