OID,FID_,X,Y,BCE_Mahura
181,181,1752661.347195836,5966783.739101708,-9999.0
182,182,1753738.921570012,5966769.163331129,-0.074843846
183,183,1753064.614561758,5966776.229420776,0.133465287
184,184,1752683.453685546,5966743.070197744,-0.80103452
185,185,1752747.344387159,5966749.821642837,-9999.0
186,186,1753548.534013252,5966734.291732793,-0.532222227
187,187,1753847.298901981,5966726.055684423,-0.848187517
188,188,1753443.82964466,5966722.381151884,0.14886004
189,189,1753123.901354804,5966722.956087646,0.013311938
190,190,1753406.939907709,5966702.94693618,-0.217349515
191,191,1753340.422343113,5966692.697883741,-0.093254889
192,192,1753510.843373837,5966699.558134044,-0.228596639
193,193,1753121.299888164,5966691.867236638,-0.885173906
194,194,1753138.323155345,5966685.584435973,-9999.0
195,195,1753372.494791532,5966684.28147405,-0.416535081
196,196,1753828.426114232,5966673.042107879,0.273349996
197,197,1752897.147369454,5966679.884363236,-9999.0
198,198,1753841.704037873,5966645.812091012,0.403294638
199,199,1753859.903275729,5966624.737366454,0.312010172
200,200,1753166.036101508,5966625.280709418,-9999.0
201,201,1753693.338230185,5966616.123561102,-9999.0
202,202,1753475.734542767,5966610.020585998,-0.965678593
203,203,1753220.083663876,5966606.877572098,-9999.0
204,204,1753387.223940439,5966606.405841806,-0.985290614
205,205,1753439.913898353,5966601.070534585,-0.980531631
206,206,1753676.878235538,5966596.478516673,-9999.0
207,207,1753503.812980623,5966594.367633329,-0.987674403
208,208,1753211.832673198,5966584.593999795,-9999.0
209,209,1753410.940302138,5966581.062995231,-9999.0
210,210,1753904.430394455,5966581.794421805,0.191385151
211,211,1753201.224755284,5966574.612002537,-9999.0
212,212,1753651.891104174,5966571.234757552,-9999.0
213,213,1753680.28021853,5966571.606298572,-9999.0
214,214,1753936.899028057,5966553.658870839,0.120458716
215,215,1753555.193640741,5966548.394268358,-9999.0
216,216,1753660.032939051,5966546.005721845,-9999.0
217,217,1754465.617763635,5966531.676992578,0.689117646
218,218,1753992.888588055,5966536.404327172,0.184862372
219,219,1754400.726890005,5966492.561339593,1.255892841
220,220,1753571.361224372,5966540.608335922,-9999.0
221,221,1753731.457543595,5966485.649776376,-9999.0
222,222,1753673.618962772,5966475.969430309,-9999.0
223,223,1753747.208509659,5966465.431989595,-9999.0
224,224,1754315.839482223,5966465.115334866,0.621384596
225,225,1753718.85305989,5966456.317882181,-9999.0
226,226,1753758.933056634,5966445.285784575,-9999.0
227,227,1753678.664056116,5966437.32841093,-9999.0
228,228,1754188.723562617,5966455.227551581,0.35980749
229,229,1753778.029437985,5966419.765294758,-9999.0
230,230,1753713.934451935,5966406.210713639,-9999.0
231,231,1753766.282909984,5966405.630174126,-9999.0
232,232,1753811.471542377,5966368.918427163,-9999.0
233,233,1753847.265738353,5966346.446586901,-9999.0
234,234,1754348.690476421,5966320.328918009,0.190812348
235,235,1753792.706300788,5966315.291299672,-9999.0
236,236,1754408.315015817,5966293.397455432,0.251707317
237,237,1753836.09668857,5966309.909232648,-9999.0
238,238,1753864.793255183,5966283.173853756,-9999.0
239,239,1754446.156568111,5966276.299110483,0.224574465
240,240,1753630.915411352,5966267.39602388,-9999.0
241,241,1753622.53260506,5966258.101875972,-9999.0
242,242,1753900.945372319,5966253.934739256,-9999.0
