OID,FID_,X,Y,BCE_Ruatan
246,246,1570624.917169391,5499439.721578878,0.502698114
247,247,1570653.891664181,5499475.358685246,0.365562158
248,248,1570844.433421652,5499440.381197893,0.729117645
249,249,1571832.045622483,5499444.393180674,-0.320207543
250,250,1571270.131017356,5499432.271534032,0.452711536
251,251,1571486.375513074,5499443.467114684,0.288512194
252,252,1571854.865254097,5499434.508198168,-0.317461537
253,253,1571870.053155506,5499434.565680531,-0.44416666
254,254,1571987.607216516,5499430.127706273,-0.278308827
255,255,1572584.051067741,5499434.288531208,-0.162736264
256,256,1570199.620233098,5499407.910189718,0.746742101
257,257,1571153.054410999,5499412.25227489,0.55695048
258,258,1571367.87000604,5499445.738880914,0.313837822
259,259,1572557.139910626,5499416.404963696,-0.209451924
260,260,1572615.018005817,5499425.584369515,-0.28131818
261,261,1570767.2764646,5499407.671094621,0.852376681
262,262,1571133.556037741,5499401.828247667,0.577615373
263,263,1571224.683091109,5499402.181520004,0.479000003
264,264,1571466.639102421,5499402.174394984,0.289051949
265,265,1571900.972731086,5499410.035451505,-0.27583948
266,266,1572471.448566725,5499407.433367902,-0.133222221
267,267,1572603.136074069,5499407.184632103,-0.311879998
268,268,1570169.304519389,5499392.831481351,0.882456524
269,269,1570993.659651273,5499391.689247248,0.668010001
270,270,1571025.832033145,5499406.472860294,0.807028256
271,271,1571059.884636546,5499397.471457704,0.797152635
272,272,1571289.079705694,5499397.548651324,0.382443907
273,273,1571441.34641407,5499455.822695253,0.304589703
274,274,1572492.332871682,5499414.582678248,-0.128140776
275,275,1572622.001103966,5499397.487223349,-0.316153837
276,276,1571255.447351616,5499382.357701515,0.404038458
277,277,1572983.31801315,5499401.985510984,0.783884124
278,278,1570134.007476106,5499369.821194388,1.036465706
279,279,1571078.665060875,5499376.007041108,0.63737187
280,280,1571145.615282382,5499372.337740294,0.642892144
281,281,1572022.157317424,5499375.311211066,-0.410169831
282,282,1571126.117024789,5499361.913692306,0.643576922
283,283,1572052.570359344,5499365.45419756,-0.300113217
284,284,1571222.365116841,5499371.155002868,0.418538121
285,285,1571425.598871514,5499364.976274404,0.23241579
286,286,1572091.939719687,5499356.161385017,-0.308605262
287,287,1572463.259190611,5499361.274768403,-0.433597375
288,288,1572653.972368402,5499365.540537615,-0.273105062
289,289,1572977.129920076,5499358.696473151,0.575147725
290,290,1571304.614169585,5499361.491152261,0.317132757
291,291,1571445.449630753,5499342.795272787,0.191115383
292,292,1572719.985777091,5499398.618305928,-0.097629376
293,293,1570110.467853148,5499338.828492019,0.625844211
294,294,1571176.329700723,5499347.048159447,0.514487352
295,295,1571247.872045623,5499337.252542339,0.368586815
296,296,1572490.244805104,5499353.426510259,-0.27972747
297,297,1571495.125419288,5499323.828994336,0.145586541
298,298,1571885.655850787,5499324.939216181,-0.134480773
299,299,1571031.056602673,5499314.57484758,0.521267379
300,300,1571047.652417555,5499342.950683787,0.606193358
301,301,1571272.488426727,5499317.355769645,0.339961929
302,302,1571316.156396281,5499312.792277482,0.314615382
303,303,1572959.936323164,5499335.429924695,0.367140443
304,304,1571825.018512919,5499294.795424666,-0.174326927
305,305,1571885.768977858,5499295.025417736,-0.201944447
306,306,1571923.775676334,5499285.197644911,-0.160634621
307,307,1571946.557069795,5499285.283648004,-0.117862742
308,308,1572645.186423466,5499287.887177613,-0.325528299
309,309,1572986.379908558,5499292.450949564,0.827983603
310,310,1570110.872592103,5499287.896785055,0.82369483
311,311,1570852.130197782,5499353.963382967,0.429920296
312,312,1571518.987401214,5499292.984413359,-0.018728839
313,313,1571657.70170293,5499268.457147246,-0.180428571
314,314,1571688.443886504,5499264.362324161,-0.183653846
315,315,1571878.288328028,5499265.08289587,-0.21496154
316,316,1570131.895795031,5499253.081259776,0.830285079
317,317,1571886.232824693,5499254.732551112,-0.234961534
318,318,1570798.073360664,5499246.86446467,0.598904351
319,319,1571665.738562661,5499244.332994946,-0.271326919
320,320,1570128.200474706,5499227.789711392,0.975770656
321,321,1570809.92589486,5499230.845937566,0.644500005
322,322,1570905.436690367,5499258.92075223,0.515166188
323,323,1570986.847337534,5499242.24813444,-0.120212839
324,324,1571676.927934205,5499233.618304903,-0.273584165
325,325,1571806.813171408,5499235.274870248,-0.116336637
326,326,1571837.188161146,5499235.390004481,-0.144737863
327,327,1571882.750645438,5499235.562473116,-0.234519232
328,328,1572679.465495999,5499286.770778987,-0.23079259
329,329,1571283.009799469,5499225.692749281,0.33928729
330,330,1572072.633621863,5499237.661393321,-0.346566099
331,331,1570144.861601033,5499214.132180857,0.400907838
332,332,1571234.900513055,5499219.958800479,0.240544943
333,333,1571346.916038448,5499213.196736444,0.237396224
334,334,1572804.911493659,5499218.673399767,-0.010207547
335,335,1571677.091204648,5499209.580177973,-0.126656865
336,336,1571756.092391368,5499222.334378211,-0.256331523
337,337,1571960.175693652,5499212.051153473,-0.33065123
338,338,1571333.167938112,5499193.731597669,0.419278147
339,339,1572038.020194829,5499195.885559631,-0.305113205
340,340,1572319.024439116,5499186.965817384,-9999.0
341,341,1572858.488248981,5499188.955005785,0.079346154
342,342,1572984.163340486,5499246.097874853,0.725283665
343,343,1571066.257048467,5499172.748209029,-0.129339998
344,344,1571658.448927832,5499164.533902372,-0.028773584
345,345,1571683.42744312,5499170.401793054,-0.068404081
346,346,1572349.821945783,5499157.166215776,-0.47773132
347,347,1572794.518009992,5499173.943798728,-0.044861219
348,348,1571619.099176809,5499135.137364882,-0.293240194
349,349,1572269.572826153,5499137.385396105,-0.143221156
350,350,1572715.4421216,5499139.105050568,-0.205908493
351,351,1572736.862018458,5499138.243957749,-0.162480767
352,352,1571438.735333301,5499113.835910052,-0.196096158
353,353,1571485.386320126,5499104.574284441,0.027647058
354,354,1571521.991953498,5499104.183910484,0.008057693
355,355,1572968.456426679,5499133.170808016,0.528390181
356,356,1572892.754363152,5499115.799451347,0.093759808
357,357,1570952.190512412,5499071.860431369,0.783062484
358,358,1571453.901658648,5499078.789709851,-0.138901567
359,359,1571491.732213877,5499074.153674702,-0.095826922
360,360,1571803.069170992,5499075.341147992,-0.150075467
361,361,1571818.256339174,5499075.398739959,-0.266196069
362,362,1572726.587442088,5499092.828249026,-0.292804904
363,363,1572949.700250912,5499079.602076886,0.172132072
364,364,1570800.91453657,5499060.567629774,0.930480777
365,365,1571119.68529801,5499062.74612336,0.63062745
366,366,1571704.528060383,5499069.776493809,-0.160298805
367,367,1572715.698310168,5499069.306175256,-0.33820001
368,368,1571090.059998885,5499052.455051895,0.911042547
369,369,1571863.964257219,5499066.194371327,-0.348384609
370,370,1570679.493131095,5499040.875546988,0.231800002
371,371,1570800.987146354,5499042.082475219,0.948553217
372,372,1570874.997869673,5499049.122682023,0.887192568
373,373,1571879.155895396,5499035.743717068,-0.280725479
374,374,1570666.660857693,5499023.773588791,0.4055
375,375,1571704.679880739,5499029.891411737,-0.312047745
376,376,1571750.103552921,5499025.282979599,-0.403322831
377,377,1571552.828194372,5499024.326163701,0.065577779
378,378,1572935.078675037,5499009.749051383,0.014230769
379,379,1571750.217236297,5498995.369166445,-0.275134611
380,380,1572813.307509452,5498999.333286976,-0.117153841
381,381,1571857.926471349,5498986.337005493,-0.27260893
382,382,1571795.991504206,5498980.381367346,-0.345549479
383,383,1571822.983369655,5498976.079447464,-9999.0
384,384,1572795.073537081,5498971.341215621,-0.181984894
385,385,1572832.952904808,5498969.867830331,-0.168800002
386,386,1571154.419191538,5498957.97656297,0.73140001
387,387,1571841.490357633,5498955.829820045,-0.404285706
388,388,1571914.180510098,5498956.481753102,-9999.0
389,389,1571941.567807252,5498956.738952118,-9999.0
390,390,1570621.832045977,5498954.407172464,0.454970085
391,391,1571858.763419355,5498948.360086233,-0.271214282
392,392,1572851.457104069,5498949.615702283,-0.20871699
393,393,1572919.361961579,5498977.886057681,-0.040770534
394,394,1571742.889068561,5498925.541401524,-0.03438889
395,395,1571887.962931252,5498932.697001209,-0.262188098
396,396,1572779.203162019,5498934.498218923,-0.198093138
397,397,1571754.472284392,5498915.757638698,-0.053881188
398,398,1571777.637363079,5498918.72270864,-0.098788061
399,399,1571808.792301315,5498921.428613208,-0.093701222
400,400,1572752.851901292,5498919.34070086,-0.115999998
401,401,1572904.72029558,5498919.895835547,-0.397323295
402,402,1571264.212683518,5498907.975450368,0.423764704
403,403,1571803.749990914,5498895.858263837,-0.127249999
404,404,1572799.884383652,5498890.129437934,0.105920531
405,405,1572824.909588858,5498894.779840501,-0.154612747
406,406,1572912.056379787,5498894.220323976,-0.530541273
407,407,1572745.44128582,5498869.456507094,0.221019601
408,408,1572918.152693755,5498869.888507762,-0.049918031
409,409,1571203.968253304,5499116.423407114,0.205867947
410,410,1571859.414326732,5498868.782332626,-0.231457192
411,411,1571941.98183329,5498847.054955725,-0.785132357
412,412,1572727.083335327,5498849.823288084,0.1955
413,413,1571576.176742242,5498835.163011588,0.105490568
414,414,1571981.935401315,5498837.50323897,-0.46652837
415,415,1571435.459658586,5498825.113074304,0.284221153
416,416,1571656.497077118,5498825.875230071,-0.028207922
417,417,1571909.108007626,5498837.315845161,-0.353664123
