OID,FID_,X,Y,BCE_Port_F
356,356,1807701.681986586,5992940.668099144,-0.176382378
357,357,1807720.73236036,5992950.581204081,-9999.0
358,358,1810125.462421618,5992882.610355306,-9999.0
359,359,1811765.562005359,5992842.941871801,-9999.0
360,360,1812460.174603144,5992835.852832985,0.373833327
361,361,1807709.52392414,5992930.509276195,-0.011100022
362,362,1807749.920096647,5992929.547123123,-9999.0
363,363,1811745.121626549,5992833.465922652,-9999.0
364,364,1811781.478479068,5992832.583220934,-0.751823492
365,365,1807717.571714912,5992921.648435333,-0.644039241
366,366,1810116.313857894,5992862.886284311,-9999.0
367,367,1807733.749153908,5992918.908358966,-0.629714308
368,368,1807760.011625742,5992904.040341934,0.297195122
369,369,1811836.59466985,5992831.325528748,-0.273135844
370,370,1810110.579625146,5992832.418100283,-9999.0
371,371,1811695.65490365,5992811.970485929,-0.326860065
372,372,1807885.010194175,5992831.593646932,0.306301886
373,373,1807901.049758664,5992826.225113332,0.016399997
374,374,1807849.950128841,5992868.21725333,0.251166824
375,375,1809928.0702126,5992717.835819576,-0.715568645
376,376,1807891.307552668,5992756.652922073,-0.579577485
377,377,1809065.143503101,5992658.787183054,-9999.0
378,378,1809962.675933049,5992678.825396793,0.263469861
379,379,1809045.113299773,5992652.620362592,-9999.0
380,380,1809101.260059845,5992647.948991179,0.41594998
381,381,1809117.179289766,5992637.595091892,0.634857116
382,382,1809125.019157459,5992627.435003785,-0.043661556
383,383,1809549.5500449,5992573.353067158,-9999.0
384,384,1807844.906470708,5992634.704613036,-0.041073382
385,385,1807860.061861807,5992595.073870288,-0.749481136
386,386,1809947.639913427,5992547.836445008,-9999.0
387,387,1807846.755490475,5992583.203292756,1.572084422
388,388,1809150.538436043,5992606.417145844,-0.485412296
389,389,1809163.263007906,5992536.768310358,1.046847443
390,390,1807902.713883839,5992556.93924623,-0.898000032
391,391,1807876.80503445,5992567.11933024,0.411562199
392,392,1807922.673376598,5992546.491356929,-9999.0
393,393,1809704.072173233,5992503.835706884,-0.748279041
394,394,1807894.385525905,5992543.178886413,0.23113889
395,395,1809680.184799226,5992494.438004511,0.953157889
396,396,1807912.074582471,5992534.634701962,-0.680717194
397,397,1808726.047011161,5992507.355284024,-9999.0
398,398,1808733.886795528,5992497.195359014,0.022086939
399,399,1808773.803977693,5992476.295734254,-0.662428593
400,400,1808781.644222407,5992466.135871927,-0.083333355
401,401,1808902.809577574,5992462.506976378,-9999.0
402,402,1808789.484650559,5992455.975759671,0.160736824
