OID,FID_,X,Y,BCE_Manaia
134,134,1815853.04498122,5919880.430287209,-0.922971223
135,135,1818335.469025727,5919814.235421417,-0.538757773
136,136,1818873.563756185,5919803.700337699,-0.175138294
137,137,1818766.219736763,5919800.426131552,0.183819908
138,138,1818318.935107422,5919794.71101464,-0.582787497
139,139,1819487.325993539,5919785.607032899,-0.170449611
140,140,1819968.546609195,5919759.633751612,0.19154054
141,141,1820077.436180444,5919749.442447705,0.505999995
142,142,1820107.582529345,5919754.064197938,0.526476435
143,143,1819924.961949199,5919743.407636539,0.106708862
144,144,1820025.104447168,5919740.820540667,0.307662499
145,145,1818746.743033224,5919783.731377459,-0.293525654
146,146,1818786.382556633,5919771.723660549,-0.341863067
147,147,1817016.326361947,5919798.087094177,-0.899999976
148,148,1820104.281053514,5919721.915472562,0.425482752
149,149,1818734.630769456,5919749.132984733,-0.469453414
150,150,1819947.985016139,5919703.643025234,0.485999992
151,151,1821005.050027033,5919679.966951987,1.02799092
152,152,1817006.96854962,5919768.403422573,-0.899999976
153,153,1818561.852043877,5919771.164288439,-0.297800511
154,154,1818617.669854217,5919727.402542492,-0.616890919
155,155,1818665.894407381,5919725.962649126,-0.80857499
156,156,1818717.967976258,5919724.625497271,-0.677811317
157,157,1820989.029399644,5919666.187429911,0.994142854
158,158,1821013.219984085,5919665.358253893,1.014125
159,159,1821020.991486295,5919655.909429575,1.062884638
160,160,1817384.211120226,5919763.767623978,-9999.0
161,161,1818677.166489556,5919707.234001988,-0.813234522
162,162,1819686.82554739,5919679.734945959,-0.276043752
163,163,1819774.692903345,5919667.492967631,-0.073387297
164,164,1817383.066017392,5919718.913710674,-9999.0
165,165,1820004.681279703,5919663.216707405,0.765168583
166,166,1820531.52406099,5919638.677669617,0.788076945
167,167,1820901.87704023,5919656.15371288,1.24992465
168,168,1817374.800429289,5919709.150575845,-0.361802802
169,169,1817190.453895335,5919704.082049332,-0.897925902
170,170,1817129.647708748,5919697.374425204,-0.899999976
171,171,1817238.081693894,5919691.964384438,-0.899999976
172,172,1820026.091723154,5919623.908532381,0.614038733
173,173,1821032.502851096,5919601.421771831,1.113048496
174,174,1817109.66635412,5919685.992840002,-0.899999976
175,175,1817267.147909022,5919686.559700618,-0.899999976
176,176,1817388.406216281,5919676.885975288,-0.878999949
177,177,1820665.474707991,5919554.886305547,0.885857154
178,178,1817388.786894895,5919629.000635958,-0.364173873
179,179,1820128.10445279,5919538.671948452,0.706625004
180,180,1820132.870298496,5919423.843955382,-0.176745612
181,181,1820888.167071698,5919560.17219766,1.137073669
