OID,FID_,X,Y,BCE_Mahura
75,75,1750828.241542498,5969527.384254814,-0.214586976
76,76,1750795.871736938,5969518.011779337,-0.019272703
77,77,1750843.373408547,5969501.634322296,-9999.0
78,78,1750847.074626273,5969462.101952995,-9999.0
79,79,1750860.025198986,5969475.914002193,-0.707166632
80,80,1750854.894545701,5969451.824698312,-0.583000004
81,81,1750877.460042928,5969433.437685988,-0.285899082
82,82,1750890.773747085,5969416.639250279,0.090325018
83,83,1750898.655326216,5969406.533184444,0.05318988
84,84,1750906.536886515,5969396.427110695,0.078925947
85,85,1750930.70293708,5969396.005622966,-9999.0
86,86,1750914.418427987,5969386.32102903,0.095392415
87,87,1750981.792184348,5969357.585040429,0.133466839
88,88,1750969.351598331,5969264.64008408,0.782379328
89,89,1750952.290017629,5969246.062008409,0.676518982
90,90,1750936.585173106,5969235.404977361,0.610476209
91,91,1750928.024647597,5969226.191940396,0.579985909
92,92,1750799.032948543,5969208.770284729,0.886092597
93,93,1750853.615033191,5969211.40720077,0.699762779
94,94,1751064.521535642,5969205.833255875,-0.383217375
95,95,1751080.697152306,5969194.523086893,-0.68913041
96,96,1750843.947279986,5969189.3793435,0.711591395
97,97,1751103.743814505,5969153.738294228,0.680980365
98,98,1750977.623984186,5969205.158962785,0.769349086
99,99,1751111.117736651,5969123.904781539,0.718345454
100,100,1751014.53812822,5969094.75584497,0.895888895
101,101,1751006.268832135,5969085.333607968,0.907915481
102,102,1751062.091142557,5969084.886347285,0.823545473
103,103,1751073.723812612,5969073.929305553,0.7851869
104,104,1751061.103426599,5969015.033664957,0.786666671
105,105,1751062.158322701,5969047.080513691,0.757420709
106,106,1751169.734588169,5969115.94118651,0.187882073
107,107,1751286.397984855,5969001.016712174,-9999.0
108,108,1751093.381503658,5968996.230211545,0.650212747
109,109,1751109.28729686,5968984.756955036,0.586029409
110,110,1751117.311611466,5968974.625812217,1.42552238
111,111,1751303.947900555,5968972.135326769,-0.230060622
112,112,1751124.427769667,5968954.004202725,1.272289148
113,113,1751325.801418963,5968950.484337209,-9999.0
114,114,1751340.480420908,5968928.979280696,-9999.0
115,115,1751092.145712052,5968913.768590704,1.696833332
116,116,1751083.697998774,5968904.296584149,1.045538451
117,117,1751123.398334456,5968904.380153765,0.965714305
118,118,1751365.29155615,5968904.934565527,-9999.0
119,119,1751093.37675216,5968894.734676312,1.029374979
120,120,1751131.105059238,5968884.308240911,0.984444457
121,121,1751079.844974843,5968885.203436899,1.107283924
122,122,1751115.010466821,5968871.151259989,1.050775191
123,123,1751138.970797484,5968864.03235174,0.985499995
124,124,1751211.305502825,5968862.969563441,0.85443637
125,125,1751158.045821407,5968861.393681839,0.922624441
126,126,1751171.016108602,5968853.503818451,0.906025653
127,127,1751190.658023915,5968846.964385844,0.927211547
128,128,1751211.295915365,5968833.802618961,0.95149999
129,129,1751227.242813506,5968823.116153492,0.84716217
130,130,1751258.937730399,5968822.262294669,0.816890927
131,131,1751242.68201773,5968802.456526893,0.850425007
132,132,1751419.503958238,5968789.145105601,0.487280699
133,133,1751250.381414047,5968782.377135877,1.143538469
134,134,1751282.230874867,5968772.011731903,0.810581812
135,135,1751258.495467395,5968758.525998041,1.299263166
136,136,1751297.817574282,5968741.83318462,0.835771933
137,137,1751282.099173544,5968722.731111243,0.829359397
138,138,1751314.483363832,5968728.714669039,0.808395556
139,139,1751290.157073346,5968712.881783626,0.810578966
140,140,1751308.47728979,5968709.07420766,0.789679817
141,141,1751458.373786756,5968698.947889441,0.598849982
142,142,1751430.487532176,5968798.303238547,-0.316500016
143,143,1751325.03495867,5968695.099162212,0.755845402
144,144,1751450.144604013,5968689.123293092,0.782975001
145,145,1751749.235059251,5968683.354466469,-0.418
146,146,1751345.606133026,5968681.534759419,0.695514688
147,147,1751441.915439579,5968679.298689377,0.753575002
148,148,1751353.95576122,5968672.734511925,0.627826082
149,149,1751371.875558061,5968667.232967696,0.552823526
150,150,1751731.676835779,5968637.941505393,-0.375954181
151,151,1751715.139824943,5968614.247722074,-0.544714303
152,152,1751394.262831611,5968639.097586427,0.683320772
153,153,1751494.354465312,5968648.486962588,-9999.0
154,154,1751513.01139255,5968598.30443184,-9999.0
155,155,1751525.611171174,5968578.049185907,-9999.0
156,156,1751238.489517161,5968553.002179523,1.072081054
157,157,1751230.542789143,5968543.341939883,1.105304362
158,158,1751246.163397985,5968543.162103997,1.018824996
159,159,1751372.551220687,5968557.726236081,0.724060449
160,160,1751544.204382984,5968544.913735774,-9999.0
161,161,1751644.889452009,5968536.163717677,0.516132965
162,162,1751256.670484937,5968529.686847976,0.980791664
163,163,1751374.100375085,5968520.986969073,0.169760009
164,164,1751653.00201249,5968516.097845999,-0.235008396
165,165,1751349.798487922,5968471.369180574,2.379720656
166,166,1751275.651270289,5968485.569034808,0.930051799
167,167,1751252.997578446,5968450.217985448,0.878232
168,168,1751268.420086429,5968433.129806414,0.827562503
169,169,1751312.281882315,5968427.677736858,0.635944958
170,170,1751284.311671533,5968413.077823039,0.753740258
171,171,1751324.900281035,5968407.772788186,0.530054546
172,172,1751300.31606032,5968393.177535094,0.61815493
173,173,1751636.114921384,5968471.476171261,0.611882311
174,174,1751316.400727714,5968373.414233468,0.694409828
175,175,1751324.467085466,5968363.592888038,0.732296288
176,176,1751332.547913888,5968353.829833412,0.755386366
177,177,1750752.977691953,5968353.270429204,0.210256412
