OID,FID_,X,Y,BCE_Ohiwa_
232,232,1962192.553026398,5787385.98219713,0.041397436
233,233,1958600.757930261,5787534.594689104,-0.138303797
234,234,1958582.360694868,5787522.840555363,0.831222764
235,235,1958619.117259622,5787517.833594321,-0.202588425
236,236,1962278.270763416,5787357.19574478,-0.296987342
237,237,1958126.439014849,5787525.443962011,1.081415084
238,238,1958642.854722551,5787502.767462251,-0.335100004
239,239,1958133.350764617,5787515.876949787,1.096568627
240,240,1958597.47813177,5787503.229468223,1.196224117
241,241,1958618.143187761,5787484.860973971,1.765240239
242,242,1958653.472403883,5787463.138055513,3.492916644
243,243,1956972.534914057,5787516.142348803,0.665559992
244,244,1965100.87789709,5787153.956850863,0.596078954
245,245,1965274.324106263,5787148.701897095,0.000948719
246,246,1965290.026707373,5787147.484910036,0.003041666
247,247,1958685.350774831,5787452.888103785,-0.361545996
248,248,1965092.335707534,5787146.852010446,1.234846166
249,249,1965309.234619759,5787140.265382563,-0.01325
250,250,1965328.955780764,5787136.054895832,0.000945454
251,251,1956977.892285964,5787495.822643915,0.254175002
252,252,1958374.96785873,5787435.324594356,0.250134609
253,253,1958422.325391869,5787433.244953712,0.242923073
254,254,1958311.35471596,5787427.396670735,0.436441562
255,255,1958444.130829102,5787425.563262099,0.207005101
256,256,1958469.368257224,5787420.249685395,0.234089291
257,257,1958675.623296161,5787418.363567472,2.36777907
258,258,1958706.000455713,5787410.060951627,-0.303625006
259,259,1965083.550269521,5787127.258364072,1.392102544
260,260,1965393.612568531,5787117.864897478,0.098995753
261,261,1958687.991331944,5787398.577228374,2.287663867
262,262,1958720.909584853,5787389.420813804,-0.317475005
263,263,1958697.512657288,5787381.269464656,3.435514259
264,264,1958712.161844238,5787360.358358785,3.12935555
265,265,1958741.412008999,5787365.776315385,-0.361426541
266,266,1964950.519551645,5787310.374603366,0.575404598
267,267,1964804.617128499,5787079.771995286,0.341461537
268,268,1965049.30113188,5787068.83045927,1.556948724
269,269,1958730.832245377,5787339.164849045,1.360148162
270,270,1958751.335531719,5787335.940084959,-0.306919228
271,271,1965040.515854966,5787049.236778354,1.423435887
272,272,1958741.51956765,5787318.567919007,1.842095906
273,273,1958747.960079033,5787298.299951752,1.099259997
274,274,1956942.118191125,5787366.230945985,1.112951217
275,275,1958764.152250446,5787293.736907159,-0.324432846
276,276,1963403.717914354,5787060.189978678,0.595458336
277,277,1963419.179634789,5787057.901388035,0.217666664
278,278,1964989.589225979,5786971.568042872,0.718792209
279,279,1956896.825209264,5787269.548218348,0.0950375
280,280,1964947.448392947,5786913.492817384,0.794207774
281,281,1956880.167636896,5787250.292342987,0.1236
282,282,1958134.944549941,5787195.531675292,-0.645283021
283,283,1964922.877829329,5786894.604675333,0.862274992
284,284,1964867.181826712,5786887.102164854,1.347449963
285,285,1965498.008436195,5786849.086726046,0.024109091
286,286,1956863.074325203,5787221.063697558,0.038250001
287,287,1962395.247488673,5786967.482062014,0.307518512
288,288,1965497.115016106,5786829.139941955,0.025272728
289,289,1958637.601591041,5787113.294483076,-0.090252138
290,290,1965495.897463819,5786798.276932414,0.018686275
291,291,1956410.58382163,5787168.24197292,0.928400004
292,292,1956447.151529395,5787143.995140551,0.90244444
293,293,1964813.681058253,5786767.921970741,0.978197546
294,294,1965490.860974684,5786689.512445239,-0.074203703
295,295,1956147.55786969,5787097.860049896,1.180640017
296,296,1964957.793131938,5786888.26488899,0.685010121
297,297,1956158.826916284,5787079.205435367,1.17120574
298,298,1956460.026906751,5787058.820183994,0.362836741
299,299,1965505.306141872,5786658.885196332,-0.082222224
300,300,1956428.423595639,5787050.000338973,0.426925919
301,301,1956444.41368774,5787050.238666366,0.410980401
302,302,1956495.444396348,5787051.693610506,0.323350179
303,303,1956538.935558839,5787045.588969558,0.599962957
304,304,1956681.154438165,5787039.165770559,0.491600003
305,305,1956696.971066071,5787039.203016209,0.368857137
306,306,1956664.965485064,5787030.6098127,0.324320754
307,307,1956301.447875455,5787035.769073111,0.798346137
308,308,1956560.722462124,5787027.778137702,0.325535592
309,309,1956700.01360814,5787018.357134637,0.132862501
310,310,1965535.089683504,5786617.577385353,0.0276
311,311,1964856.413039686,5786654.972634658,0.880068386
312,312,1965542.690640289,5786607.035267578,0.062538461
313,313,1965549.913050063,5786591.721590659,0.084126583
314,314,1965557.290549477,5786576.192752243,0.133672727
315,315,1956235.260836555,5786968.71447638,0.705645566
316,316,1956405.004846227,5786934.604754763,0.54811351
317,317,1965128.548989701,5786545.839255154,0.254339283
318,318,1962051.267190656,5786675.444416327,0.299314815
319,319,1961372.216828852,5786667.186727808,0.034255319
