OID,FID_,X,Y,BCE_Whitfo
270,270,1773331.397789373,5912813.387929258,0.788950615
271,271,1775010.860082115,5912783.197045092,0.935624997
272,272,1773241.889230741,5912805.230027515,0.895490193
273,273,1774913.302100814,5912821.854743514,0.838373634
274,274,1775050.56755829,5912767.42209387,0.880632912
275,275,1773205.657441251,5912795.270932387,0.969312482
276,276,1773225.822466736,5912794.65849312,0.915892854
277,277,1773267.288620391,5912805.177652615,0.882674416
278,278,1773289.531983905,5912793.761486319,0.806727265
279,279,1774866.291510149,5912761.246577398,0.630000021
280,280,1775164.548235887,5912838.287846648,1.298942291
281,281,1773193.464477808,5912786.275679707,0.872407399
282,282,1773305.477500885,5912782.536730775,0.649090884
283,283,1773360.1507213,5912798.652015461,0.518471529
284,284,1774650.003744233,5912755.725656817,0.62637499
285,285,1774874.089341597,5912751.11526936,0.654499987
286,286,1775194.319262585,5912746.430121564,1.211000007
287,287,1772882.041499415,5912781.982193476,1.132666678
288,288,1773233.261674998,5912774.765970547,0.723499997
289,289,1773265.288488744,5912774.840003718,0.725849066
290,290,1774649.330636005,5912801.100977941,-0.25402027
291,291,1774881.887199949,5912740.983698544,0.715499993
292,292,1777570.918667649,5912685.194885045,0.780875016
293,293,1773009.075581474,5912774.349822919,0.0463522
294,294,1773701.234610428,5912777.495299174,0.231352594
295,295,1772888.142339824,5912761.855798935,0.739387741
296,296,1773028.77869267,5912758.992128602,0.130812498
297,297,1773496.954334826,5912749.442125502,-0.835300534
298,298,1773520.978240964,5912749.678432357,-0.110754712
299,299,1773556.680869296,5912749.887131389,0.584360182
300,300,1777518.486942013,5912666.34531254,0.915660366
301,301,1772907.496430729,5912762.709078383,0.139136902
302,302,1773472.741893344,5912739.965684043,-0.944423066
303,303,1774893.260827998,5912720.913037898,0.850117186
304,304,1774912.700128336,5912710.436156565,0.981730741
305,305,1777978.607221784,5912646.547320247,0.806909085
306,306,1773525.018471512,5912729.017092704,3.100602384
307,307,1774872.906004084,5912701.485722628,0.732830184
308,308,1774904.909768844,5912700.42430444,0.937636371
309,309,1777526.502680884,5912646.822705958,0.193454549
310,310,1777608.550632715,5912653.575839235,1.01518127
311,311,1777899.882055364,5912638.153544895,1.770888903
312,312,1773064.182887405,5912728.357983992,0.058875001
313,313,1773536.888372684,5912720.978150326,3.167954578
314,314,1773576.57706043,5912727.873834699,0.274291668
315,315,1774657.211333081,5912711.28206163,0.616730769
316,316,1777625.740859436,5912634.393801958,0.964545426
317,317,1777962.026136929,5912627.153500707,0.750875001
318,318,1772865.085100747,5912721.374231951,5.387674504
319,319,1773071.982746327,5912718.228220648,0.16975
320,320,1773427.04457365,5912714.547214135,-0.878277376
321,321,1773552.527068964,5912714.397731625,1.504964033
322,322,1774926.475311297,5912680.239087423,0.965102032
323,323,1773079.782709996,5912708.098313531,0.154249999
324,324,1773371.890494234,5912702.140975894,-0.795869569
325,325,1773560.519481922,5912698.858346786,3.022812484
326,326,1773335.67378309,5912692.909190134,-0.607662339
327,327,1773567.924626869,5912688.353970824,3.170169492
328,328,1773695.806709706,5912685.552738994,0.673797462
329,329,1777544.888962178,5912611.480748721,-0.254495417
330,330,1773283.451158451,5912684.00365379,-0.740504723
