OID,FID_,X,Y,BCE_Tamaki
192,192,1769651.892891255,5917740.839875792,-0.741039324
193,193,1768888.042137688,5917728.121092625,-0.448350876
194,194,1769120.260955084,5917723.508217671,-0.83074077
195,195,1769198.637471814,5917776.064093661,-0.677633994
196,196,1769213.420052014,5917704.791594672,-0.944171129
197,197,1769239.57088779,5917709.315150861,-0.921597647
198,198,1768751.4784756,5917700.718007541,-0.279000006
199,199,1768970.159172659,5917700.655439743,-0.663789481
200,200,1768855.022924204,5917678.923721109,-0.52989286
201,201,1769129.476817653,5917690.656567055,-0.874484977
202,202,1769611.253541121,5917649.035528246,-0.939999998
203,203,1768598.333795932,5917653.174533696,-0.221153848
204,204,1768630.37805638,5917653.266461162,-0.337878663
205,205,1768687.716997128,5917652.869757098,-0.319602479
206,206,1768822.332505988,5917663.373938845,-0.501862768
207,207,1768871.7224773,5917658.916534122,-0.58393801
208,208,1769174.281935137,5917658.242160536,-0.988571388
209,209,1768145.738111028,5917657.935994389,0.531900002
210,210,1768652.916192808,5917642.109161533,-0.220662502
211,211,1768829.944039641,5917625.503989059,-0.482619234
212,212,1768152.906737156,5917628.131769252,0.474180558
213,213,1768781.894597577,5917610.58095412,-0.559982468
214,214,1768769.520141234,5917600.654662999,-0.553518752
215,215,1768750.610024664,5917590.150447184,-0.558195125
216,216,1768846.374351854,5917583.633109085,-0.467039766
217,217,1768873.654792704,5917579.231345,-0.558121504
218,218,1768865.251733138,5917559.457030935,-0.591759275
219,219,1769581.035521842,5917549.055577621,-0.934074077
220,220,1769629.365951833,5917543.872725267,-0.939999998
221,221,1768868.268288177,5917539.073062109,-0.677200023
222,222,1769641.17358964,5917504.137843473,-0.908888891
223,223,1768210.285288648,5917482.314699632,-0.633890899
224,224,1768767.185950442,5917461.697485527,-0.843788998
225,225,1768214.486223684,5917462.67358448,-0.716092578
226,226,1768283.400845723,5917461.46642246,-0.539968563
227,227,1768346.01477862,5917459.688836929,-0.655642854
228,228,1768417.68561642,5917438.329201857,-0.962288468
229,229,1767465.071913308,5917445.964806377,1.451111127
230,230,1768281.495063503,5917436.95964912,-0.668848838
231,231,1768096.714838601,5917428.955774853,-0.977999941
232,232,1769614.965647917,5917394.983744804,-0.930000007
233,233,1768192.694314282,5917402.898389585,-0.908070167
234,234,1768316.311195053,5917401.258340781,-0.951985074
235,235,1768364.57055158,5917394.623554416,-0.985310359
236,236,1768705.700098587,5917382.568445081,-0.989000052
237,237,1769620.271273253,5917370.490211854,-0.930000007
238,238,1768096.21387204,5917384.864349606,-9999.0
239,239,1769846.097516223,5917348.665963427,-0.890999985
240,240,1768130.433960996,5917391.544088447,-0.934321061
241,241,1768837.273487479,5917360.601224655,-0.823009187
242,242,1768166.034413329,5917360.043348663,-0.983999968
243,243,1769464.850161005,5917327.798298245,-0.936181819
244,244,1768947.779091727,5917509.222611913,-0.82801232
245,245,1768123.648632761,5917324.882110718,-9999.0
246,246,1768150.795444625,5917328.181864744,-9999.0
247,247,1768135.18618463,5917313.898133337,-9999.0
248,248,1767310.920366026,5917319.418866602,0.581379312
249,249,1769607.389795201,5917245.192699806,-0.920000017
250,250,1769834.092397165,5917246.561531326,-0.778874449
251,251,1768423.539277292,5917266.442359148,-9999.0
252,252,1769815.533503742,5917230.86847526,-0.808057862
253,253,1768477.50924543,5917241.953265785,-9999.0
254,254,1769758.928272566,5917212.25806612,-0.932592594
255,255,1769587.206491937,5917209.382456507,-0.920000017
256,256,1769611.579261156,5917211.542747369,-0.920000017
257,257,1769790.964640273,5917203.939829903,-0.248930827
258,258,1769556.139576085,5917192.391068001,-0.929025883
259,259,1769633.254997034,5917192.562826881,-0.818383845
260,260,1769654.563020981,5917184.428340594,-0.862363648
261,261,1769719.198585831,5917190.907592008,-0.883781779
262,262,1769530.089402785,5917176.738131428,-0.903687523
263,263,1769646.191582829,5917174.423458065,-0.843797498
264,264,1769507.611621805,5917153.829641568,-0.90814672
265,265,1769653.701684334,5917149.347148851,-0.853937504
266,266,1769664.9801382,5917133.582056165,-0.860186929
267,267,1769468.854391539,5917137.581357878,-0.986986677
268,268,1769645.297119917,5917129.573543594,-0.846792467
269,269,1769428.909497385,5917123.915722745,-0.94637502
270,270,1769408.594274077,5917109.36444586,-0.900064538
271,271,1769388.179885399,5917089.829793811,-0.855020934
272,272,1769371.96751311,5917080.182036853,-0.924625035
273,273,1769351.553278119,5917060.647303425,-0.905786166
274,274,1769305.867087184,5917049.340050452,-0.93346269
275,275,1768102.44113082,5917057.70776275,-9999.0
276,276,1769330.94072748,5917031.145885193,-0.930000007
277,277,1769282.800143804,5917027.118798272,-0.937246964
278,278,1769374.53308227,5917033.898016251,-0.892050841
279,279,1769238.068152926,5916993.111860258,-0.939999998
280,280,1768417.010315793,5916999.639158744,-9999.0
281,281,1769284.13799433,5916983.780545429,-0.930000007
282,282,1769324.74676891,5916997.276178655,-0.924304081
283,283,1768328.737821807,5916991.415971986,-1.0
284,284,1768503.791120453,5916996.829889243,-9999.0
285,285,1768296.513296934,5916982.083098071,-1.0
286,286,1768384.588342328,5916980.339986755,-1.0
287,287,1769297.623698464,5916967.000222716,-0.928375009
288,288,1769360.078352073,5916974.276334418,-0.91750768
289,289,1768361.814770498,5916971.359023522,-1.0
290,290,1768460.810777814,5916978.629493786,-9999.0
291,291,1768583.719070431,5916958.375898719,-9999.0
292,292,1769220.864717856,5916933.630604196,-0.933081765
293,293,1768548.858691601,5916950.561008563,-9999.0
294,294,1769324.493015404,5916926.428794503,-0.917812518
295,295,1767352.693804626,5916930.7108473,-0.187617026
296,296,1769190.906056263,5916910.566799507,-0.936066454
297,297,1769139.488123767,5916889.267291442,-0.953975888
298,298,1769095.570375915,5916876.29892424,-0.973625025
299,299,1769157.573131205,5916872.57339571,-0.950529583
300,300,1769203.897071355,5916864.758254998,-0.931454551
301,301,1769310.97041079,5916862.043313728,-0.930000007
302,302,1767461.041398647,5916887.047488777,-9999.0
303,303,1769163.470029521,5916849.710716405,-0.951720917
304,304,1769281.852276325,5916848.218755621,-0.922594609
305,305,1769089.448868832,5916836.941817139,-0.98620691
306,306,1767332.813714954,5916846.353257935,-0.293962504
307,307,1767316.506609456,5916831.718074517,-0.061608329
308,308,1769069.807604321,5916797.247649739,-1.0
309,309,1769105.174892221,5916836.376238387,-0.979171488
310,310,1767292.291451228,5916822.22264202,0.118675
311,311,1768909.633828329,5916790.258291919,-0.959999993
312,312,1768927.846898386,5916789.896568665,-0.976853955
313,313,1769023.04579005,5916794.480963299,-0.987368432
314,314,1769011.841834537,5916774.269084486,-0.817236825
315,315,1769071.470243131,5916774.04945494,-0.964749968
316,316,1767267.682624854,5916792.7964684,-0.188200009
317,317,1768913.043351128,5916760.278863668,-0.94999999
318,318,1768949.073202189,5916759.563240327,-0.97911394
319,319,1768994.435259427,5916758.258513566,-0.547767867
320,320,1768927.517068755,5916749.617308135,-0.959482763
321,321,1768956.881847603,5916749.437550122,-0.842278495
322,322,1768972.697089598,5916739.152780233,-0.39879167
323,323,1768248.335489058,5916744.126538357,-1.0
324,324,1769000.823490234,5916731.169297037,0.197500002
325,325,1768475.734698778,5916729.271582974,-1.0
326,326,1768931.215458896,5916721.37973445,-0.802798629
327,327,1767195.056984707,5916731.822961688,-0.694222217
328,328,1767186.390923671,5916724.363510475,-0.676270255
329,329,1768315.011213315,5916702.54218923,-1.0
330,330,1768949.483149864,5916699.682701136,-0.225546443
331,331,1767174.080309488,5916714.846963846,-0.47220125
332,332,1768452.369466438,5916690.390981335,-1.0
333,333,1768910.212329158,5916687.04878586,-0.723910612
334,334,1768546.608937399,5916668.04406534,-1.0
335,335,1768201.736740938,5916644.959973983,-0.96482145
336,336,1767801.215190768,5916642.901177451,-1.0
337,337,1768446.329070345,5916630.531572243,-1.0
338,338,1768153.016924526,5916630.201617533,-0.985137629
339,339,1768881.486954743,5916619.668745248,-0.753809535
340,340,1767120.051987482,5916616.212654136,0.065500007
341,341,1768120.489627607,5916586.743277734,-9999.0
342,342,1768942.137060036,5916588.359308616,0.173761904
343,343,1768340.387975706,5916577.518584362,-1.0
344,344,1768920.995223643,5916555.724180207,0.069499999
345,345,1768883.159475056,5916527.427207452,-0.493609466
346,346,1768888.078808903,5916511.510323834,-0.172025315
347,347,1768930.516642381,5916532.822404942,0.312735635
348,348,1768919.377734462,5916496.998786358,0.22641791
349,349,1768886.792296812,5916446.727140779,0.207125001
350,350,1768861.562092717,5916415.617987091,-0.04791667
351,351,1768829.659194096,5916393.024126705,-0.536750011
352,352,1767683.818476967,5916376.01319406,-0.888928575
353,353,1766834.994503303,5916380.500295774,0.130827204
354,354,1767626.596124644,5916317.318333702,-0.754285702
355,355,1767818.33636418,5916321.65717763,-0.77694611
356,356,1768820.019842069,5916318.587837638,-0.116630426
357,357,1767610.100390221,5916311.892264523,-0.763302766
