OID,FID_,X,Y,BCE_Hokian
282,282,1652162.348067017,6090145.286417241,-0.764999986
283,283,1651445.174082808,6090136.128713748,1.23399998
284,284,1651535.980144833,6090140.982251948,0.814429236
285,285,1652243.83071482,6090132.562192518,0.445965569
286,286,1649882.874763427,6090159.766444513,0.338565098
287,287,1652145.167512941,6090120.234749986,-0.748678557
288,288,1651459.415061458,6090077.088521866,-0.805000315
289,289,1651592.9378971,6090079.444486797,-0.805000007
290,290,1651444.429533164,6090066.986415875,-0.80500412
291,291,1651624.255632386,6090068.886941181,-0.805000007
292,292,1651747.525794696,6090081.524030128,0.903179563
293,293,1649934.338762756,6090064.929913111,0.020400002
294,294,1651378.393740764,6090081.747312543,-0.606303824
295,295,1651677.992930213,6090049.883348932,-0.805000007
296,296,1651811.287014363,6090041.30035167,1.030214269
297,297,1649956.96579128,6090049.117899355,0.512887352
298,298,1651419.279540104,6090049.872012462,-0.765781859
299,299,1651727.658935444,6090027.247764981,-0.805000007
300,300,1651836.850964896,6090023.449274619,0.973911282
301,301,1652163.032955247,6090032.455231627,-0.490723256
302,302,1652154.702515521,6090012.581433616,-0.316048659
303,303,1651404.208647296,6090006.843125581,0.817399998
304,304,1649999.120990839,6089995.421695204,0.515666654
305,305,1650017.388538295,6089974.399024506,0.55587199
306,306,1651840.052579203,6089944.566371993,-0.805000007
307,307,1651876.733712242,6089934.392038658,-0.805000007
308,308,1652097.44598962,6089957.262284115,-0.775005466
309,309,1651897.086549702,6089924.311775796,-0.80500045
310,310,1651397.493779544,6089916.61872715,0.706837887
311,311,1654766.640385428,6089787.757144034,0.676226418
312,312,1654763.872759115,6089766.870963457,0.751888895
313,313,1650028.596246016,6089756.273606651,0.210789473
314,314,1654744.956958047,6089728.245831213,0.539141936
315,315,1650021.896864092,6089743.447853598,0.284940171
316,316,1651446.07927711,6089703.831673807,1.291225595
317,317,1649967.044470645,6089699.229465923,0.357557628
318,318,1654242.617996693,6089636.501993083,0.626884603
319,319,1649952.018771634,6089654.870295445,0.329477975
320,320,1649972.648287689,6089646.547575439,0.886666687
321,321,1649902.953206488,6089607.398593653,0.024399999
322,322,1654705.912315218,6089593.375413926,0.50793528
323,323,1651466.596847761,6089595.837302651,1.246701154
324,324,1654687.211006029,6089524.283948585,0.581999064
325,325,1649841.554046286,6089527.442928515,0.597866668
326,326,1651376.024019562,6089616.641692248,-0.824999988
327,327,1649858.200879197,6089477.535808615,-0.052727275
328,328,1651400.655289111,6089488.78702083,-0.824999988
329,329,1649692.57574638,6089453.109361654,-0.88499999
330,330,1651506.348350381,6089420.66083512,0.972272305
331,331,1649729.429262402,6089420.531861237,-0.88499999
332,332,1654248.535566514,6089362.481867641,-0.667941167
333,333,1649913.166292652,6089367.370592674,0.011260267
334,334,1651530.619828325,6089365.163262935,0.952383639
335,335,1654641.427168393,6089365.602932566,0.90948635
336,336,1649915.32114724,6089338.013170002,-0.423925711
337,337,1649938.468615292,6089337.609069178,0.491866665
338,338,1651439.297074824,6089345.753490685,-0.855000019
339,339,1649979.225423284,6089338.019130155,0.937122439
340,340,1651571.559224358,6089294.688274074,0.901442191
341,341,1651587.208370444,6089276.367491704,0.830980767
342,342,1654615.9060751,6089271.480936496,0.902708425
343,343,1649529.989447566,6089285.069538064,-0.288424995
344,344,1651602.564388461,6089265.909565887,0.88988374
345,345,1651591.65056417,6089257.879966795,0.4268
346,346,1650035.132264148,6089212.360446476,0.660800006
347,347,1654596.291588146,6089192.628359361,0.56469214
348,348,1650084.470253792,6089167.426957412,0.691333348
349,349,1650092.744487289,6089157.213597253,0.664509079
350,350,1651523.006148713,6089167.379351157,-0.855000019
351,351,1654643.494034133,6089101.052874121,0.143454902
352,352,1649555.107734136,6089120.653230497,-0.343185184
353,353,1651776.89212377,6089099.655578529,0.608033899
354,354,1651562.794771694,6089090.221214077,-0.259271758
355,355,1650203.701402349,6089077.498964583,0.659444834
356,356,1651816.221040718,6089069.926955005,0.805202562
357,357,1650302.940870672,6089062.319224684,0.658200008
358,358,1650220.393812722,6089057.076625613,0.31701031
359,359,1650325.108943659,6089057.072289583,0.785045876
360,360,1651834.225829651,6089048.983523124,0.846426368
361,361,1650502.975337259,6089045.88967362,0.65453333
362,362,1650424.364742228,6089036.010330207,0.238265306
363,363,1650463.172308469,6089039.119984579,0.325167603
364,364,1654199.847943054,6089018.506834134,-0.384655333
365,365,1652879.559384262,6089001.994879265,0.191788232
366,366,1653034.661698452,6089001.082319111,0.337890912
367,367,1654173.439573548,6088994.300616825,0.479022731
368,368,1651882.735854784,6089003.068541547,1.609469459
369,369,1650654.732902141,6088985.106022915,0.188280707
370,370,1650690.042346664,6088985.856268703,0.558230574
371,371,1653132.167276851,6088978.146672906,0.339509157
372,372,1649579.161054332,6088981.080665739,-0.298047614
373,373,1651690.034651564,6088969.79475965,-0.88499999
374,374,1652765.757151954,6088969.732504449,0.160505863
375,375,1653205.953237993,6088966.144616325,0.49933149
376,376,1653270.83810329,6088965.31377543,0.521182735
377,377,1654780.021769893,6088954.097706337,0.354843371
