OID,FID_,X,Y,BCE_Whitia
125,125,1839709.809824416,5915092.975694502,0.324127086
126,126,1839933.277681846,5914774.428342565,-0.302981806
127,127,1838737.463397874,5914721.736706726,1.263718289
128,128,1838743.234253683,5914701.844837458,1.372547585
129,129,1839922.227780491,5914652.849783528,-0.273561899
130,130,1839908.095740582,5914605.85654226,-0.282765762
131,131,1839887.892859356,5914557.47803326,-0.288442101
132,132,1840748.202529288,5914414.665796669,0.596288077
133,133,1839931.385685756,5914145.458221602,0.213127273
134,134,1839947.279492816,5914134.832066329,0.426850006
135,135,1839934.987573764,5914125.202888456,0.604412496
136,136,1839955.005112106,5914124.63781338,-0.114074986
137,137,1840235.834605301,5914116.705260446,-0.02197917
138,138,1840246.979612968,5914106.413834366,0.193200001
139,139,1838467.948000505,5915542.671964651,0.478970091
140,140,1839640.901269919,5914265.492073605,-0.238080841
141,141,1840586.149110047,5914056.915858107,0.826450003
142,142,1840602.163073766,5914056.462565676,0.85183546
143,143,1840978.491416678,5914045.80110807,-0.772000003
144,144,1840966.198533318,5914036.173207691,-0.765437509
145,145,1840614.225607277,5914035.524951656,0.924819668
146,146,1840945.616167553,5914016.804268017,-0.77933333
147,147,1840912.599292474,5913982.822995977,-0.742726705
148,148,1840896.161338886,5913968.324828586,-0.711275001
149,149,1840863.851444351,5913959.264478656,-0.663900004
150,150,1840887.87192364,5913958.583957313,-0.701063291
151,151,1841052.812090431,5914021.835053015,0.161597913
152,152,1841083.021082311,5915241.794300728,0.374273755
153,153,1839277.365208247,5913964.170969335,1.50441251
154,154,1839292.645109559,5913943.587238241,1.261392832
155,155,1839804.410260173,5913899.436397716,0.122746832
156,156,1839282.82375001,5913894.184571143,1.381545463
157,157,1839251.455340487,5913755.402219206,1.351616361
158,158,1839302.387112781,5913756.936276924,1.145392826
159,159,1839235.314330514,5913736.488923329,1.407828609
160,160,1841233.342770577,5913893.499723644,0.308204485
161,161,1841327.484208472,5913636.84792913,0.430172846
162,162,1841319.215208033,5913627.833808737,0.097260003
163,163,1840834.894134925,5913742.175285132,0.530046221
164,164,1839198.274968731,5913682.288293569,1.398633612
165,165,1839207.618572792,5913600.347557304,1.383077855
166,166,1840181.661013386,5913923.490557241,0.428552095
167,167,1839184.240397555,5913546.987933243,1.174427343
168,168,1840909.481859499,5913448.831702295,1.424852154
169,169,1840821.860091757,5913520.534618312,0.569583973
170,170,1840922.366656558,5913440.137028951,0.934891312
171,171,1839190.146597543,5913486.233928462,1.21005748
172,172,1840941.762256749,5913418.756388931,0.882449273
173,173,1841542.048494271,5913388.455413813,1.221538424
174,174,1839507.91618759,5913816.808398912,0.29807751
175,175,1841549.04929304,5913377.121973004,1.468500018
176,176,1839334.548197526,5913433.827043707,0.185012492
177,177,1840956.018086764,5913397.851881213,0.918154727
178,178,1839374.299085873,5913422.731296544,1.196500001
179,179,1840764.39504931,5913397.685875666,-0.262087505
180,180,1841558.284765915,5913350.559110299,1.490978713
181,181,1839351.095037759,5913417.139707522,0.578657425
182,182,1840734.953580086,5913369.330032582,-0.201625
183,183,1839381.463012121,5913392.601133886,0.870835428
184,184,1840718.517403621,5913354.831211369,-0.28315
185,185,1840822.599470882,5913351.882277727,-0.414419758
186,186,1840710.228490663,5913345.089627329,-0.300325006
187,187,1840829.493245308,5913342.927987524,0.332576276
188,188,1840986.606766108,5913357.325492988,1.068248337
189,189,1840701.940070479,5913335.348194419,-0.346349997
190,190,1839204.584068475,5913383.251406102,0.793936618
191,191,1839374.426615913,5913369.961194272,0.946317616
192,192,1839324.180393278,5913349.622108739,0.366861246
193,193,1840792.292724468,5913309.25503255,-0.150274434
