OID,FID_,X,Y,BCE_Waihi_
139,139,1906786.985691319,5814379.906882772,0.013862499
140,140,1905726.213472551,5814425.99946654,0.073376505
141,141,1906510.608894033,5814385.50641259,0.467101014
142,142,1906802.287480836,5814369.55936602,-0.014
143,143,1906259.247908535,5814392.18178806,0.366600316
144,144,1905721.228695437,5814389.607037875,0.060099999
145,145,1906548.217636304,5814353.855355958,0.610265829
146,146,1906579.137017584,5814332.733582225,0.538531645
147,147,1906800.493782798,5814324.485299548,0.013607476
148,148,1906111.37909811,5814330.173712463,0.059999999
149,149,1906182.275997189,5814322.752105252,0.078803571
150,150,1906316.670119798,5814362.643374331,0.454583776
151,151,1906399.613485017,5814322.908559664,0.445491795
152,152,1906270.407779102,5814308.369904811,0.88001197
153,153,1906457.690769557,5814313.957975229,0.573261965
154,154,1906498.68205183,5814300.782348478,0.456258477
155,155,1906799.378720525,5814294.571593251,0.089588785
156,156,1905774.229648232,5814322.73602334,0.348350317
157,157,1906189.44960203,5814302.515203326,0.177555552
158,158,1906220.873621701,5814313.090158323,0.472950189
159,159,1906473.426723081,5814303.71982731,0.582619646
160,160,1905713.983908673,5814338.090439707,0.140043753
161,161,1906102.165643844,5814295.568849096,0.191425001
162,162,1906495.112865808,5814281.10288101,0.681544642
163,163,1906228.071183638,5814270.915106384,0.460850007
164,164,1906673.048967955,5814366.090360769,0.376342984
165,165,1906766.32252301,5814250.870841677,0.312999999
166,166,1905707.930927642,5814283.44903515,0.059999999
167,167,1905759.864922787,5814282.839428438,0.291271554
168,168,1906535.76123808,5814271.13595929,0.548328313
169,169,1906799.443908352,5814244.682694768,0.177655172
170,170,1906789.326093662,5814230.043176891,0.315518991
171,171,1906590.189779793,5814238.942556669,0.548023115
172,172,1905651.303877272,5814249.466459516,1.10164709
173,173,1906646.104493796,5814215.410505517,0.675100001
174,174,1906796.497643785,5814209.805703697,0.613820513
175,175,1906825.283054543,5814223.10294667,0.044816793
176,176,1905643.782580607,5814238.882108099,0.479999999
177,177,1906875.12297018,5814197.097362219,-0.014
178,178,1905830.075595914,5814225.803972276,0.059999999
179,179,1906098.851092811,5814248.661138259,0.277171631
180,180,1906819.343548061,5814189.191601262,0.043777776
181,181,1906890.58200263,5814186.535831718,-0.014
182,182,1905837.620449882,5814215.538630286,0.059999999
183,183,1906040.624985831,5814209.318481594,0.361601767
184,184,1906007.430372416,5814199.241677921,0.278232258
185,185,1906894.38727798,5814166.800768271,-0.014
186,186,1905897.730392792,5814223.932973033,0.059999999
187,187,1905907.960432346,5814193.162518686,0.059999999
188,188,1905987.271225609,5814190.006193301,0.274323525
189,189,1906062.467174818,5814187.210127061,1.019752134
190,190,1906131.410646831,5814191.154342064,0.222905829
191,191,1906287.897944643,5814179.031773939,0.237763643
192,192,1905860.254892962,5814184.742555069,0.059999999
193,193,1906097.900885251,5814180.899874784,0.848212499
194,194,1906901.559013157,5814146.563125963,-0.014
195,195,1906113.360732769,5814170.339861419,1.119462031
196,196,1906136.550431881,5814154.499779157,1.14286842
197,197,1906154.435564752,5814149.951419238,0.437049792
198,198,1905636.771998641,5814157.525519419,0.244145458
199,199,1906182.724018712,5814132.812082307,0.213333337
200,200,1906359.425864691,5814142.632077919,0.307324767
201,201,1906761.119296076,5814111.273541338,0.413725001
202,202,1905913.075882112,5814159.585300941,0.129995615
203,203,1906739.111172379,5814093.894196036,0.380283623
204,204,1906782.039554245,5814093.279856911,0.410597087
205,205,1905599.643552263,5814123.552926337,1.355545434
206,206,1906158.441774733,5814103.760364289,1.367641011
207,207,1906178.983021119,5814110.073739573,0.245855614
