OID,FID_,X,Y,BCE_Bluesk
93,93,1412807.463578817,4932649.487850361,-0.711284221
94,94,1412811.751082804,4932618.7755418,-0.53544793
95,95,1411093.382472857,4932564.710457371,-0.850686959
96,96,1412584.014839562,4932555.436785999,-0.916253012
97,97,1412664.786019842,4932589.81741326,-0.955999956
98,98,1412234.829673966,4932524.346632541,-0.674185711
99,99,1411120.990136899,4932496.779838895,-0.887115174
100,100,1412168.291018483,4932519.168398979,-0.787749521
101,101,1412567.247321211,4932514.597311407,-0.933840032
102,102,1412944.186978459,4932530.163559936,-9999.0
103,103,1412252.681669142,4932500.741213511,-0.877293987
104,104,1412889.032988338,4932519.08470508,-0.85337933
105,105,1412955.229857819,4932515.498723074,-9999.0
106,106,1411146.13526752,4932452.015912148,-0.899999976
107,107,1411212.657108166,4932459.995517856,-0.661723076
108,108,1411031.874650427,4932438.709506755,-0.637697188
109,109,1412966.877262149,4932489.207690596,-9999.0
110,110,1411195.965260019,4932423.560239804,-0.899999976
111,111,1411163.636031751,4932420.966164174,-0.880234614
112,112,1411271.323792673,4932417.665528565,-0.698529993
113,113,1411313.861497571,4932398.977117398,-0.705582911
114,114,1412017.698335742,4932417.895919676,-9999.0
115,115,1412038.512616399,4932418.729721323,-9999.0
116,116,1412056.556632297,4932418.403432213,-9999.0
117,117,1412046.234186072,4932399.507896896,-9999.0
118,118,1412095.176829444,4932400.25807174,-9999.0
119,119,1411720.355802773,4932299.225414981,-0.904384631
120,120,1411301.647498856,4932266.559245938,-0.972939992
121,121,1412135.456499999,4932293.982122608,-0.601283585
122,122,1412395.333590454,4932435.941568397,-0.914587799
123,123,1411341.188001205,4932248.156988728,-0.994483866
124,124,1411389.945926403,4932229.741329337,-9999.0
125,125,1412722.124322104,4932249.551545342,-9999.0
126,126,1411863.749335678,4932183.691730569,-0.748836734
127,127,1411822.724536578,4932152.482712477,-0.766937519
128,128,1411655.60743916,4932127.446020571,-0.865632657
129,129,1411523.130767996,4932113.443891327,-9999.0
130,130,1411804.913783964,4932128.264666691,-0.888836971
131,131,1411956.409194549,4932126.557534768,-0.739843125
132,132,1412541.073371049,4932147.278008134,-9999.0
133,133,1411498.461965453,4932103.305285146,-0.976433337
134,134,1411803.269155025,4932101.947321991,-0.84889796
135,135,1412086.795090489,4932110.896427972,-0.643553201
136,136,1411465.437865274,4932072.11511416,-0.960936161
137,137,1411953.838184397,4932078.234679577,-0.658904402
138,138,1411872.59933266,4932120.280586231,-0.747967962
139,139,1411955.826955721,4932047.002381755,-0.633358698
140,140,1411956.732126096,4932017.061712721,-0.565968425
141,141,1412466.873604952,4932032.463469307,-0.944600018
142,142,1412337.395300263,4932022.9816082,-0.682418334
143,143,1412309.999578651,4932000.450429847,-0.652887676
144,144,1412046.34365893,4931969.976363081,-0.572841726
145,145,1412070.051680294,4931970.539905606,-0.572031919
146,146,1411755.785063634,4932219.623479657,-0.820933443
147,147,1411287.689387741,4931911.859148152,-0.618473886
148,148,1411679.922152523,4931918.782621122,-0.844612913
149,149,1411829.817691439,4931907.18413915,-0.744378946
