OID,FID_,X,Y,BCE_Waimea
123,123,1610002.529857071,5431384.966944177,0.33899999
124,124,1609944.808602882,5431373.589878346,0.040588218
125,125,1609963.591121449,5431353.619519883,0.034856133
126,126,1607056.066840085,5431396.812448125,0.960666666
127,127,1607736.449508,5431296.494699144,0.867770373
128,128,1609504.136359305,5431212.52159575,1.367947363
129,129,1609546.739574328,5431192.729516547,0.961718642
130,130,1607830.9735269,5431212.920301349,1.402536797
131,131,1609534.133993254,5431111.427975694,1.21482225
132,132,1609553.017492933,5431064.719425974,2.175960002
133,133,1609571.693143879,5431054.812607341,1.423517227
134,134,1608349.022428548,5430887.156810359,1.243000004
135,135,1606517.411715298,5430997.881449856,1.12842705
136,136,1609613.660704416,5430891.187225734,1.479000002
137,137,1608356.663929135,5430857.753696357,1.164224498
138,138,1608277.327491896,5430842.4671497,1.447118833
139,139,1607623.027465226,5430758.109078492,1.801139055
140,140,1606806.722205744,5430729.001744034,0.872556525
141,141,1606784.143120147,5430719.050513696,0.999600001
142,142,1606765.325716962,5430709.095720535,1.012799999
143,143,1607595.77282695,5430708.861946915,1.262166678
144,144,1608205.256458021,5430708.961894553,1.543611094
145,145,1606746.508365352,5430699.140868879,1.079399994
146,146,1607288.180984648,5430698.618318398,1.531936382
147,147,1607378.459755713,5430698.527289531,1.133038347
148,148,1607438.645603273,5430698.465991525,0.964891899
149,149,1608183.234313163,5430687.978955655,1.460417947
150,150,1608290.584443424,5430722.766973936,1.651696114
151,151,1608341.608662393,5430677.862012302,1.507880624
152,152,1607263.067391895,5430682.048872191,1.478536647
153,153,1607521.370209907,5430668.463970312,1.045957146
154,154,1608356.507974912,5430667.642840547,1.382657123
155,155,1608393.909831982,5430667.713944017,0.917249998
156,156,1606706.554410249,5430673.872463209,0.879852415
157,157,1607250.52506999,5430658.766655583,1.665542841
158,158,1607536.406277999,5430658.476080918,1.280642848
159,159,1608364.465514706,5430658.850883171,1.402066722
160,160,1607242.991950584,5430648.80183464,2.127349988
161,161,1608165.779988943,5430666.484402018,1.874788813
162,162,1606676.246662976,5430643.438527144,0.527999997
163,163,1606643.620087026,5430610.254440871,1.042000055
164,164,1608463.828853324,5430628.327818096,1.312179965
165,165,1608138.679050692,5430604.422389504,1.319547613
166,166,1608604.60487219,5430577.512272923,1.5185692
167,167,1606554.937425683,5430560.284557368,0.842725481
168,168,1608632.605507147,5430564.753984571,1.211258055
169,169,1608664.89429221,5430537.755884496,1.003039193
170,170,1607807.187701712,5430608.124841518,1.229533353
171,171,1608679.764548525,5430517.588980085,1.347025003
172,172,1608691.037201634,5430507.603183726,1.253179998
173,173,1607837.161953804,5430498.600997176,1.153850015
174,174,1607242.4108813,5430521.040411429,1.062299999
175,175,1607231.868328724,5430483.570636965,1.05399996
176,176,1607225.293149418,5430471.543705253,1.182499982
177,177,1606478.291647808,5430636.298147669,1.274313529
178,178,1607852.427991609,5430462.165861788,1.166883246
179,179,1608005.938777846,5430439.24866744,1.053857133
180,180,1607957.315017564,5430431.660239426,1.010933348
181,181,1608127.151633238,5430442.151399319,1.199679592
182,182,1607931.546850982,5430413.282291201,1.027999997
183,183,1607925.240660045,5430399.538056808,0.92629628
184,184,1607869.221897563,5430406.794845704,1.08744879
185,185,1607074.540096367,5430615.986189316,1.022965906
186,186,1608749.943504158,5430439.401529321,1.119322977
187,187,1608736.95499394,5430324.84952981,0.694384607
188,188,1610522.506877554,5430235.931007222,0.064471428
189,189,1610564.753332644,5430241.076359232,-0.469999999
190,190,1610601.286407624,5430200.68587862,-0.35228082
191,191,1608607.585800973,5430183.973106395,0.413999975
192,192,1611873.411730317,5430201.002733706,1.457777565
193,193,1610732.815971708,5430116.160044258,-0.279509433
194,194,1610655.960929038,5430102.959740282,0.846476865
195,195,1608505.962582271,5430086.014803235,0.673243244
196,196,1611853.534899882,5430089.284400123,0.351009528
197,197,1608423.48444922,5430077.223879484,0.717285717
198,198,1610456.163174466,5430090.336837582,0.653899155
199,199,1608415.938672696,5430069.143926547,0.816949999
200,200,1611780.900584535,5430127.735275695,0.523026819
201,201,1610856.956971122,5430026.020129655,0.766620005
202,202,1608399.346365576,5430023.756135977,1.051105587
203,203,1610700.619444617,5429986.362439952,0.031552941
204,204,1608373.275575686,5429965.892375188,0.80325
205,205,1611007.271953069,5429936.043016485,0.726273342
206,206,1610731.160635759,5430015.524747704,0.764681151
207,207,1611936.126514148,5429924.809966734,0.765153847
208,208,1608109.009360504,5429929.972455448,0.884897432
209,209,1611693.728981727,5429890.438613877,1.318666657
210,210,1609679.338604447,5429892.421339948,0.620857146
211,211,1610454.398678561,5429896.939024718,0.588566347
212,212,1610951.157568873,5429889.485306883,0.970076924
213,213,1611078.630604077,5429886.340275307,1.00634833
214,214,1608052.812794609,5429876.872596794,0.928822218
215,215,1608197.114956268,5429880.518265262,1.246152516
216,216,1610491.746393532,5429877.175441955,0.510823527
217,217,1610600.957476455,5429866.492854035,-0.257932697
218,218,1610980.84550765,5429871.26268335,0.87411251
219,219,1612615.763396063,5429868.689734157,1.3757425
220,220,1610751.390761557,5429856.646999859,0.11626667
221,221,1611688.473840058,5429855.20121921,0.157566039
222,222,1611943.685789711,5429854.786544993,0.971571415
223,223,1611855.148013143,5429901.125491114,0.753065241
224,224,1612561.20909352,5429841.688253636,0.964583332
225,225,1608214.311209998,5429859.059797734,0.835115196
226,226,1612297.203288663,5429834.252623963,0.951724998
227,227,1612952.767368502,5429930.584364358,1.365548717
228,228,1608190.710620634,5429828.690286704,1.275452828
229,229,1611920.918165463,5429825.111338678,0.113803923
230,230,1612634.691661001,5429827.176828155,1.358584194
231,231,1612816.811528599,5429826.895521474,1.120096748
