OID,FID_,X,Y,BCE_Tairua
241,241,1852971.342671859,5898290.089633475,-0.655659327
242,242,1852716.114032742,5897329.461207635,0.14096292
243,243,1852692.605487018,5897312.550752614,-0.655573852
244,244,1852674.854465368,5897254.708741118,-0.592571419
245,245,1852114.683953942,5897239.805878988,-0.676925924
246,246,1852365.48044632,5897217.869225482,-0.346574077
247,247,1852092.734392478,5897206.737980293,-0.647926948
248,248,1852432.106347426,5897160.691139118,-0.556549998
249,249,1852072.187078198,5897161.453721222,-0.606734184
250,250,1852563.89119398,5897211.78165421,-0.646885623
251,251,1852438.746684127,5897120.78365225,-0.48136206
252,252,1852518.822839971,5897118.19058448,-0.558287503
253,253,1852430.159740897,5897101.084799652,-0.42770371
254,254,1852037.821252655,5897081.930066122,-0.166000006
255,255,1852060.62842698,5897042.067128701,-0.554175018
256,256,1852479.713121336,5897046.211692612,-0.654616672
257,257,1852617.810169046,5897018.323744968,0.219295081
258,258,1852423.323239754,5897014.276413749,-0.65338028
259,259,1852623.826483116,5896993.836474001,0.233571429
260,260,1852043.798026587,5896987.612595226,-0.514000023
261,261,1852122.966561769,5897029.34011161,-0.552001103
262,262,1852061.641368019,5896907.152515995,-0.573559478
263,263,1852159.152531852,5896839.576308225,-0.567320748
264,264,1852048.744043586,5896790.198394078,-0.565428564
265,265,1852163.289641602,5896729.699071748,-0.556791671
266,266,1852099.47429891,5896661.759393921,-0.552083318
267,267,1852181.334264729,5896664.3061426,-0.548163518
268,268,1852107.460170412,5896615.542790731,-0.551999986
269,269,1852113.665156647,5896602.495664401,-0.551999986
270,270,1852156.597549741,5896505.402177402,-0.552265843
271,271,1852407.946821452,5896439.585893848,-0.389390375
272,272,1852210.60712738,5896423.44340881,-0.55692791
273,273,1852207.923364487,5896349.217426341,-0.559800005
274,274,1852212.079260422,5896307.571334238,-0.561373173
275,275,1852421.87630613,5896263.008423585,-0.566999972
276,276,1852231.69001857,5896266.947584524,-0.56284695
277,277,1852420.057539632,5896244.050871748,-0.555064489
278,278,1852423.524332761,5896092.378879608,-0.547500042
279,279,1852198.849316206,5896045.170376235,-0.534106272
280,280,1852205.963768695,5896025.003081654,-0.515025864
281,281,1852260.244040865,5895958.527841542,-0.509848094
282,282,1852267.936889349,5895948.320535909,-0.465825005
283,283,1852278.52215928,5895930.820787559,-0.28382202
284,284,1852321.923508644,5895887.044094496,-0.502321458
285,285,1852262.579805583,5895768.882826857,-0.424749985
286,286,1852338.928812219,5895749.702595998,-0.509000003
287,287,1852245.557471045,5895734.469862542,-0.509210187
288,288,1852199.974485273,5895680.953112984,-0.204474999
289,289,1851356.798238834,5895596.563304176,-0.250678854
290,290,1851401.688374612,5895594.990256805,-0.603416661
291,291,1851645.385868904,5895587.735018355,-0.087310138
292,292,1851705.351329541,5895587.286218725,-0.531791692
293,293,1851577.174149133,5895579.81397088,-0.577168778
294,294,1852205.795300333,5895543.566782795,-0.535100022
295,295,1852168.837039539,5895522.970041197,-0.396309551
296,296,1851204.153170614,5895541.000285022,-0.49642499
297,297,1851984.880749194,5895481.156062043,-0.549491544
298,298,1851629.541041246,5895458.498241931,-0.399846156
299,299,1851715.180910924,5895446.484308321,-0.462902657
300,300,1851756.158273796,5895445.56007382,-0.525115581
301,301,1851673.587194821,5895451.055984026,-0.221151511
302,302,1850669.714488165,5895317.413181947,-0.383735837
303,303,1850438.755186134,5895214.510729596,-0.615721518
304,304,1850478.725175963,5895214.053138114,-0.628755119
305,305,1850518.651951187,5895212.141695524,-0.620975
306,306,1850424.879255752,5895145.638930983,-0.591569823
307,307,1850315.660910645,5895108.40692766,-0.563912512
308,308,1850265.951561656,5895050.014939282,-0.547550019
309,309,1850255.30012956,5895027.881540062,-0.527687698
310,310,1850261.829621918,5894941.527851064,-0.550291675
311,311,1850116.237143987,5894854.899970221,-0.546374994
312,312,1849981.268996478,5894692.032720466,-0.518135518
313,313,1849925.993652629,5894641.027475244,-0.529149988
314,314,1849913.715037321,5894631.413275876,-0.526647804
315,315,1849419.483153771,5894276.85839132,-0.62986077
