OID,FID_,X,Y,BCE_Kawhia
255,255,1760600.393959255,5784025.796710948,-9999.0
256,256,1760628.244865043,5784026.039614588,-9999.0
257,257,1760720.042640824,5784036.945763622,-9999.0
258,258,1760820.714481294,5784021.865376809,-9999.0
259,259,1760904.94674698,5784043.761194745,-9999.0
260,260,1760800.983359619,5784038.220156421,-9999.0
261,261,1762514.644324935,5783978.273242076,-9999.0
262,262,1760780.914475061,5784002.291061704,-9999.0
263,263,1760819.950247123,5784000.832245647,-9999.0
264,264,1761286.33040054,5784002.255442931,-0.288175296
265,265,1762523.468076165,5783949.525916801,-9999.0
266,266,1764983.344002689,5783867.128669364,0.636092595
267,267,1762030.488558914,5784462.862994255,0.128687824
268,268,1765357.011864169,5783810.99122749,0.327935062
269,269,1761095.163501475,5783877.349943525,-9999.0
270,270,1765203.962390882,5783798.244766779,1.231760003
271,271,1765474.522131372,5783786.97534357,0.909638301
272,272,1761134.006124686,5783875.910482254,-9999.0
273,273,1765175.139559145,5783784.72719293,0.018218179
274,274,1765536.421756939,5783727.292282014,0.126171426
275,275,1758842.35233617,5783821.146002367,-9999.0
276,276,1758782.673945287,5783792.39318678,-9999.0
277,277,1757569.076588879,5783806.893102667,-0.234888885
278,278,1763216.55279118,5783729.574490042,-0.151297253
279,279,1757769.569695517,5783791.05681126,-9999.0
280,280,1758726.559944588,5783781.944153755,-9999.0
281,281,1757714.779136673,5783794.109142644,-0.071697477
282,282,1763306.539553489,5783678.00730311,-0.323988838
283,283,1757150.407956375,5783789.062275597,1.062666655
284,284,1757379.82190393,5783784.190658366,-0.036714288
285,285,1762666.519704212,5783680.849148701,-0.30288312
286,286,1765646.510268676,5783592.817713599,-0.330869153
287,287,1757677.863985695,5783734.286785962,0.555925922
288,288,1757618.480226394,5783735.664726504,0.575286309
289,289,1757779.097922827,5783662.314162452,-0.437588239
290,290,1762845.409081067,5783552.411907711,-0.252267862
291,291,1763321.674895889,5783575.421753476,-0.430646689
292,292,1757583.229244783,5783642.284233788,0.69452479
293,293,1759960.875576439,5783580.594350386,-9999.0
294,294,1760008.136525104,5783578.938839935,-9999.0
295,295,1757525.561265059,5783620.243716314,0.990162605
296,296,1759353.982074769,5783582.519231173,-9999.0
297,297,1759433.334249972,5783580.239105112,-0.517405403
298,298,1757462.42351532,5783599.197471066,0.81685714
299,299,1757656.778438362,5783603.869547191,0.092304693
300,300,1760283.320195993,5783543.611206559,-9999.0
301,301,1757801.074296438,5783697.743018999,0.729243348
302,302,1759810.219100161,5783543.143776639,-0.35092454
303,303,1760257.173647403,5783532.880980898,-0.477227276
304,304,1762909.469894435,5783726.801201007,-0.001291121
305,305,1757596.133904027,5783573.106310354,-9999.0
306,306,1759081.357133709,5783547.233093215,-0.722357144
307,307,1760395.181388122,5783527.152273837,-0.667833336
308,308,1759033.887614048,5783538.188042177,-0.355139159
309,309,1759478.895790106,5783529.278482791,-0.24698214
310,310,1759612.849321135,5783527.069859685,0.219381817
311,311,1760401.073840081,5783511.168494884,-0.573624998
312,312,1760680.635751125,5783506.216083021,-9999.0
313,313,1757312.021518978,5783561.605975567,3.870773576
314,314,1759160.19206387,5783525.073385326,-0.223805549
315,315,1759289.764576505,5783523.215379901,-0.296025
316,316,1759324.793726745,5783521.94587857,-0.184809522
317,317,1759439.313074683,5783520.496821088,-0.368148159
318,318,1758994.200036149,5783524.004729807,-9999.0
319,319,1759131.8322992,5783516.538363644,-0.347240737
320,320,1758970.270814891,5783509.513636353,-9999.0
321,321,1759020.149204212,5783510.706395313,-9999.0
322,322,1759199.197983965,5783504.366714145,-0.155101851
323,323,1759446.947745169,5783492.391514413,-0.194916359
324,324,1759611.881022814,5783545.846088148,-0.064632951
325,325,1757212.537973007,5783621.973345046,1.307309427
326,326,1759311.508852747,5783534.860419495,-0.35352723
327,327,1760213.507839246,5783469.28210346,0.089246753
328,328,1760240.223538303,5783459.578530111,0.077503545
329,329,1760908.369700105,5783442.120036445,-9999.0
330,330,1759792.271362113,5783471.383932509,-0.062090052
331,331,1761317.688119951,5783414.0780089,-0.63816667
332,332,1757405.553669437,5783513.155751841,0.796146398
333,333,1758889.085296529,5783457.75739584,-9999.0
334,334,1759040.247021279,5783438.926755909,-9999.0
335,335,1757065.990517992,5783466.527829266,-0.708000004
336,336,1759023.485919069,5783473.527445343,-9999.0
337,337,1761265.0600419,5783364.674568457,-0.354350005
338,338,1761466.664387713,5783371.362661751,-9999.0
339,339,1759353.7684543,5783393.000398302,-0.06075701
340,340,1759499.731649833,5783418.658930452,-0.072452113
341,341,1761311.56229731,5783353.781313479,-0.511574064
342,342,1761337.869376484,5783370.734709235,-0.600079988
343,343,1756970.046689615,5783448.793786236,1.272058836
344,344,1759274.803567138,5783438.622412446,-0.200319825
345,345,1756857.047329215,5783420.67699827,0.3498
346,346,1760589.840164802,5783349.21717449,-0.029956988
347,347,1756804.580535366,5783401.91905882,-9999.0
348,348,1760523.293708726,5783329.675719136,0.063854545
349,349,1756747.313621788,5783391.226687468,0.795945726
350,350,1759418.169030335,5783346.135444041,-0.085146563
351,351,1756697.640082531,5783374.060648356,0.820935894
352,352,1763522.999193567,5783245.929106359,-0.277956522
353,353,1756503.520555239,5783354.643041614,-0.986000001
354,354,1756614.528188924,5783355.715410352,1.55965065
355,355,1759252.86310164,5783340.660442507,-0.231228988
356,356,1756515.42380209,5783347.064908942,-9999.0
357,357,1756551.150473268,5783347.169754786,0.127200001
358,358,1759342.978278652,5783343.381439271,-0.153767677
359,359,1759486.329175676,5783343.042751264,-0.055223438
360,360,1759795.464142351,5783280.034921845,-0.04105797
361,361,1758689.799279223,5783290.922314625,-9999.0
362,362,1759304.706048072,5783275.014544452,-0.173996044
363,363,1761112.6062745,5783248.766537417,-0.089677703
364,364,1756129.065910661,5783295.81747942,-9999.0
365,365,1756208.292624489,5783309.938538261,-0.023808975
366,366,1759327.346566702,5783228.301473145,-0.199916664
367,367,1762336.73954317,5783169.178145169,-0.481331754
368,368,1759383.111149003,5783246.505365569,-0.141951305
369,369,1759492.274633517,5783215.412446924,-0.080319247
370,370,1759976.456009651,5783169.97373894,-9999.0
371,371,1762363.916730604,5783123.656843589,-0.37905263
372,372,1759338.057974339,5783189.745954756,-0.160140937
373,373,1759550.383147236,5783187.037666048,-0.051103666
