OID,FID_,X,Y,BCE_Kawhia
409,409,1767714.957045152,5784077.872228259,0.867918605
410,410,1767745.924907162,5784079.930048062,1.227469833
411,411,1767772.547027697,5784073.674057378,0.892485983
412,412,1766143.502527348,5784084.91660731,1.151584568
413,413,1766178.568418154,5784083.298768534,1.028307697
414,414,1768057.357093055,5784045.104847812,-0.491379993
415,415,1766151.540004477,5784075.496702702,1.521615352
416,416,1767718.328255697,5784042.137045902,1.12836
417,417,1766166.601024902,5784069.920167226,1.39957245
418,418,1766188.582989928,5784066.156175865,1.225592722
419,419,1766197.784598294,5784053.707214283,1.607749982
420,420,1766213.41002541,5784052.29357413,1.237269216
421,421,1767127.514010673,5784034.284585716,4.909999937
422,422,1767726.845967401,5784022.398886062,1.125406268
423,423,1768033.493429639,5784022.320380241,0.035767241
424,424,1759042.023816623,5784186.219919252,-9999.0
425,425,1764781.540171341,5784074.930755146,0.583352113
426,426,1766255.830073727,5784072.296267755,1.454852845
427,427,1767147.507073069,5784027.000203646,1.203710614
428,428,1764841.570793954,5784051.187379235,0.855296297
429,429,1767126.875651665,5784004.412537961,0.718474999
430,430,1767261.267566866,5784006.726569667,0.749962518
431,431,1764857.128779444,5784040.900023211,0.940666665
432,432,1764864.961550869,5784030.560913561,0.902291134
433,433,1766463.987275996,5783998.04088489,0.66510204
434,434,1767739.147178326,5783990.366407881,0.989177755
435,435,1767945.402891919,5783947.894501629,-0.053555552
436,436,1764875.629340688,5784011.698804809,0.640107574
437,437,1759009.536852301,5784107.804227754,-9999.0
438,438,1761514.519216719,5784028.084397392,-0.089703704
439,439,1758992.410784855,5784067.522572136,-9999.0
440,440,1758976.461874232,5784028.672222852,-9999.0
441,441,1764917.139742626,5783890.097642569,-0.035254547
442,442,1767966.370042657,5783817.816940235,0.309370378
443,443,1765050.440829814,5783847.299805564,0.013199999
444,444,1765085.240052521,5783851.130403591,0.160832001
445,445,1766208.171919737,5783823.757966227,0.804833353
446,446,1766224.520585324,5783824.151515141,0.735361714
447,447,1758943.567522884,5783958.782669928,-9999.0
448,448,1765125.522534863,5783836.389851794,0.048622641
449,449,1764601.054419714,5783836.240731511,0.222800002
450,450,1765325.879937951,5783824.573521747,0.201147603
451,451,1765250.33191591,5783814.004509579,-0.110296296
452,452,1765309.86150482,5783812.121329644,-0.004575001
453,453,1758927.22501424,5783929.185142935,-9999.0
454,454,1765238.742906208,5783803.59186776,-0.252087501
455,455,1765344.747423896,5783804.699941546,0.083396739
456,456,1767696.604480235,5783753.358782304,0.861444442
457,457,1758922.896247473,5783909.32506593,-9999.0
458,458,1765467.009196165,5783779.22055253,0.229163636
459,459,1765722.523984953,5783782.305318532,0.628836263
460,460,1765458.600634639,5783769.003297098,-0.182592601
461,461,1758910.785268485,5783894.603471434,-9999.0
462,462,1765828.745758587,5783751.918696281,0.307178574
463,463,1766108.624667998,5783746.007945579,0.304445163
464,464,1766017.806560746,5783737.88700154,0.485999998
465,465,1758894.526321418,5783869.263207067,-9999.0
466,466,1765670.903773047,5783734.977890668,0.378750001
467,467,1767334.456926563,5783710.321330726,1.588934809
468,468,1758878.392523611,5783850.359744188,-9999.0
469,469,1765646.859707473,5783715.521788137,0.448092436
470,470,1765999.305388846,5783711.115880843,0.193537473
471,471,1767656.13915587,5783674.410269939,0.746450005
472,472,1765938.043932044,5783699.829837088,0.058603773
473,473,1765619.960392421,5783697.785778979,-0.093824999
474,474,1765949.822026719,5783689.760124605,-0.069644862
475,475,1765973.460525627,5783689.278461675,-0.083928565
476,476,1767643.90948731,5783654.716611109,0.549775013
477,477,1758814.579662903,5783811.716055456,-9999.0
478,478,1758806.505837299,5783801.901537932,-9999.0
479,479,1758774.794094709,5783792.547167308,-9999.0
480,480,1758750.961562539,5783783.039623721,-9999.0
481,481,1757466.433850016,5783798.00357608,-9999.0
482,482,1758608.938834892,5783775.835409818,-9999.0
483,483,1758664.09480996,5783774.760739332,-9999.0
484,484,1758727.129087171,5783773.532483834,-9999.0
485,485,1757332.100012293,5783780.655475798,-0.007474999
486,486,1757087.648974261,5783775.401745442,1.121784818
487,487,1767850.852895592,5783559.972946693,0.407408163
488,488,1767842.783009516,5783550.893723922,0.398600008
489,489,1767858.542085923,5783550.568809872,0.573534253
490,490,1767834.698162403,5783541.087625014,0.41645001
491,491,1767827.18786694,5783531.269318409,0.3560566
492,492,1767794.25939184,5783491.330145949,0.308288467
493,493,1757621.691613875,5783674.608783678,0.574037744
494,494,1767781.598900665,5783479.011449143,0.271873494
495,495,1767793.863684658,5783472.11992827,0.563224987
496,496,1757614.208077608,5783665.508685368,0.584396237
497,497,1767330.830516557,5783479.27483563,0.483275318
498,498,1767368.158989174,5783470.179662125,1.371901949
499,499,1767312.916200113,5783467.055569852,0.368468751
500,500,1767384.044560501,5783462.563511426,0.659352941
501,501,1767320.488332369,5783451.940992935,0.516013339
502,502,1767399.964118811,5783452.543586744,0.561621631
503,503,1757630.316068461,5783651.870036286,0.702977748
504,504,1767305.099459214,5783442.284460337,0.44046939
505,505,1767415.239083097,5783440.563620708,0.602157149
