OID,FID_,X,Y,BCE_Whitia
190,190,1838625.024330083,5918132.528394867,0.28155
191,191,1838296.143940803,5918131.968622134,0.782945473
192,192,1838616.733997826,5918122.784859486,0.321475003
193,193,1838600.433030489,5918113.266120551,0.490037036
194,194,1838761.231266415,5918108.756782453,-0.095854548
195,195,1838588.137672271,5918103.634705602,0.566543752
196,196,1838138.079904537,5918123.332099161,0.562171873
197,197,1839384.36173861,5918051.348852924,0.538199998
198,198,1838145.114628606,5918083.940674732,0.864433953
199,199,1838727.0450401,5918060.037201435,-0.063333336
200,200,1839376.277249296,5918041.369161746,0.749205485
201,201,1838340.27727965,5918105.87302141,0.734973343
202,202,1838165.399784313,5918031.200336152,0.697860925
203,203,1838675.63353039,5918018.887293238,0.027628713
204,204,1838605.369537647,5918003.39216474,-0.13721519
205,205,1838173.31568611,5918012.354819379,0.644855259
206,206,1839366.097493753,5917972.054251028,0.338174994
207,207,1838700.206510857,5917971.333831046,0.598220003
208,208,1838189.700156783,5917962.782658084,0.837818195
209,209,1839364.695681197,5917922.213483792,0.486037495
210,210,1838195.652178977,5917946.687302962,0.783550901
211,211,1839371.561396288,5917902.06829461,0.408000003
212,212,1838297.084612261,5918000.14958453,0.252495704
213,213,1838253.714087451,5917884.14126794,0.449330187
214,214,1839378.1700193,5917852.002205142,0.383539998
215,215,1838200.728013125,5917865.084724022,0.306949997
216,216,1838273.356534657,5917868.441090886,0.21559076
217,217,1838360.702335303,5917860.810277332,0.195526313
218,218,1838328.724151419,5917851.741068265,0.158944441
219,219,1838208.246350753,5917849.91376342,0.321675
220,220,1838240.102586015,5917848.382878588,0.214717739
221,221,1838215.838254135,5917834.737349151,0.3044
222,222,1839384.778533728,5917801.936103102,0.55588679
223,223,1838244.490107548,5917815.787683973,-0.054190476
224,224,1839383.680223085,5917742.110737421,1.56400003
225,225,1840865.203566814,5917680.152868472,-0.107821428
226,226,1839395.420973942,5917721.406813523,0.566423082
227,227,1839414.600044619,5917701.336721591,1.285346153
228,228,1839430.340302488,5917690.917823533,-0.154374998
229,229,1840867.697100272,5917656.875976051,0.08955357
230,230,1840839.600383819,5917631.197846237,-0.148481481
231,231,1840885.65561332,5917637.116729305,0.2770137
232,232,1840895.390706724,5917619.642624625,0.42095062
233,233,1840941.19488251,5917538.536337084,0.456329111
234,234,1839352.779679157,5917498.566846139,0.159424051
235,235,1840961.576694278,5917408.996124263,1.654326534
236,236,1840968.829110489,5917387.90958109,1.623945505
237,237,1839358.546638586,5917418.596253207,0.174677213
238,238,1839365.715489005,5917388.466445656,0.016613924
239,239,1839363.31149862,5917303.010228813,-0.042254903
240,240,1840849.276881485,5917363.346339914,1.106055078
241,241,1840901.873580968,5917262.193688505,2.378534871
242,242,1839354.901347504,5917289.010164508,0.275475002
243,243,1840957.886980348,5917201.754592896,3.743285826
244,244,1840971.69830988,5917188.91930102,4.074436618
245,245,1840979.531083242,5917178.856734234,4.389865672
246,246,1840995.112627978,5917177.867081514,4.47563737
247,247,1840501.222033687,5917030.572862943,0.928484854
248,248,1840532.749364316,5916991.627998066,0.543105263
249,249,1840468.131296485,5917015.436914437,0.206686422
250,250,1840459.111877538,5916953.60356865,-0.081699998
251,251,1839045.789149942,5916843.790918,-0.200474996
252,252,1839012.654713608,5916784.8657177,-0.079380002
253,253,1840153.41304957,5916752.388532368,-0.147777779
254,254,1840123.680192265,5916713.674190968,0.922836377
255,255,1840115.973396762,5916703.915593164,0.774900005
256,256,1838978.774253213,5916730.949389073,0.898173921
257,257,1840565.55627365,5916678.484689564,-0.677116316
258,258,1838985.942034572,5916710.795984144,0.492600008
259,259,1839011.37094297,5916724.572966945,-0.019536405
260,260,1838993.391357384,5916690.634655733,0.538706246
261,261,1839025.147330068,5916689.742449068,-0.160415926
262,262,1839006.769354892,5916672.710714124,0.340887804
263,263,1840693.330944882,5916428.218623314,-0.312175001
264,264,1838649.586498961,5916435.922301135,-0.274649999
265,265,1840939.64008554,5916351.412183255,0.149887502
266,266,1840954.921126743,5916330.825829403,0.130836364
267,267,1840993.837150943,5916289.818482086,0.156909088
268,268,1841009.971617155,5916276.258192027,0.065471076
269,269,1838316.024538049,5916326.823925523,-0.342708925
270,270,1838358.0669886,5916324.183234597,-0.349499982
271,271,1841040.934418725,5916248.780430651,0.328349998
272,272,1841700.197859067,5916227.138294876,0.598750025
273,273,1838276.294883686,5916309.485875891,-0.316124998
274,274,1841048.378637041,5916228.616934406,0.193164558
275,275,1838437.137254836,5916291.513097583,-0.108327268
276,276,1841064.114325154,5916218.194833198,0.187199998
277,277,1838244.663059422,5916287.657593718,-0.293669446
278,278,1841077.515139758,5916203.959013272,0.163143443
279,279,1837560.902706076,5916297.176224956,0.639253519
280,280,1837587.370704548,5916286.090972485,0.669098766
281,281,1838224.513610098,5916264.612297244,-0.269471033
282,282,1841111.058666654,5916177.686767277,0.20009434
283,283,1837600.468334635,5916272.558933744,0.608224768
284,284,1841190.845448929,5916164.72099329,0.286000002
285,285,1841843.987716911,5916144.805497784,0.813450009
286,286,1838200.32953743,5916247.89665904,-0.213669773
287,287,1841663.829613481,5916141.872432927,0.298540982
288,288,1837558.455454244,5916261.674558442,0.762000024
289,289,1838158.922615853,5916230.194568071,-0.243022017
290,290,1841807.183768127,5916126.91301514,0.509479998
291,291,1841671.156220049,5916127.321498864,0.296733336
292,292,1838124.49698446,5916208.605970856,-0.33457895
293,293,1840989.491206979,5916130.523191205,-0.428820512
294,294,1841269.631820499,5916122.380184173,0.203345449
295,295,1841677.677602535,5916110.996981392,0.365433956
296,296,1841005.226655141,5916120.101020638,-0.47263751
297,297,1841429.438357325,5916098.821820136,1.076215672
298,298,1838099.854242381,5916178.569471669,-0.258545468
299,299,1841028.688393828,5916099.483851976,-0.415430383
300,300,1841341.209052395,5916090.823430937,0.214749997
301,301,1841044.423725476,5916089.061587195,-0.439395073
302,302,1841324.735995489,5916081.11306381,0.022366667
303,303,1841500.7026933,5916075.482423659,0.377157148
304,304,1841052.150291195,5916078.866482603,-0.284874993
305,305,1841372.506794809,5916069.781146267,0.040197527
306,306,1841059.876793347,5916068.671205577,-0.118600014
307,307,1841404.259380266,5916058.903846262,-0.095616665
308,308,1841428.285981708,5916058.221940137,-0.021125002
309,309,1837596.159999113,5916171.046947462,-9999.0
310,310,1841067.603092092,5916058.47615755,0.01069231
311,311,1841476.056331159,5916046.889378317,0.022200003
312,312,1837602.543336052,5916147.883420717,0.377250014
313,313,1841075.329367682,5916048.280857609,0.040837505
314,314,1837609.251851556,5916138.696120692,0.374800001
315,315,1841607.353684808,5916013.231830069,-0.249750001
316,316,1837625.804789096,5916119.384828608,0.301000006
317,317,1838927.834904669,5916068.974090469,-0.095100004
318,318,1841202.340507161,5916004.774726359,-0.221724996
319,319,1841286.15058113,5915992.421590061,-0.3634088
320,320,1841381.98364088,5915980.076901597,-0.269717944
321,321,1841430.026745448,5915978.362418881,-0.306515728
322,322,1841490.113571708,5915977.384108189,-0.429563658
323,323,1841510.115018744,5915976.088734242,-0.4242
324,324,1841646.265185044,5915972.221264059,-0.832212513
325,325,1837650.013756148,5916089.806325483,-9999.0
326,326,1837657.444128428,5916069.596868473,0.425999999
327,327,1837663.60303109,5916057.927269046,0.590461541
328,328,1841673.446722196,5915941.52001925,-0.807848097
329,329,1837672.379699695,5916048.823748013,0.440999985
330,330,1842000.693850147,5915893.037365343,0.30606
331,331,1839862.054332211,5915942.918032251,-0.103724997
332,332,1839853.764380964,5915933.175663521,-0.116199998
333,333,1839845.474212613,5915923.433186656,-0.120012657
334,334,1842039.704877064,5915861.472185229,0.236407406
335,335,1837779.020180608,5915971.570101606,0.683602565
336,336,1842055.620482847,5915851.568997769,0.277203703
337,337,1837787.298327731,5915963.435318829,0.593547622
338,338,1840042.929149894,5915897.910448512,0.510141302
339,339,1842071.354241942,5915841.144857829,0.283775508
340,340,1837803.19725574,5915953.532969142,0.530914275
341,341,1837842.853651321,5915944.127224978,0.409272725
342,342,1838066.429847603,5915933.513846517,1.383692292
343,343,1838082.426762866,5915932.338635252,0.56560377
344,344,1838215.444178237,5915949.851236032,0.740104918
345,345,1838268.267332274,5915935.590292185,1.084837761
346,346,1838094.180998124,5915922.761035742,0.703899995
347,347,1838306.409544212,5915916.817022123,0.880449986
348,348,1838134.815679709,5915918.168149306,1.790124986
349,349,1838338.164705176,5915905.951198279,1.785574992
350,350,1842102.07230236,5915799.839063793,0.275836362
351,351,1838345.893966446,5915895.758608202,0.584150004
352,352,1842125.996409924,5915789.707745997,-0.158849053
353,353,1842141.536700694,5915778.360181221,-0.378290913
354,354,1838353.485425054,5915880.586358588,0.566512657
355,355,1842213.955486168,5915737.334383367,0.233534163
356,356,1842316.537591888,5915732.32007182,0.538324315
357,357,1842236.236530283,5915725.589219461,1.073239999
358,358,1842265.829096065,5915725.838844726,0.109383458
359,359,1838360.376779645,5915830.508817011,0.434432437
