OID,FID_,X,Y,BCE_Waitem
318,318,1743507.646578815,5929319.404393334,-9999.0
319,319,1743523.681897622,5929319.13490899,-9999.0
320,320,1744686.243588595,5929299.517014366,-0.656327262
321,321,1745929.593457401,5929276.109271451,0.037478261
322,322,1745814.723604315,5929277.665153028,-0.445706939
323,323,1743547.399828896,5929298.798542706,-9999.0
324,324,1744697.434455164,5929280.194322942,-0.706689785
325,325,1744725.994160295,5929278.905590191,-0.861036362
326,326,1743660.923666785,5929287.459319762,-9999.0
327,327,1743713.213283341,5929284.626775535,-0.889000018
328,328,1747972.980534572,5929213.290339019,-9999.0
329,329,1743563.100024698,5929278.596898203,-9999.0
330,330,1748012.598727394,5929206.853331799,-9999.0
331,331,1743254.975365035,5929275.434764149,0.030601944
332,332,1743335.224570472,5929277.086113492,-0.164117165
333,333,1745835.43506185,5929230.140432977,0.079340508
334,334,1748392.165724924,5929213.525862902,0.576765836
335,335,1743780.684788116,5929255.537142829,-0.829333361
336,336,1748193.279422871,5929189.330718889,-9999.0
337,337,1743830.52101783,5929235.026237113,-0.716304353
338,338,1743362.884108713,5929238.020833456,-0.052934958
339,339,1744644.635948206,5929210.501595693,-9999.0
340,340,1745823.464824648,5929200.468211986,0.698908292
341,341,1743582.562153593,5929208.870581162,-0.921777798
342,342,1743962.963609305,5929201.881888337,-0.161062496
343,343,1744607.189291025,5929189.198729193,-0.781190682
344,344,1744643.830351179,5929184.82710078,-0.892626176
345,345,1743521.504427498,5929189.576362679,-0.790660723
346,346,1743542.139319247,5929189.612441409,-0.945299998
347,347,1745822.324612153,5929155.905209347,-9999.0
348,348,1748374.40855826,5929110.36057201,0.915723502
349,349,1744599.948986951,5929141.858901868,-0.786537026
350,350,1748387.72729688,5929076.207457597,2.151923049
351,351,1743499.914180529,5929163.999283331,-0.827986111
352,352,1748394.000173221,5929065.522344676,2.864589739
353,353,1743621.476615303,5929138.434133436,-0.916740724
354,354,1743378.53648776,5929187.141758351,0.096700629
355,355,1743456.359571547,5929130.857878258,-0.959333301
356,356,1743642.648735153,5929126.648853351,-0.906818162
357,357,1743961.461061787,5929122.357344503,-9999.0
358,358,1743977.496036297,5929122.086996656,-9999.0
359,359,1745353.087735804,5929099.165455026,-9999.0
