OID,FID_,X,Y,BCE_Ohiwa_
230,230,1957325.009777847,5786741.207489501,-0.61322449
231,231,1957366.523072083,5786744.389817395,-0.001589949
232,232,1957435.500269879,5786736.368121739,-0.449134606
233,233,1961704.625229032,5786548.235741464,0.652064106
234,234,1961861.89570268,5786541.262334696,0.341647059
235,235,1965461.080439662,5786381.088309769,0.457150688
236,236,1961696.290822655,5786538.612343218,0.537820514
237,237,1961878.388928749,5786530.537956668,0.371264153
238,238,1961909.382613378,5786529.163265786,0.347102564
239,239,1959119.468860961,5786643.026842157,0.443028043
240,240,1961684.76440989,5786526.354638596,0.578742619
241,241,1961947.959228732,5786507.466277325,0.366287488
242,242,1959077.824942883,5786632.775742467,1.348138092
243,243,1958159.392820331,5786654.663470163,-0.288703712
244,244,1959050.631743634,5786615.49333016,0.328506663
245,245,1959148.157166704,5786624.048633285,0.272114544
246,246,1962073.419471429,5786485.122071372,0.579647059
247,247,1965439.06017905,5786353.230298626,0.168491011
248,248,1959176.435531509,5786599.235237863,-0.094400004
249,249,1961611.655754014,5786507.198763912,-9999.0
250,250,1961623.752717198,5786492.127420763,1.009692301
251,251,1961898.34569976,5786468.050773421,0.613734692
252,252,1965416.459949816,5786319.550941207,0.106341773
253,253,1959039.749154138,5786599.213012096,0.140832214
254,254,1961725.811899858,5786468.578276704,0.515243254
255,255,1962072.218799842,5786457.051342857,1.261564104
256,256,1961360.096597088,5786469.510295486,0.735666675
257,257,1961644.825184698,5786460.950782647,1.066509808
258,258,1959029.807778602,5786575.661252775,0.072775088
259,259,1961667.617626834,5786439.954766309,0.89983021
260,260,1961920.916865945,5786428.930869248,0.625240741
261,261,1962291.898060231,5786417.25445705,0.155822787
262,262,1964880.33186959,5786296.908231889,-0.163102567
263,263,1959015.835932881,5786547.28524884,0.019090909
264,264,1961683.708995529,5786429.456780934,0.851370378
265,265,1959170.554016207,5786538.368120356,0.064052434
266,266,1961459.589375847,5786435.576605931,0.892408887
267,267,1961699.048587544,5786418.784765656,0.907472728
268,268,1961951.600766303,5786407.583909724,1.093851859
269,269,1962022.424457687,5786403.504831577,0.492518519
270,270,1958999.329435881,5786527.818316562,-0.007102564
271,271,1961414.030967016,5786442.014295107,0.391821169
272,272,1958675.31557648,5786532.076121384,-0.224846155
273,273,1958983.106388137,5786518.539728955,-0.037525002
274,274,1965379.989264854,5786274.223916871,0.07145768
275,275,1961465.733134782,5786401.712819071,0.329700422
276,276,1964704.472429255,5786254.804974336,-0.379820514
277,277,1965343.775775059,5786226.930616759,-0.009620001
278,278,1957636.636193545,5786557.685867024,-0.074922579
279,279,1957794.476645147,5786550.765732884,-0.347272724
280,280,1958769.503952486,5786525.284872261,0.238556411
281,281,1958879.632063322,5786503.106818154,-0.014884616
282,282,1957525.08040115,5786631.371177204,0.0088513
283,283,1957648.037062847,5786547.193784802,0.088125
284,284,1957770.363256068,5786541.83081839,0.68477273
285,285,1957805.877322728,5786540.273470256,-0.186549996
286,286,1958652.805420746,5786510.762042481,0.348658246
287,287,1958928.045038313,5786491.40168207,0.55346354
288,288,1957292.02329939,5786542.806711472,0.086599999
289,289,1956350.52912759,5786739.603247533,0.698295078
290,290,1957248.180735883,5786534.734777591,-0.143289306
291,291,1957717.126647006,5786520.915762337,0.41031601
292,292,1957216.176211283,5786526.143826636,-0.256612502
293,293,1957267.672280605,5786524.126981584,0.062316849
294,294,1964746.229266162,5786178.296144222,0.447916661
295,295,1957195.693970079,5786512.316629802,-0.22663637
296,296,1961520.233542796,5786316.787858415,0.306267857
297,297,1962027.773062727,5786283.725359336,0.590651315
298,298,1965356.178506591,5786150.696113772,0.173850794
299,299,1956458.366838235,5786523.767986869,0.086717392
300,300,1958125.979934595,5786447.018473177,0.132833336
301,301,1964608.716419502,5786156.843267788,-0.261136367
302,302,1958082.104631979,5786438.223986524,0.089175
303,303,1958141.139148405,5786435.840665664,0.183563639
304,304,1958517.905452675,5786486.610458956,0.390499434
305,305,1961526.799783724,5786286.518365586,0.223537037
306,306,1964593.024735591,5786149.85997891,-0.190018747
307,307,1957824.236627847,5786470.881094549,0.021105314
308,308,1958061.937105009,5786429.116746883,0.023075
309,309,1957840.681158213,5786428.623441782,-0.027222222
310,310,1958403.99399134,5786409.767763371,0.217229798
311,311,1961525.91590085,5786266.57184417,0.183962967
312,312,1964473.751935826,5786135.202814236,-0.566658236
313,313,1958037.605003837,5786415.196121453,-0.017312101
314,314,1958370.184315515,5786400.268683557,0.008541435
315,315,1964441.738050793,5786126.639713735,-0.327113922
316,316,1964421.562350435,5786117.547705538,-0.29719481
317,317,1965352.612780476,5786099.344267369,0.136405346
318,318,1958005.518591731,5786391.623201747,-0.021923076
319,319,1958341.984604811,5786379.644377694,-0.014352943
320,320,1959141.49361244,5786432.014743398,0.216663058
321,321,1964409.677513853,5786107.867816218,0.281073334
322,322,1958161.767622172,5786374.773073575,0.119288461
323,323,1964384.967910721,5786098.968000927,0.90811688
324,324,1965352.510308811,5786055.923083749,0.170807693
325,325,1958329.341575309,5786366.117636452,-0.001779661
326,326,1959140.498797346,5786321.755682154,0.163000002
327,327,1965358.93360835,5786035.64863582,0.587769234
328,328,1957892.114016327,5786346.845179345,0.144072729
329,329,1964205.649947382,5786067.438244216,1.139074092
330,330,1964245.297590645,5786066.188625432,0.818439996
331,331,1958160.153966697,5786324.882084195,0.181924997
332,332,1964283.654409132,5786053.548279535,1.080916304
333,333,1965357.419910631,5786005.528027788,0.143472727
334,334,1957928.132494495,5786329.978636946,0.547587899
335,335,1958167.607964872,5786314.562481044,0.139246753
336,336,1964299.526982614,5786043.635155646,1.025279973
337,337,1961528.156938822,5786203.335950269,0.19978531
338,338,1964228.318976661,5786036.44648588,0.514000009
339,339,1960171.257050518,5786206.367652912,0.335800001
340,340,1964336.293586451,5786030.985579807,0.636386231
