OID,FID_,X,Y,BCE_Otago_
175,175,1422367.451063487,4928267.709781326,-9999.0
176,176,1422605.627663206,4928264.415140248,-9999.0
177,177,1422429.952903431,4928239.599908625,-9999.0
178,178,1422581.504136238,4928242.365493575,-9999.0
179,179,1422370.955027977,4928217.559196191,-9999.0
180,180,1422089.552705518,4928203.439567831,-9999.0
181,181,1422361.044457243,4928206.415963194,-9999.0
182,182,1422440.337819162,4928213.774586484,-9999.0
183,183,1422566.49985102,4928217.948231145,-9999.0
184,184,1422064.524503273,4928187.861331346,-9999.0
185,185,1422392.185629654,4928198.18928471,-9999.0
186,186,1422581.04600233,4928203.176170126,-9999.0
187,187,1422618.539402548,4928207.507826403,-9999.0
188,188,1422080.11337785,4928174.737744207,-9999.0
189,189,1422410.713732964,4928179.119217888,-9999.0
190,190,1422064.964520437,4928158.655223301,-9999.0
191,191,1422630.48351279,4928175.032234427,-9999.0
192,192,1423264.30391606,4928196.312842437,-9999.0
193,193,1422051.283237368,4928148.274858068,-9999.0
194,194,1422525.224669139,4928166.860218877,-9999.0
195,195,1422892.637206607,4928167.632988526,-9999.0
196,196,1422872.769369838,4928152.357032869,-9999.0
197,197,1422594.08150231,4928138.419442383,-9999.0
198,198,1422701.011019897,4928141.312139605,-9999.0
199,199,1422631.460525832,4928129.3383105,-9999.0
200,200,1422751.866516999,4928130.157293779,-9999.0
201,201,1423044.220792381,4928126.900834068,-9999.0
202,202,1423064.8962799,4928142.267521739,-9999.0
203,203,1423183.476363952,4928136.178847099,-9999.0
204,204,1422029.131167867,4928105.969019478,-9999.0
205,205,1422490.081285498,4928117.633998296,-9999.0
206,206,1422856.163610533,4928105.720806039,-9999.0
207,207,1423062.746596568,4928107.828881071,-9999.0
208,208,1422011.804034887,4928057.452240765,-9999.0
209,209,1423011.651237449,4928256.663116835,-9999.0
210,210,1422851.354156871,4928071.991843427,-9999.0
211,211,1422677.817440644,4928087.233559773,-9999.0
212,212,1422870.394102154,4928061.076704045,-9999.0
213,213,1422449.111875134,4928035.111045398,-9999.0
214,214,1422500.008799281,4928051.663342812,-9999.0
215,215,1422962.246476433,4928048.878305492,-9999.0
216,216,1423123.603834026,4928049.254407765,-9999.0
217,217,1422715.565588643,4928028.011549002,-9999.0
218,218,1422925.06810602,4928033.987023729,-9999.0
219,219,1423110.962131977,4928037.794049785,-9999.0
220,220,1421965.526818507,4928044.287720278,-0.873428575
221,221,1422467.449804015,4928015.349352405,-9999.0
222,222,1423165.54543331,4928043.357730901,-9999.0
223,223,1423006.165253015,4928010.221689573,-9999.0
224,224,1422488.195361054,4927991.343917513,-9999.0
225,225,1422803.575676902,4927999.883670772,-9999.0
226,226,1422524.44888108,4927972.234887383,-9999.0
227,227,1422818.052667812,4927980.206620016,-9999.0
228,228,1423048.252406021,4928006.569665499,-9999.0
229,229,1422976.858723278,4927995.712240828,-9999.0
230,230,1423347.565164423,4928055.506347805,-9999.0
231,231,1423122.918401679,4927994.166509695,-9999.0
232,232,1421984.624710536,4927953.275281454,-9999.0
233,233,1422994.720412915,4927946.229221907,-9999.0
234,234,1423137.128046001,4927950.132667117,-9999.0
235,235,1422009.547448683,4927897.366783584,-9999.0
236,236,1422027.577571169,4927877.906391985,-9999.0
237,237,1423348.915200218,4927921.58391676,-9999.0
238,238,1422049.099206638,4927858.545981994,-9999.0
239,239,1422099.621177168,4927834.4709675,-9999.0
240,240,1422611.209999153,4927835.577148343,-9999.0
241,241,1422191.111043701,4927793.275311858,-9999.0
242,242,1423333.205866907,4927847.363231894,-9999.0
243,243,1422701.167291387,4927797.866565516,-9999.0
244,244,1422779.634300852,4927804.523206919,-9999.0
245,245,1422931.61153524,4927804.439964237,-9999.0
246,246,1422955.278766895,4927819.515218224,-9999.0
247,247,1422722.401606711,4927788.484192828,-9999.0
248,248,1423294.530619332,4927809.198589211,-9999.0
249,249,1422166.109512058,4927774.952855687,-9999.0
250,250,1423050.095720315,4927792.560649021,-9999.0
251,251,1422820.735038163,4927771.313005423,-9999.0
252,252,1422999.555070615,4927776.563987822,-9999.0
253,253,1423033.221913228,4927776.993278066,-9999.0
254,254,1423256.691238483,4927788.145297653,-9999.0
255,255,1422843.164990955,4927766.262741485,-9999.0
256,256,1422210.941077135,4927747.198547806,-9999.0
257,257,1422241.359855544,4927734.200615595,-9999.0
258,258,1423223.679348205,4927768.373480446,-9999.0
259,259,1422655.313367142,4927742.110601185,-9999.0
260,260,1422779.604634083,4927760.730070601,-9999.0
