OID,FID_,X,Y,BCE_Manuka
239,239,1759256.800228266,5910735.248576491,0.381474997
240,240,1759432.656732624,5910732.148550734,-0.157678572
241,241,1753728.946269852,5910851.497714232,0.165191987
242,242,1749482.558346273,5910888.626126081,-0.58950004
243,243,1749495.747745347,5910891.091634734,-0.827950004
244,244,1754344.062746909,5910806.05940804,-0.486549993
245,245,1749475.391289265,5910873.250591209,-0.832712341
246,246,1759447.909150966,5910691.981746717,-0.075614038
247,247,1753685.194466004,5910863.943147548,0.389486225
248,248,1753580.991782586,5910780.021122836,-0.101363208
249,249,1753607.290338618,5910779.545277527,-0.104683543
250,250,1753663.090393387,5910785.180733436,-0.27163793
251,251,1753838.390167635,5910800.842066926,0.345067917
252,252,1759182.193175119,5910657.328233211,0.64863637
253,253,1759440.960240413,5910658.949177186,-0.28590163
254,254,1753894.116507655,5910745.023854783,3.579555543
255,255,1754343.066025979,5910751.24381151,-0.798266651
256,256,1759039.356101387,5910661.085072272,0.103348675
257,257,1753428.406714546,5910724.017817185,-0.800000012
258,258,1759456.963694138,5910630.326092927,-0.096698568
259,259,1753866.316904055,5910734.459620865,1.203775118
260,260,1753398.077248855,5910701.170061297,-0.504947368
261,261,1754325.887302093,5910686.752284436,-0.690384623
262,262,1758374.113018835,5910611.456486374,0.481090907
263,263,1759462.360903539,5910592.009470794,-0.013684206
264,264,1758317.779463301,5910603.465603861,-0.774363655
265,265,1758390.036938859,5910607.336870401,0.518157889
266,266,1758421.943563164,5910601.320854793,-0.060624998
267,267,1758386.301644598,5910625.436303669,-0.013080982
268,268,1759029.981310184,5910589.950312451,0.261499993
269,269,1759457.426912901,5910583.305330602,-0.095454536
270,270,1753354.317279364,5910686.755868812,-0.420583021
271,271,1758445.759142044,5910590.906084468,0.443500003
272,272,1759114.653306228,5910618.447239483,0.8985584
273,273,1758301.615507756,5910586.36500247,0.075111112
274,274,1759045.680720106,5910573.558690283,0.36311595
275,275,1759464.739764205,5910544.68397054,-0.194285713
276,276,1753908.441276289,5910624.745201233,-0.012127279
277,277,1755903.779176283,5910588.128214313,-0.611654683
278,278,1758280.574798481,5910549.434768297,-0.612279069
279,279,1753916.576557716,5910614.225509707,-0.021945451
280,280,1758272.447925057,5910524.349338721,-0.014150949
281,281,1753928.499146953,5910593.60902726,-0.080000004
282,282,1759492.167209666,5910491.748619377,0.332142859
283,283,1758418.089833861,5910517.359802447,0.514766183
284,284,1753923.53832641,5910574.622695396,-0.072000002
285,285,1753931.515862999,5910564.306576909,-0.033740738
286,286,1759485.901514002,5910462.006302746,0.358235307
287,287,1753939.493221472,5910553.991230572,-0.075629634
288,288,1758434.942640297,5910471.467983171,0.32903847
289,289,1758259.174340045,5910464.978409052,-0.385555555
290,290,1758414.233491895,5910476.546556048,0.74485295
291,291,1762512.998448352,5910391.03990231,0.246386552
292,292,1749091.410552798,5910618.485152914,-0.585124993
293,293,1758419.858076158,5910452.42860675,1.035625013
294,294,1758542.972362767,5910439.540554958,-0.008620691
295,295,1762466.968092234,5910370.318627691,0.251623929
296,296,1749090.454159225,5910600.148167236,-0.715559998
297,297,1758506.784805366,5910430.246470757,0.203500002
298,298,1758274.431626552,5910424.813864731,0.645000006
299,299,1758538.599978295,5910419.682243543,1.242280694
300,300,1759500.368203024,5910409.915959531,0.343902438
301,301,1759518.714525477,5910403.389102232,0.782028304
302,302,1757150.793543858,5910436.106304125,-0.766851868
303,303,1758452.364987964,5910414.643265363,0.694615387
