OID,FID_,X,Y,BCE_Tauran
216,216,1861018.059755499,5849320.625677614,0.090163635
217,217,1860297.147422954,5849327.134778045,0.035068814
218,218,1861513.447542402,5849271.744543607,-0.228196679
219,219,1863297.467635036,5849208.908765262,-0.713999987
220,220,1863362.990197527,5849193.893317621,-0.712650704
221,221,1861500.053883675,5849229.870357377,-0.186733949
222,222,1861511.627492215,5849214.524585135,-0.207669813
223,223,1860041.807339044,5849256.174280331,0.151339623
224,224,1860375.226601546,5849246.061722131,0.069876777
225,225,1863699.627176356,5849134.825333663,-0.587456511
226,226,1863736.765880059,5849134.913611216,-0.422587504
227,227,1862293.869500051,5849161.282138037,-0.530056599
228,228,1860016.774335291,5849233.24717003,0.085198529
229,229,1861646.96273179,5849095.520555858,-0.099917429
230,230,1863324.365766084,5849048.176267887,-0.697125511
231,231,1863549.350410607,5849027.759802727,-0.713999987
232,232,1861290.301182579,5849088.770722651,-0.332490241
233,233,1861527.380826932,5849075.110375996,-0.360425936
234,234,1861571.677013092,5849074.0950637,-0.372268509
235,235,1862363.214546876,5849049.255002156,-0.713999987
236,236,1860456.749797304,5849134.516529084,-0.024261045
237,237,1861303.703553365,5849056.408350808,-0.361045051
238,238,1862325.206175983,5849019.853794444,-0.713999987
239,239,1862435.200255251,5849017.737332192,-0.707432974
240,240,1863500.373196936,5848968.37028964,-0.713999987
241,241,1861315.828600356,5849032.235604079,-0.348457949
242,242,1861502.740373213,5849030.249634934,-0.309574074
243,243,1863491.224515321,5848959.212466244,-0.713999987
244,244,1860428.701714842,5849060.3668106,-0.220987373
245,245,1861585.689495021,5849013.778085191,-0.337699993
246,246,1862163.233171502,5848985.039934746,-0.712709664
247,247,1861478.755625197,5849005.8368374,-0.3413529
248,248,1861409.192788296,5849159.13307643,-0.21447245
249,249,1861493.094117023,5848985.957227659,-0.384232146
250,250,1863384.730156741,5848926.510734349,-0.682627441
251,251,1863407.989652897,5848925.77453936,0.217665274
252,252,1863431.828567688,5848925.019951338,-0.60369999
253,253,1860490.085672894,5849016.931365412,-0.127114817
254,254,1861051.411677958,5848970.678569735,-0.058798165
255,255,1861030.035127211,5848931.054805594,-0.003545454
256,256,1860311.122319712,5848960.469562612,-0.034572433
257,257,1861014.943510559,5848920.431314236,-0.014384147
258,258,1860409.037089627,5848934.7618654,-0.154577983
259,259,1860381.906021367,5848942.168341885,-0.139664142
260,260,1860552.410513645,5848948.37686915,-0.110921338
261,261,1860329.32895575,5848912.151570899,-0.250333331
262,262,1860496.061519833,5848907.869545746,-0.305745452
263,263,1860524.152084049,5848897.387675745,-0.28101886
264,264,1860558.694165536,5848875.970739921,-0.231614042
265,265,1861336.99347924,5848851.357046448,-0.430208337
266,266,1860523.42825287,5848873.605500321,-0.315125
267,267,1859985.627207333,5848863.540682095,0.040142857
