OID,FID_,X,Y,BCE_Poriru
126,126,1759918.46298648,5448640.951906777,-0.230000004
127,127,1760032.707236511,5448637.75259791,-0.230000004
128,128,1759904.225981333,5448630.167901849,-0.230000004
129,129,1759968.302693146,5448634.275917922,-0.230000004
130,130,1756352.501580772,5448716.01317565,-0.466049962
131,131,1757128.61870725,5448685.623624037,-0.05150957
132,132,1757474.080181044,5448742.928213299,-0.273199669
133,133,1759931.598708137,5448613.09581883,-0.230000004
134,134,1760111.825519965,5448606.46496331,-0.230000004
135,135,1759904.94696369,5448601.154031442,-0.230000004
136,136,1756342.452851415,5448667.643125963,-0.360962264
137,137,1758718.906575212,5448616.479952249,-0.230000004
138,138,1759854.882333824,5448592.127217007,-0.230000004
139,139,1760019.190797919,5448601.746808853,-0.230000004
140,140,1756349.934316055,5448657.297801338,-0.3375
141,141,1760021.931648368,5448577.913278602,-0.230000004
142,142,1756357.265482193,5448647.163545071,-0.269078947
143,143,1759989.703289392,5448573.200381362,-0.230000004
144,144,1760031.480720395,5448567.518713202,-0.230000004
145,145,1756405.092825348,5448660.10997938,-0.460840705
146,146,1760068.426989214,5448561.357850716,-0.230000004
147,147,1756568.629547154,5448622.688644184,-0.5
148,148,1760000.567029111,5448548.654814378,-0.230000004
149,149,1760019.984825425,5448548.606939532,-0.230000004
150,150,1758179.605506483,5448577.801490928,0.065682692
151,151,1756398.312925733,5448606.960494123,-0.195851482
152,152,1760027.092857442,5448528.495777809,-0.230000004
153,153,1760087.446890589,5448527.175523618,-0.230000004
154,154,1756409.159707721,5448595.958543336,-0.10094339
155,155,1756441.515386275,5448606.746180259,-0.49998801
156,156,1758085.056139719,5448559.240441315,-0.054590911
157,157,1758415.622921788,5448553.2082104,-0.230000004
158,158,1760105.532183132,5448516.425183785,-0.230000004
159,159,1760127.946654381,5448505.956819219,-0.230000004
160,160,1756461.4990684,5448580.080982554,-0.500034783
161,161,1758427.064414592,5448533.381758953,-0.230000004
162,162,1758734.270891523,5448526.138908294,-0.230000004
163,163,1756586.3830538,5448578.885733311,-0.5
164,164,1758382.444081285,5448530.502173048,-0.230000004
165,165,1760104.620835531,5448490.720957756,-0.230000004
166,166,1758377.739812881,5448513.909477364,-0.230000004
167,167,1756475.690719663,5448545.063731722,-0.305999984
168,168,1757506.02693305,5448523.333390714,-0.230000004
169,169,1758753.774031265,5448500.199717596,-0.230000004
170,170,1758776.973442392,5448495.486946043,-0.230000004
171,171,1756483.171865419,5448534.718260245,-0.298000012
172,172,1756505.804334192,5448534.234188312,-0.5
173,173,1757659.105307682,5448790.597454256,-0.209599378
174,174,1758384.924654865,5448499.358981845,-0.230000004
175,175,1758610.626019408,5448488.909246488,-0.230000004
176,176,1758765.289147951,5448485.905633144,-0.230000004
177,177,1760681.897685657,5448480.554918622,-0.056754158
178,178,1758372.95971365,5448474.686613124,-0.230000004
179,179,1758602.499269379,5448469.337767608,-0.230000004
180,180,1756618.363205104,5448521.142472195,-0.5
181,181,1760122.985589088,5448426.619268468,-0.230000004
182,182,1756716.016083654,5448484.793533375,-0.5
183,183,1758760.963961697,5448440.22907462,-0.230000004
184,184,1760687.967048948,5448395.646550695,0.09911111
185,185,1758372.09622535,5448434.794338477,-0.230000004
186,186,1760122.112548428,5448386.726927279,-0.230000004
187,187,1758292.194986237,5448415.775438064,-0.230000004
188,188,1760139.979146204,5448366.003402184,-0.230000004
