OID,FID_,X,Y,BCE_Opua_I
343,343,1702667.378662387,6096004.506853598,-9999.0
344,344,1696653.883837976,6096061.693511527,0.107175
345,345,1697232.866523013,6096050.987227613,-0.123184619
346,346,1699497.790584212,6096122.481723019,0.402931838
347,347,1702675.225459322,6095975.977598039,-9999.0
348,348,1695950.784410717,6096054.077304864,-0.775803598
349,349,1697223.73099453,6096032.592190013,-0.129587513
350,350,1702830.178288667,6095963.726284265,-9999.0
351,351,1695918.792333563,6096027.90136324,-0.74673336
352,352,1696681.546588574,6096032.746131553,0.1938818
353,353,1699565.170523062,6096008.389077619,-9999.0
354,354,1697209.254981424,6096009.268917182,-0.115176183
355,355,1699570.149341236,6095980.160136305,-9999.0
356,356,1699594.660302648,6095979.8895914,-9999.0
357,357,1695909.74809378,6096009.849715976,-0.785000026
358,358,1696714.520511965,6096001.258909745,0.291094116
359,359,1699610.890945844,6095969.746164981,-9999.0
360,360,1695893.301652053,6096000.060412277,-0.785000026
361,361,1697192.056870982,6095988.238944718,-0.0552071
362,362,1699708.816556778,6095957.973657921,-9999.0
363,363,1696731.495869554,6095983.861503605,0.412360929
364,364,1699596.299085379,6095955.625157953,-0.566428612
365,365,1699663.100985234,6095966.457952605,-9999.0
366,366,1699716.178907532,6095938.690335269,-9999.0
367,367,1699602.280676518,6095929.984211509,-0.473333381
368,368,1697143.231942334,6095951.715511603,0.020438907
369,369,1699630.275222844,6095940.524588891,-9999.0
370,370,1696769.698014552,6095954.421518415,0.124685788
371,371,1697110.392553813,6095936.823177781,0.045709747
372,372,1699694.7735225,6095926.849844269,-9999.0
373,373,1702788.504036367,6095875.204070359,-9999.0
374,374,1702812.978287016,6095874.038603726,-9999.0
375,375,1702914.816193882,6095878.167830315,-9999.0
376,376,1695843.697783257,6095945.784965615,-0.681625026
377,377,1695871.017932962,6095970.187190011,-0.63634813
378,378,1697101.858509921,6095927.349314966,-0.004402175
379,379,1699785.840019385,6095913.651122257,-9999.0
380,380,1702759.676427546,6095868.541771204,-9999.0
381,381,1696799.45339781,6095920.634790271,-0.270222565
382,382,1695867.943929325,6095920.616938704,-0.785000026
383,383,1697027.054708156,6095908.897446437,0.056697476
384,384,1699441.253843104,6095937.14993988,-0.382451001
385,385,1702747.006297871,6095840.377964473,-9999.0
386,386,1696861.213621083,6095909.02143277,0.201043851
387,387,1696962.536417037,6095888.991087335,-0.136177779
