OID,FID_,X,Y,BCE_Tairua
137,137,1853299.416643847,5899699.017574019,-0.179333326
138,138,1853982.838621407,5899529.063791236,0.037333332
139,139,1853118.759970813,5899435.430893063,-0.314666657
140,140,1853089.127309222,5899356.092808953,-0.099918367
141,141,1853081.404631946,5899326.390864004,0.061320754
142,142,1852976.605761273,5899319.547874261,0.2255
143,143,1853071.635404963,5899286.772440024,0.093100001
144,144,1852899.013232289,5899152.247928068,0.446645839
145,145,1852778.501846207,5899115.939519838,1.24358748
146,146,1852762.217021769,5899106.448518878,0.642126595
147,147,1852791.902096559,5899102.807177451,0.553710272
148,148,1852745.634368605,5899086.988753713,0.591962962
149,149,1852801.588461826,5899085.316654056,0.578024989
150,150,1852881.522895338,5899082.927296835,1.641249992
151,151,1852737.343069666,5899077.258860248,0.565124992
152,152,1852927.066473725,5899110.470879802,0.208577257
153,153,1852822.124322977,5899064.878819704,0.094157274
154,154,1852899.559030995,5899058.307886533,-0.109155712
155,155,1852732.420860027,5899051.614585886,0.644827593
156,156,1852904.311001074,5899042.33538509,-0.227850025
157,157,1852744.145026493,5899037.145078675,0.710625003
158,158,1852912.006637599,5899032.127572608,0.026499984
159,159,1852767.976260302,5899031.444141647,0.834892407
160,160,1852791.509539608,5899015.774393286,0.719000003
161,161,1852807.347318983,5899010.312228794,0.901268756
162,162,1852822.887113426,5898994.881289945,0.812199999
163,163,1852919.105789347,5899001.982169057,0.120804166
164,164,1852838.57584379,5898984.434691398,0.647794873
165,165,1852917.019042013,5898932.201272517,0.1434
166,166,1854024.706624746,5898907.53542515,-0.137057839
167,167,1852882.363277202,5898843.438560608,0.193141026
168,168,1854050.750780556,5898820.600384348,0.023985612
169,169,1852873.773973625,5898823.740060671,0.146474998
170,170,1852832.927148656,5898814.983542868,0.478235299
171,171,1852857.042512695,5898799.296154101,0.132081249
172,172,1854033.787639153,5898775.244636456,-0.062197218
173,173,1852848.453416367,5898779.597721227,0.116468355
174,174,1854021.490235872,5898734.513917121,0.044432692
175,175,1854006.692539128,5898719.219906948,-0.008075471
176,176,1852775.472138937,5898746.85735169,0.671625002
177,177,1852797.812917918,5898691.312662236,-0.0471125
178,178,1852773.066912161,5898666.380542637,-0.009418182
179,179,1852756.506667623,5898647.647602949,-0.028225001
180,180,1853976.054911677,5898612.081785766,0.007440771
181,181,1852707.335358436,5898608.478999119,-0.029000002
182,182,1852694.771887271,5898589.626645694,-0.028206251
183,183,1853969.492069213,5898551.644511683,0.086767856
184,184,1852678.190276163,5898570.166795338,-0.059050002
185,185,1852661.609042135,5898550.706969624,-0.102006293
186,186,1853960.228569284,5898511.887169973,0.163358492
187,187,1852641.009462662,5898530.639305917,-0.13670909
188,188,1853913.804761156,5898491.637828978,-0.495916497
189,189,1853655.939176463,5898451.838733201,-0.189981363
190,190,1853678.455047712,5898450.624211167,-0.150928568
191,191,1853883.066779977,5898453.970774876,-0.026955554
192,192,1853873.295509503,5898424.039484615,0.132702703
193,193,1853829.937032157,5898418.35966658,0.121245614
194,194,1852494.160441625,5898435.24885462,0.024333334
195,195,1853726.285535989,5898417.74800843,0.029683778
196,196,1853577.344805144,5898394.173450232,-0.193477065
197,197,1853573.619047165,5898374.485608381,-0.163143749
198,198,1853596.134705452,5898373.271294972,-0.111888887
199,199,1853571.506667307,5898329.542886582,-0.061114053
200,200,1852322.763829477,5898321.360715851,0.446125003
201,201,1852290.198233263,5898302.377123329,0.471024992
202,202,1852257.632788376,5898283.393412651,1.021177202
203,203,1852225.067494815,5898264.409583814,0.769150003
204,204,1852296.704033583,5898252.294577011,0.001537498
205,205,1852043.390441203,5898245.603466373,0.522000015
206,206,1852231.276077046,5898204.358688466,-0.018506275
207,207,1852198.711119374,5898185.374883554,0.021400001
208,208,1853524.110480379,5898114.091887531,0.191495796
209,209,1853228.534593019,5897995.61769974,0.006862385
210,210,1853217.268270291,5897985.314813867,0.077071428
211,211,1853200.109515129,5897970.030952811,0.236124999
212,212,1853265.212211102,5897973.147380813,0.100323271
213,213,1853367.346716593,5897940.908282466,0.740024993
214,214,1853441.356137831,5897883.441928466,0.770999968
215,215,1853084.457301718,5897953.520486011,-0.108238772
216,216,1852033.51362519,5897865.319374154,0.167314227
217,217,1852789.874875825,5897612.302888791,-0.055192983
218,218,1852033.27805648,5897655.357218963,0.39481869
219,219,1852009.920763453,5897602.934945378,0.242547168
220,220,1852732.563167592,5897311.357401508,0.304050005
221,221,1852683.605942294,5897277.14999918,-0.376110701
222,222,1852634.416219207,5897244.648813376,-0.648999989
223,223,1852055.162271221,5897127.041146138,-0.210343766
224,224,1851842.511219697,5897091.750032096,0.294746836
225,225,1852036.801496233,5897047.767832016,0.258762497
