OID,FID_,X,Y,BCE_Tamaki
373,373,1768272.904169163,5911737.830581443,0.633624998
374,374,1765927.579951998,5911774.013821221,-0.88882354
375,375,1766768.356958316,5911757.54262733,0.705696193
376,376,1767796.595539186,5911737.285741574,1.223788829
377,377,1769603.173436677,5911746.221893117,1.70085201
378,378,1766776.163052754,5911747.418795386,0.632151886
379,379,1767816.403222622,5911726.923714072,1.243749993
380,380,1765927.190436176,5911754.080507434,-0.900600029
381,381,1767832.209936576,5911716.640717756,1.251500024
382,382,1767928.220700837,5911714.728426662,1.270749995
383,383,1767496.025330347,5911789.855633042,0.693478684
384,384,1768499.378673119,5911972.408743141,0.865122715
385,385,1766927.61023001,5911714.531294472,1.327307723
386,386,1767855.821424419,5911696.232819429,1.241749988
387,387,1768252.603271044,5911709.422635396,0.856641223
388,388,1766807.387267365,5911706.923275122,0.803499994
389,389,1766943.41790421,5911704.249988423,1.295555595
390,390,1767190.589914197,5911697.806358738,1.235800037
391,391,1766959.225540855,5911693.968651475,1.230999979
392,392,1767119.41901164,5911690.61604825,1.223818211
393,393,1768229.180818295,5911674.699783803,0.62652632
394,394,1766975.033139945,5911683.687283632,1.228375004
395,395,1767142.626293888,5911684.810476742,1.254774778
396,396,1767206.872206849,5911678.843784924,1.15594591
397,397,1765922.525058143,5911716.301720663,-0.061805376
398,398,1766990.840701478,5911673.405884886,1.195874946
399,399,1767006.844256249,5911673.09113246,1.228249991
400,400,1767110.70983795,5911671.248833535,1.182727289
401,401,1767435.371104229,5911690.413830237,0.958456312
402,402,1767412.592442664,5911659.007430457,-0.049836738
403,403,1767238.196752112,5911648.179878508,1.088873223
404,404,1767366.138654019,5911626.134200347,-0.873000016
405,405,1768129.341889784,5911889.089099677,0.876468224
406,406,1765901.274080221,5911667.843669954,-0.017371718
407,407,1767269.724924156,5911608.093264906,0.757999986
408,408,1767333.739134372,5911606.831669537,-0.937625021
409,409,1767549.588695048,5911592.604770981,0.424725738
410,410,1769531.017861846,5911623.762472206,1.826981235
411,411,1765845.127709026,5911621.082509525,-0.348375003
412,412,1767595.038410071,5911590.528868531,-0.546559023
413,413,1767525.288551261,5911578.128296014,0.484562503
414,414,1765840.542864671,5911591.260680142,-0.535937499
415,415,1767687.109992778,5911563.085803455,-0.401813153
416,416,1768032.90390589,5911543.171231992,-0.519937493
417,417,1767784.654714749,5911538.110034172,-0.34543749
418,418,1765828.151157323,5911571.561716703,-0.460949363
