OID,FID_,X,Y,BCE_Ohiwa_
249,249,1959328.18161214,5786713.776403996,-0.648000002
250,250,1960969.782458159,5786641.318709812,-0.516462956
251,251,1964781.367855641,5786471.218176099,-0.263821065
252,252,1965380.737763418,5786424.998247594,-0.21944859
253,253,1964581.630908755,5786450.165695357,-0.586700785
254,254,1964781.362140163,5786431.245182433,-0.068119571
255,255,1959829.373284382,5786692.13530971,-0.211818743
256,256,1963109.747671789,5786496.023923818,-0.091444445
257,257,1965169.333035275,5786393.174927221,0.424307691
258,258,1963158.885763204,5786503.214560629,-0.334576616
259,259,1964563.813850073,5786419.181486075,-0.361248801
260,260,1964576.578089318,5786401.15376516,0.02448
261,261,1959044.76107112,5786642.887624905,-0.55863473
262,262,1962869.841294441,5786515.606333774,0.065734046
263,263,1965160.134096638,5786364.335232265,0.351683548
264,264,1960831.202317225,5786547.520836968,-0.537850459
265,265,1964544.084953903,5786381.890398546,-0.124600002
266,266,1959868.841938021,5786582.723792677,-0.144632433
267,267,1960948.703445466,5786522.338136772,-0.531056077
268,268,1964504.079863254,5786375.165727364,-0.570423018
269,269,1965109.113026852,5786344.56730995,0.425670138
270,270,1959022.121283288,5786605.791147308,-0.308748667
271,271,1961289.070469812,5786716.624944648,-0.285057925
272,272,1963228.424206309,5786426.756400077,-0.258594003
273,273,1965134.516530504,5786325.716484982,-0.086296302
274,274,1958148.594135786,5786638.470610009,-0.395664846
275,275,1960932.036646526,5786503.089923769,-0.572934579
276,276,1961172.138235898,5786491.671383267,-0.287563642
277,277,1963329.031548012,5786410.013541763,-0.513254469
278,278,1959887.545134302,5786557.45254487,-0.133278188
279,279,1960950.733801172,5786491.89271615,-0.505472706
280,280,1962813.28919926,5786438.710300178,0.027821467
281,281,1963252.19974411,5786401.031024444,-0.361804058
282,282,1959857.820025603,5786530.553586929,-0.270140186
283,283,1963282.158828657,5786377.631529335,-0.317897197
284,284,1965185.180910937,5786297.945024725,-0.077646227
285,285,1961287.334444018,5786470.845856006,-0.051903062
286,286,1962591.803941527,5786403.929960053,-0.726999998
287,287,1961352.065783255,5786443.941602416,0.023325
288,288,1962583.073245934,5786389.120277294,-0.726999998
289,289,1964825.003470004,5786352.315854886,-0.264976211
290,290,1964888.076507522,5786293.230116569,-0.229661081
291,291,1965074.37416056,5786399.92063285,0.277296063
292,292,1961367.408399506,5786433.269254209,0.022755365
293,293,1962661.947289542,5786380.826401584,-0.726999998
294,294,1962871.090688252,5786371.52726891,0.148444795
295,295,1965291.135469432,5786259.265961075,-0.023702531
296,296,1959886.620929575,5786498.160465331,-0.295845424
297,297,1960777.062779375,5786566.23236932,-0.559721465
298,298,1965148.005855587,5786278.837087583,-0.040780398
299,299,1965305.332008111,5786247.700063922,0.056703702
300,300,1960782.727594799,5786444.155207262,-0.647970404
301,301,1962849.331863611,5786326.797690561,0.169659996
302,302,1964476.274623361,5786257.31881782,-0.213
303,303,1962661.991996691,5786322.53188563,-0.210297873
304,304,1963405.36156149,5786288.21835999,-0.424910803
305,305,1965347.199312867,5786212.075031374,0.027048059
306,306,1961416.356424592,5786389.154821818,0.066050254
307,307,1963389.067270991,5786272.848455595,-0.489324077
308,308,1962805.026000863,5786333.860959893,0.208637844
309,309,1964324.147296974,5786223.407107614,-0.31289743
310,310,1965119.747491906,5786180.693000761,-0.337926609
311,311,1962640.608385614,5786283.537902394,-0.372590552
312,312,1958442.215935084,5786455.821134564,-0.265714291
313,313,1957183.081918732,5786492.618130405,0.026435327
314,314,1962616.502130347,5786247.940825435,-0.726999998
315,315,1961488.653864826,5786336.974771636,0.12334466
316,316,1965163.922488241,5786149.177789191,0.070275418
317,317,1965195.751898536,5786112.90679991,0.246269228
318,318,1965336.341703443,5786110.548874225,-0.163979169
319,319,1962718.508688196,5786226.639172484,0.184185098
320,320,1961018.115361206,5786488.899779834,-0.37984887
321,321,1957180.881432284,5786442.699880571,-0.206940929
322,322,1965225.339584753,5786054.36760045,0.152784947
323,323,1965303.790967389,5786056.450346764,-0.065574074
324,324,1963504.307917705,5786118.494457814,-0.726999998
325,325,1965240.331276318,5786035.960782684,0.271370762
326,326,1962371.364268958,5786158.902964714,-0.005067226
327,327,1963479.743196537,5786099.602693466,-0.726999998
328,328,1963518.791132603,5786088.598386739,-0.726999998
329,329,1963423.578331191,5786081.38997075,-0.601442314
330,330,1962570.836501303,5786110.068435166,-0.726999998
331,331,1963396.416612858,5786085.457467972,-0.460838193
332,332,1963510.133121929,5786068.061054832,-0.726999998
333,333,1963379.300835331,5786063.753417571,-0.437500002
334,334,1963332.85643559,5786054.098338721,-0.494740159
335,335,1963358.698168435,5786045.036184058,-0.579897433
336,336,1963313.283939679,5786032.615648793,-0.361853262
