OID,FID_,X,Y,BCE_Mouter
407,407,1601498.024007528,5444000.057408158,0.58137501
408,408,1602576.291077216,5443985.692816372,-0.107539475
409,409,1603066.418182552,5443985.467392616,0.989355528
410,410,1601750.847884251,5443982.184544298,0.457688467
411,411,1602500.536684551,5444009.538812964,-0.797653342
412,412,1602609.932351118,5443970.635831494,-0.31350625
413,413,1602954.697690619,5443967.410875201,0.425708333
414,414,1602566.618930964,5443955.758816061,-0.389945809
415,415,1601785.024501243,5443954.576458329,0.439091123
416,416,1602688.692532517,5443945.074106423,-0.273725499
417,417,1603348.450193017,5443934.18792035,0.655179993
418,418,1602861.174187076,5443934.631896643,-0.758310355
419,419,1602688.982073211,5443905.185566586,0.075250001
420,420,1602650.075471242,5443940.220173841,-0.001514892
421,421,1602677.520927628,5443895.013160123,0.227413332
422,422,1602952.010735904,5443896.612556819,-0.091850578
423,423,1602666.059814109,5443884.840738988,0.003673076
424,424,1602861.166866855,5443872.525645914,-0.534916673
425,425,1601499.941532742,5443911.173979295,0.489686988
426,426,1601644.948531184,5443837.901139562,-0.104362209
427,427,1601532.295053062,5443796.203141932,0.309864074
428,428,1601678.712161313,5443795.794411088,0.116235293
429,429,1602862.136847976,5443800.208119406,-0.350416016
430,430,1603030.07450094,5443798.6552717,0.833227763
431,431,1601648.562886563,5443785.829168422,-0.002153851
432,432,1602851.252494646,5443784.588746581,-9999.0
433,433,1603160.074045009,5443790.294646386,0.405471076
434,434,1603314.335727034,5443785.058762913,0.509371431
435,435,1601508.459108061,5443796.630445484,0.326940002
436,436,1602850.818084242,5443765.310151931,-9999.0
437,437,1603034.91829564,5443765.235980113,0.737478278
438,438,1603178.81782276,5443765.379279302,2.140346179
439,439,1602681.082416555,5443745.634712489,0.617296277
440,440,1602703.345713051,5443749.838360033,0.457165051
441,441,1602869.4998731,5443745.154109824,-9999.0
442,442,1603029.993486767,5443745.293798667,0.704272718
443,443,1603092.180597901,5443745.867374517,-9999.0
444,444,1603163.431517486,5443745.441736056,-9999.0
445,445,1602892.258226135,5443735.3775296,-0.35156669
446,446,1602531.183184741,5443726.560031753,0.623518497
447,447,1602651.078941593,5443729.950593243,0.647860872
448,448,1603010.761918073,5443728.110250778,0.472053908
449,449,1603050.524639749,5443725.341034315,-9999.0
450,450,1603212.498371193,5443726.679577177,-0.647322598
