OID,FID_,X,Y,BCE_Te_Pun
404,404,1689377.931722683,6109612.64407024,1.446154767
405,405,1695054.387739371,6109540.032332274,3.262980042
406,406,1695460.01814642,6109535.768801575,-0.663808804
407,407,1696331.637909678,6109532.060759007,0.841796894
408,408,1697288.808100042,6109516.322087543,0.431483333
409,409,1697415.38029538,6109530.477143914,0.002695186
410,410,1693159.936437081,6109563.079214483,0.629679978
411,411,1695070.92915272,6109551.440729707,-0.696537096
412,412,1696347.943998166,6109522.6172819,1.748600016
413,413,1697444.76543161,6109504.682627302,0.415538463
414,414,1696183.950140204,6109507.460617084,-0.199166671
415,415,1689384.074489372,6109568.04210822,1.04674999
416,416,1697452.607177727,6109487.869556301,0.348019807
417,417,1697541.921771178,6109483.980958356,0.766993644
418,418,1693118.484449213,6109528.992541854,-0.183913695
419,419,1695071.268584685,6109504.981672664,-0.442946932
420,420,1689294.45690195,6109548.271581871,2.05517647
421,421,1693090.676539344,6109510.596013166,-0.533461592
422,422,1697264.236794611,6109466.214499955,2.167471127
423,423,1697644.21090387,6109462.680097996,0.264231708
424,424,1689286.15073905,6109538.421878432,1.909342865
425,425,1696170.569785126,6109480.430141175,-0.0399733
426,426,1697256.387174984,6109455.965049386,4.169126086
427,427,1689277.845244388,6109528.571309865,2.187670871
428,428,1693599.653417441,6109486.036270363,-9999.0
429,429,1697672.634819671,6109442.445871826,-0.139037496
430,430,1693022.588721551,6109494.356676258,-0.425031095
431,431,1693040.88681231,6109483.064241515,0.029541664
432,432,1695062.617457739,6109474.640042363,0.459460778
433,433,1697680.709894942,6109432.394863213,-0.039262696
434,434,1693597.410072303,6109465.72591342,-9999.0
435,435,1693621.957268815,6109465.4723668,-9999.0
436,436,1695855.920764553,6109441.915129382,-0.383908339
437,437,1697694.324989456,6109419.09767032,0.142169685
438,438,1689228.714464182,6109488.62676155,1.705321452
439,439,1695806.615601121,6109422.508672325,-0.125886082
440,440,1697247.292639645,6109414.03341879,0.831370081
441,441,1697713.125265046,6109402.880027919,0.374884614
442,442,1689220.308476143,6109479.092533631,1.878384623
443,443,1689293.184520603,6109479.264836724,1.423210537
444,444,1696133.806060023,6109409.079957189,2.540196365
445,445,1697263.226757039,6109397.375185946,1.357891886
446,446,1697729.374838135,6109392.014292732,0.505268284
447,447,1689604.180453146,6109466.027323498,0.0504
448,448,1697271.741698266,6109388.277523097,1.620545459
449,449,1697737.45763932,6109382.689685633,0.53934614
450,450,1696118.409838845,6109399.934641547,1.022501065
451,451,1697287.417015811,6109376.950128868,0.738545455
452,452,1697753.707147425,6109371.823905083,0.431264998
453,453,1696100.759569264,6109379.538663021,-0.483358996
454,454,1697761.782068864,6109361.77281988,0.514699998
455,455,1693580.593722503,6109405.912234501,-9999.0
456,456,1693635.235512335,6109391.505823604,1.795337552
457,457,1689211.441134596,6109410.542842042,1.596153722
458,458,1696071.172736155,6109352.820748795,-0.388044398
459,459,1697301.996169621,6109337.433733904,1.150207668
460,460,1697327.563707938,6109311.740254951,1.443857161
461,461,1697772.023271621,6109324.754192085,0.680431035
462,462,1697335.853805038,6109297.015658595,1.342189851
463,463,1695813.534074063,6109302.86854807,-0.870378419
464,464,1689224.0909905,6109382.499424266,1.487210105
465,465,1695555.686747781,6109295.627007525,-9999.0
466,466,1695584.324999986,6109295.324923226,-9999.0
467,467,1695788.882068055,6109293.165154193,-0.57089931
468,468,1695829.783973222,6109292.755715223,-0.414625002
469,469,1695866.609938326,6109291.996258729,-0.779607156
470,470,1696030.185466635,6109300.737054551,0.133296399
471,471,1697351.814519325,6109276.63678232,0.876789458
472,472,1695600.584446384,6109285.189531518,-9999.0
473,473,1695772.412005551,6109283.37541618,-0.811842117
474,474,1695946.016187797,6109298.053486559,-0.030323609
475,475,1697359.774958212,6109266.460828651,0.882076918
476,476,1695551.105740377,6109276.289355507,4.052746598
477,477,1695616.843806442,6109275.0541455,-9999.0
478,478,1695764.124546604,6109273.498942126,-0.684885743
479,479,1696018.230240589,6109271.705192483,0.37529798
480,480,1697758.133603018,6109262.100987779,0.829629993
481,481,1689239.102982923,6109339.009731843,1.44681532
482,482,1695494.67516509,6109279.387375983,-0.520111847
483,483,1695582.250774884,6109273.439113358,3.86320029
484,484,1695755.836912575,6109263.622745436,-0.621825018
485,485,1695860.21533618,6109275.121661372,0.156518713
486,486,1696034.11418687,6109267.515558136,-0.086387499
487,487,1695424.350788606,6109257.155213797,-0.896280587
488,488,1695473.284505905,6109256.788084735,2.104952356
489,489,1695592.634859187,6109255.772109386,4.412532721
490,490,1695719.10264215,6109248.508044608,-0.827768613
491,491,1697391.912899568,6109226.463958159,0.566428577
492,492,1689250.80046965,6109305.264504608,0.822050003
493,493,1695195.038571742,6109239.639287155,-0.455415085
494,494,1695297.316294723,6109238.564351382,-9999.0
495,495,1697400.313956131,6109216.001017932,0.579827583
