OID,FID_,X,Y,BCE_Manaia
128,128,1819086.875222198,5919036.891806,-0.121141304
129,129,1818723.814531294,5919036.622866577,0.066842466
130,130,1815865.028718676,5919126.027869564,-0.899999976
131,131,1817696.794869425,5919107.622576472,-0.930654528
132,132,1818568.904822076,5919021.024089353,-0.038801242
133,133,1818604.751903459,5919023.941513576,-0.036568773
134,134,1815974.632964358,5919080.820551827,-0.899999976
135,135,1817529.826228099,5919035.610194449,-0.899999976
136,136,1818148.482635249,5919056.27798809,-0.310135156
137,137,1817335.409032107,5919028.466927191,-0.899999976
138,138,1816127.724501859,5919031.681238106,-0.899999976
139,139,1816187.391361191,5919022.75200352,-0.899999976
140,140,1818582.226580039,5918965.084127109,0.055575
141,141,1818460.894361843,5919200.096862774,-0.255182984
142,142,1818569.835958558,5918950.791353376,0.057935781
143,143,1819134.702688499,5918940.905401827,-0.101632783
144,144,1816216.948626209,5919009.355231719,-0.899999976
145,145,1817603.917940537,5918985.633920788,-0.900001039
146,146,1816225.975280481,5918980.376292777,-0.899999976
147,147,1817675.21594778,5918923.694220351,-0.908964293
148,148,1816265.268235527,5918949.455971701,-0.899999976
149,149,1816275.97096979,5918919.853640935,-0.899999976
150,150,1816263.164828599,5918889.665259698,-0.708163238
151,151,1816293.384578291,5918794.144286461,-0.899999976
152,152,1816715.043371259,5918725.655939311,-0.899999976
153,153,1816641.375076421,5918728.550471208,-0.899999976
154,154,1816746.947361119,5918716.113860977,-0.899999976
155,155,1816811.644900336,5918686.206439585,-0.899999976
156,156,1816326.897942685,5918693.552418327,-0.899999976
157,157,1816595.141718626,5918682.807976607,-0.899999976
158,158,1816367.006427975,5918678.156349137,-0.899999976
159,159,1816426.157584806,5918656.847342879,-0.899999976
160,160,1816857.254594592,5918641.819302819,-0.899999976
161,161,1817314.792209206,5918614.594727051,-0.899999976
162,162,1817193.849296986,5918586.695241412,-0.899999976
163,163,1817145.360239308,5918567.684489359,-0.899999976
164,164,1817184.809261015,5918567.740083595,-0.899999976
