OID,FID_,X,Y,BCE_Akaroa
195,195,1593947.031711284,5153618.174420533,0.632975002
196,196,1593932.577133328,5153613.172713438,-0.507251873
197,197,1596626.519137765,5153628.215274554,-0.269045875
198,198,1593072.260703425,5153602.357442099,-0.705346946
199,199,1593921.181024802,5153594.114355529,-0.351012514
200,200,1596390.667157778,5153590.015193115,-9999.0
201,201,1596542.488961147,5153590.095670112,-0.913846094
202,202,1596567.676097068,5153595.544414037,-0.846263189
203,203,1593065.051835994,5153582.396579725,-0.813176476
204,204,1593910.170211985,5153556.08804399,-0.233414468
205,205,1593070.568559482,5153492.613476079,-0.857478256
206,206,1594258.048299613,5153453.834125963,-0.827619056
207,207,1593927.856686294,5153469.046241079,-0.165345576
208,208,1596331.804611267,5153522.341033575,0.2002855
209,209,1594273.636210982,5153415.631074834,-0.538147354
210,210,1593111.811769396,5153401.990247884,-0.875295457
211,211,1596293.996493156,5153404.089570109,-0.043616243
212,212,1593913.690294028,5153383.944199312,-0.565304111
213,213,1596273.310113222,5153367.969548704,-0.644975419
214,214,1593079.780352431,5153323.018066511,-0.943666657
215,215,1596211.749630937,5153325.577742195,-9999.0
216,216,1593887.65843867,5153322.311893415,2.216542917
217,217,1596168.287969748,5153310.012206077,-9999.0
218,218,1593058.12875022,5153288.077140863,-0.890142824
219,219,1596022.135682353,5153290.505111079,-0.92999997
220,220,1596058.282538484,5153289.799124387,-0.849125002
221,221,1593050.909866435,5153278.092930324,-0.903666655
222,222,1595997.537585003,5153274.361549587,-0.139172411
223,223,1596095.928967326,5153278.767029719,-0.872333363
224,224,1596130.709030484,5153274.852782656,-0.765847916
225,225,1593043.696210511,5153263.120376663,-9999.0
226,226,1593868.804143041,5153278.55621864,0.660200484
227,227,1595975.166415453,5153255.558537844,-0.779608688
228,228,1596000.809627876,5153250.8123071,3.693533339
229,229,1594279.925052777,5153234.365897244,-0.492399971
230,230,1596267.615770606,5153229.464086577,0.194109091
231,231,1593016.627438761,5153224.016696034,-0.479428593
232,232,1595974.744648744,5153220.94916172,-0.043278193
233,233,1596241.810680912,5153226.84948191,-0.492482875
234,234,1596282.179234381,5153220.256004796,0.227899998
235,235,1592985.919888821,5153208.188032754,-0.653312467
236,236,1596299.559243297,5153210.103576831,0.382559323
237,237,1594272.734405177,5153189.464633169,-0.95600003
238,238,1592935.347221905,5153178.204550322,-0.602810764
239,239,1594263.663709749,5153173.497046946,-0.8156875
240,240,1595903.752728616,5153199.604865975,0.86363184
241,241,1596361.724506017,5153150.607134775,0.048457143
242,242,1592884.785660274,5153138.244002678,-0.914999992
243,243,1595913.757899436,5153140.746941719,0.632036383
244,244,1594254.70876285,5153134.577344414,-9999.0
245,245,1596383.198006142,5153130.211294012,0.088363633
246,246,1592861.121176693,5153121.019297515,-0.437380945
247,247,1595927.925338511,5153121.854352473,0.803248682
248,248,1592846.684383579,5153101.050435329,-0.23930126
249,249,1595942.009226384,5153100.301500966,1.147285731
250,250,1596334.637987585,5153155.209042008,-0.4626801
251,251,1595979.234009201,5153090.799000837,-0.717100003
252,252,1596109.67019258,5153159.495197094,-0.579113506
253,253,1596400.957928691,5153081.210115062,-0.900315758
254,254,1594256.740079865,5153068.633681342,-9999.0
255,255,1592821.513151089,5153042.73246673,-0.147753749
256,256,1592805.394544734,5153018.438468798,0.125159432
257,257,1594247.906199225,5153019.674905639,-9999.0
258,258,1594237.748053326,5153008.946009712,-9999.0
259,259,1592788.981255875,5152981.267939397,-0.232037237
260,260,1593925.672951389,5152969.266140372,-9999.0
261,261,1596447.398394087,5153030.170304108,-0.350591724
262,262,1592769.314523339,5152958.539259935,0.708371415
263,263,1596493.365704995,5152952.289952048,-9999.0
264,264,1592758.492811735,5152938.574118441,-0.003116259
265,265,1594009.102299447,5152930.189712379,-9999.0
266,266,1594202.48859157,5152932.501461484,1.080470549
267,267,1596528.226719826,5152931.835221427,-9999.0
268,268,1596557.142302711,5152931.850221826,-9999.0
269,269,1596591.645297509,5152934.998900386,-0.586192304
270,270,1592730.043659346,5152918.324975874,0.129296294
271,271,1592718.874697064,5152908.442860836,-0.007910438
272,272,1592729.254073695,5152859.404226326,-0.09967
273,273,1596814.969975768,5152868.326683462,-0.159308899
274,274,1592784.036877473,5152849.019417845,-9999.0
275,275,1596768.852415513,5152883.595254598,-0.458358112
276,276,1592705.956776823,5152860.505236424,0.119097935
277,277,1596759.599892227,5152832.184878953,-9999.0
278,278,1592759.457197764,5152860.689106192,-0.833727695
279,279,1592703.012462066,5152794.436079587,-0.158266189
280,280,1592733.354814947,5152788.896322199,-0.760657144
281,281,1592722.522593295,5152778.907801891,-0.667800011
282,282,1592668.31257992,5152773.860034614,0.004709092
283,283,1592773.536751902,5152749.617794704,-0.964797862
284,284,1596781.339258957,5152722.451853959,-9999.0
285,285,1592675.629030129,5152694.054501172,0.21414286
286,286,1592666.632885151,5152665.681130188,0.267125787
287,287,1596752.602178704,5152657.381585331,-9999.0
288,288,1593094.800988169,5152639.838032411,-9999.0
289,289,1596745.239771513,5152632.644120535,-9999.0
290,290,1593069.478763638,5152595.992390495,-9999.0
291,291,1596716.359900063,5152562.79312111,-9999.0
292,292,1597282.60785454,5152570.400694297,0.290640777
293,293,1597312.500055161,5152546.014689453,0.621876715
294,294,1592667.126001583,5152564.985476672,0.030456358
295,295,1592718.717699217,5152513.9495338,-0.1349
296,296,1593050.514560862,5152510.796383796,-9999.0
297,297,1596536.414366679,5152497.900225515,-9999.0
298,298,1593087.894438819,5152470.019133617,-9999.0
299,299,1592878.990644599,5152625.804857283,-0.787395889
300,300,1593123.438707422,5152465.968881508,0.024626281
301,301,1592778.242423722,5152450.464791645,-0.05401389
302,302,1592715.659208674,5152444.680876211,0.331869999
303,303,1593087.992114693,5152431.86472368,-0.109218184
304,304,1593022.885604581,5152422.893608896,-0.127526317
305,305,1593059.027255313,5152423.084606601,-0.326533335
306,306,1592733.776279575,5152414.783564135,0.417650005
307,307,1592899.742875379,5152401.530653401,-0.244037038
308,308,1592913.606418474,5152410.382307073,-0.347767196
309,309,1596579.10043853,5152403.096995525,-9999.0
310,310,1592757.470117501,5152399.191341948,0.331593608
311,311,1592834.986331473,5152389.938365631,-0.0598
312,312,1592880.545382469,5152390.882713492,-0.050864075
313,313,1593261.798632717,5152391.621924686,-0.920333346
314,314,1592863.870191487,5152380.052040686,-0.023392405
315,315,1596560.872595113,5152388.226492926,-9999.0
316,316,1596632.952108985,5152376.650402871,-9999.0
317,317,1593320.695804492,5152357.070503777,-0.489760534
318,318,1593424.186148401,5152296.875732707,-0.439180332
319,319,1593478.418336714,5152275.867104223,-9999.0
320,320,1596727.435609058,5152291.586152022,-9999.0
321,321,1596764.572705085,5152293.427933952,-9999.0
322,322,1597299.696615682,5152276.421209037,0.082098418
323,323,1596767.114263542,5152243.563755556,-9999.0
324,324,1597319.873770148,5152229.035253599,0.521802985
325,325,1593565.228841136,5152201.126236406,-0.896499962
326,326,1596785.573135874,5152208.875085619,-9999.0
327,327,1596761.717539899,5152207.622546571,-9999.0
328,328,1596694.877313873,5152153.738046223,-9999.0
329,329,1593641.894362991,5152151.316318708,-0.508168511
330,330,1596661.256492009,5152150.031981549,-9999.0
331,331,1593648.578321178,5152131.477922358,-0.361430759
332,332,1596666.267056456,5152133.35470206,-9999.0
333,333,1593677.349685069,5152111.443234833,-0.751166611
334,334,1595907.190656767,5152112.458643007,-9999.0
335,335,1595756.569816793,5152112.78915186,-0.671670895
336,336,1595899.96834109,5152103.204971828,-0.789541646
337,337,1595852.317601016,5152098.162232073,-9999.0
338,338,1595907.277466276,5152097.178146234,-0.455714262
339,339,1595990.433359103,5152083.382140283,-9999.0
340,340,1596587.786124487,5152084.36678985,-9999.0
341,341,1597196.493503932,5152096.394136545,-0.09752069
342,342,1597260.805754921,5152091.20412259,0.4802398
343,343,1595610.867863668,5152073.091118224,-9999.0
344,344,1595971.205824676,5152086.614279768,-9999.0
345,345,1595598.833810576,5152064.308074156,-0.933304328
