OID,FID_,X,Y,BCE_Raglan
367,367,1769792.459830849,5819752.081330647,0.836865544
368,368,1769768.14284808,5819737.724482932,0.69491379
369,369,1771878.190385239,5819677.727250297,0.116714287
370,370,1770089.07866007,5819684.72514804,0.300550004
371,371,1768733.687079697,5819612.868118957,1.031675009
372,372,1768717.654740785,5819603.224092103,1.125305089
373,373,1768702.199108408,5819593.568500017,1.649711547
374,374,1768732.701777911,5819592.9439614,1.085358512
375,375,1768678.935945103,5819582.672200017,1.956723358
376,376,1768709.332146173,5819583.449888107,1.629461548
377,377,1768725.296149775,5819580.248911446,1.537064571
378,378,1768653.810937321,5819564.318711095,1.530984452
379,379,1769959.159705719,5819527.849783565,0.170299999
380,380,1771937.553696313,5819487.01364403,0.340851847
381,381,1772241.207032664,5819241.334269795,0.862857154
382,382,1768046.93241086,5819297.821902856,0.821249988
383,383,1772050.78724627,5819214.460623142,1.197654518
384,384,1772160.099730365,5819203.840969909,0.93785889
385,385,1772078.610306791,5819217.899910167,1.05334254
386,386,1772141.693973823,5819193.518063664,1.269664406
387,387,1772209.939171813,5819192.688964976,1.628912806
388,388,1771986.866506268,5819186.605162371,0.575675003
389,389,1772011.608851873,5819201.18050135,0.578194941
390,390,1771978.744605587,5819176.802107866,0.719475008
391,391,1771994.5724317,5819176.47163602,0.766506657
392,392,1772256.090014668,5819171.892036097,1.635907681
393,393,1767729.513127249,5819254.4381954,1.127548991
394,394,1767744.762612105,5819245.290157294,1.926631603
395,395,1771978.328502643,5819156.866135985,0.787375017
396,396,1767838.59555804,5819232.263613407,1.038181819
397,397,1771958.961044218,5819158.066494874,0.746585039
398,398,1767797.750066458,5819235.914142767,1.183755234
399,399,1767833.640086201,5819217.635038314,1.151045678
400,400,1767847.138959572,5819204.299337653,1.085025674
401,401,1771937.580808607,5819129.396634514,0.490518522
402,402,1767862.760652669,5819193.998658085,1.080953473
403,403,1767877.868446577,5819181.779202947,1.154743618
404,404,1767906.391562719,5819132.986027667,1.086718415
405,405,1770010.912960653,5818958.571297497,0.458894736
406,406,1768118.626557077,5818967.486705361,0.606999988
407,407,1768094.682419657,5818958.003149336,0.624732156
408,408,1769978.10775557,5818918.943653123,0.300905656
409,409,1769995.08771268,5818934.359064229,0.401661813
410,410,1769962.083480015,5818909.717507494,0.457666673
411,411,1769913.261895219,5818901.453485083,0.165259034
412,412,1769898.51905409,5818890.876359985,0.434605267
413,413,1769882.940560628,5818876.803099257,0.466330911
414,414,1767817.193248258,5818872.665228383,5.491217416
415,415,1769991.259395726,5818809.185172853,-0.103040819
416,416,1769975.392425813,5818779.595783577,-0.202666677
417,417,1767810.860519313,5818813.999667144,0.767831236
418,418,1767759.273080166,5818805.000880537,1.674075921
419,419,1767794.627448725,5818794.386136084,0.482516128
420,420,1767671.564724096,5818776.946444275,1.754552647
421,421,1767687.390643009,5818776.625442095,0.734743596
422,422,1767738.827668004,5818775.578203942,0.345285938
423,423,1767512.890754635,5818760.231396084,0.719237513
424,424,1767648.140376677,5818761.867666764,0.256725519
425,425,1767528.972053034,5818742.623921942,0.431946666
426,426,1767638.943455065,5818737.930776778,0.425054542
427,427,1767425.272617075,5818732.14111744,0.946303804
428,428,1767650.789570389,5818708.149923268,0.663663556
429,429,1767875.315307453,5818675.865312548,1.097559109
430,430,1767899.046350427,5818671.918429866,1.060212754
431,431,1767448.46935926,5818684.052165638,1.322877883
432,432,1767463.431349151,5818671.695843413,0.839927267
433,433,1767594.971890823,5818687.050329733,0.819425232
434,434,1767685.659890603,5818667.920135226,0.850177421
435,435,1767915.044531935,5818663.200713897,1.044571452
436,436,1767249.725949176,5818665.857619261,4.83868179
437,437,1767265.552669804,5818665.535991155,0.919891887
438,438,1767930.773349379,5818653.069378507,1.019793103
439,439,1767272.686605098,5818655.418929037,0.913461532
440,440,1767242.503331516,5818645.505088788,2.653461527
441,441,1767248.916428457,5818625.985717097,1.004212493
442,442,1767233.548848728,5818619.907550582,1.217782947
443,443,1767570.436001845,5818627.613118435,2.390479379
444,444,1767226.713996839,5818606.859604051,0.927586218
445,445,1767240.667129918,5818606.462820983,1.232821906
446,446,1767439.349256204,5818600.233302099,4.173829241
