OID,FID_,X,Y,BCE_New_Ri
136,136,1241038.266073762,4845206.841602992,0.784236253
137,137,1241068.463440425,4845200.858940936,0.638571435
138,138,1241337.536264749,4845211.789484814,0.549057143
139,139,1241419.228455332,4845234.986788934,0.43275261
140,140,1241326.970187395,4845204.886020141,0.781666656
141,141,1241370.020489257,4845183.081036505,0.3991099
142,142,1241028.215172807,4845171.722596452,0.761681707
143,143,1241077.431020283,4845164.36337264,0.528204402
144,144,1241017.596137755,4845133.732614775,0.624729168
145,145,1241095.09067257,4845130.088467608,0.742684777
146,146,1241116.966871128,4845111.35457263,0.619853264
147,147,1241278.881874529,4845122.242274133,0.484511879
148,148,1242767.481641363,4845216.929953692,0.640366354
149,149,1241063.509110139,4845110.079691329,0.803251339
150,150,1242711.570805151,4845152.784478815,0.57211428
151,151,1241180.853797731,4845052.284762435,0.502884062
152,152,1242698.363926906,4845141.990703348,0.618657143
153,153,1241248.896035552,4845057.566227317,0.57965258
154,154,1242707.027780828,4845112.457531637,0.749791015
155,155,1242777.85365109,4845026.50234674,0.657338132
156,156,1242782.982599284,4845006.77537196,0.444804346
157,157,1241075.304720752,4844925.467127664,0.596752084
158,158,1242800.394868913,4844937.699154875,0.500971421
159,159,1242794.085913497,4844927.312348362,0.600057968
160,160,1241025.463049652,4844812.731102956,0.400514498
161,161,1240985.227778988,4844843.214857331,0.733979999
162,162,1240950.024135941,4844788.326899929,0.372882111
163,163,1240913.067921599,4844780.67668331,0.640261873
164,164,1240977.063354545,4844761.866065482,0.398899147
165,165,1240897.960857082,4844745.082213773,0.523678712
166,166,1240895.695630435,4844724.917725305,0.339342854
167,167,1240889.389972368,4844714.528752501,0.351214286
168,168,1240866.886292013,4844683.479657703,0.159147524
169,169,1240825.543563221,4844653.155862432,0.138430655
170,170,1240633.525015762,4844629.613556352,0.038586246
171,171,1240683.735301745,4844622.562207596,0.132239586
172,172,1240745.831893091,4844625.893962611,-0.0376
173,173,1240784.241032635,4844628.695251481,-0.0289418
174,174,1240532.607711168,4844603.226713311,0.094109488
175,175,1240576.87262086,4844607.892413816,-0.009857524
176,176,1240515.956863001,4844592.22322206,0.035144928
177,177,1240464.819709881,4844579.172427115,-0.042568345
178,178,1239298.211886115,4844497.776288904,-0.203291669
179,179,1240341.261497614,4844561.820744308,0.003362319
180,180,1240427.477253061,4844566.940231944,-0.091939826
181,181,1239038.275003164,4844474.283758278,-0.182550718
182,182,1239090.004304251,4844477.366800701,-0.124000003
183,183,1239117.42450171,4844475.860885452,-0.108639995
184,184,1239241.650484411,4844483.836654193,-0.253452179
185,185,1238981.672047807,4844463.880162085,-0.078103187
186,186,1239412.302190584,4844488.61922149,-0.085031496
187,187,1239449.25502466,4844488.750258317,0.008603864
188,188,1240235.613471999,4844534.326394371,-0.021560971
189,189,1240316.23899747,4844543.068903599,-0.106930108
190,190,1240338.847085602,4844541.849110257,-0.233291659
191,191,1242825.854631325,4844706.214047922,0.776309054
192,192,1238926.020671516,4844446.116623355,0.033829785
193,193,1240198.763888754,4844522.605202689,-0.111754238
194,194,1242829.492524859,4844679.032163307,0.528228573
195,195,1242850.184253121,4844680.252423168,0.848434772
196,196,1238912.538062449,4844436.615526752,0.020647057
197,197,1242843.832645088,4844670.593364966,1.001363632
198,198,1239552.414597809,4844467.627041436,-0.128290167
199,199,1240150.995113956,4844501.768867153,-0.231586121
200,200,1238823.98799075,4844411.430299636,0.199205888
201,201,1239968.920741892,4844479.605390224,-0.188455881
202,202,1242792.150979183,4844647.190917057,0.392417474
203,203,1243014.034285084,4844659.868596246,0.578057132
204,204,1238560.413204285,4844386.313238117,-0.085325929
205,205,1238614.198598894,4844389.251388679,-0.199010202
206,206,1238645.15181154,4844397.243754174,0.216460783
207,207,1238725.990645709,4844397.174979974,0.170472145
208,208,1240079.868903144,4844476.184994527,-0.36792195
209,209,1242769.764705179,4844635.45996033,0.357855066
210,210,1242918.088096043,4844650.761970376,0.835588369
211,211,1238528.600631839,4844373.775071144,0.0877177
212,212,1238801.059277748,4844389.679706626,-0.320020831
213,213,1239662.054693644,4844457.095481856,-0.280834909
214,214,1239735.603739541,4844445.699536916,-0.033657146
215,215,1239885.506716845,4844464.385659395,-0.174341737
216,216,1242875.289023449,4844651.936879266,0.905001355
217,217,1242957.178919552,4844641.009221234,0.825212864
218,218,1238439.533449329,4844358.442500224,0.015577465
219,219,1238498.138234966,4844362.293283092,0.009360824
220,220,1239725.830838797,4844435.454932693,-0.420793814
221,221,1238347.018005896,4844342.902639829,0.1307
222,222,1238367.380607638,4844343.531807244,-0.096189473
223,223,1238408.501850395,4844347.884297743,-0.102373666
224,224,1238736.203147498,4844366.132177568,-0.590042548
225,225,1238709.561711683,4844354.729447644,-0.689645814
226,226,1238730.907214055,4844355.800745232,-0.782299995
227,227,1236520.929399045,4844217.479772639,0.169219269
228,228,1243057.437805489,4844620.45679342,0.73499542
229,229,1236538.410341577,4844197.915412158,0.308366972
230,230,1236553.910483318,4844175.456260936,0.324611937
231,231,1243100.096049513,4844576.566060492,0.607247386
232,232,1236564.855026612,4844166.097214769,0.339056734
233,233,1238192.592863676,4844263.544472468,0.270551473
234,234,1238250.039224067,4844284.405303013,0.024714167
235,235,1236575.799536836,4844156.738156524,0.278144928
236,236,1238175.91152831,4844252.556915578,0.622104489
237,237,1236583.295504918,4844147.172118738,0.13036232
238,238,1236553.838834153,4844137.457504219,-0.979333321
239,239,1236597.688457367,4844138.019980082,0.176214285
240,240,1243108.189239671,4844530.219602845,0.399302158
241,241,1243139.52003766,4844527.058545144,0.457366299
242,242,1236607.521807367,4844121.343095432,-0.07575691
243,243,1243088.67442471,4844509.040148448,0.620697834
244,244,1243166.713097174,4844516.577277228,0.54870356
245,245,1243017.138025117,4844489.801619205,0.966600724
246,246,1243061.968627897,4844492.444124538,0.924208953
247,247,1243179.217904825,4844499.353677987,0.628735286
248,248,1236627.671977766,4844099.75568404,0.049342864
249,249,1243173.411837163,4844488.996901333,0.605613622
250,250,1238127.58910303,4844205.081254752,0.526139367
251,251,1243001.915367885,4844511.519615536,0.74413237
252,252,1243195.95198731,4844450.26628601,0.703086967
253,253,1242948.2498912,4844425.652148937,0.776794122
254,254,1242999.682823217,4844433.691778359,1.074213007
255,255,1238060.179145104,4844131.871541527,0.187750825
256,256,1243199.902101005,4844444.97957456,-9999.0
257,257,1238028.048570963,4844105.473422006,0.455520498
258,258,1243106.319082015,4844452.669144489,0.780190387
259,259,1243184.533474909,4844412.452155649,0.778061694
260,260,1238009.258636835,4844092.158756388,0.41662222
261,261,1236333.647993479,4843981.945220782,-0.799333341
262,262,1238033.570384951,4844084.002366137,-0.076959187
263,263,1237982.922910813,4844063.107489228,0.845351647
264,264,1238034.763521147,4844064.042414111,-0.287918372
265,265,1237952.285664385,4844041.651395769,0.584583985
266,266,1237994.727031953,4844041.41560943,-0.151441177
267,267,1238015.460965606,4844041.924815113,-0.324318185
268,268,1236951.057554984,4843958.89922266,0.378042551
269,269,1237916.607259235,4844016.713497634,0.749713238
270,270,1236989.459293464,4843949.927568288,0.329574077
271,271,1242917.142409222,4844379.054592409,1.001484205
272,272,1237017.644609773,4843941.343247872,0.40513333
273,273,1237892.721146219,4843997.987241211,0.935125334
274,274,1236380.123251254,4843899.6007087,-9999.0
275,275,1242896.795520338,4844295.033018973,0.97085716
276,276,1236323.74499961,4843979.196762396,0.188774221
277,277,1237060.655974802,4843924.757079373,-0.036445541
278,278,1243128.494480884,4844351.77102916,0.830366584
279,279,1236376.213637604,4843874.790157808,-0.172009454
280,280,1242959.407811161,4844294.010700544,1.161871983
281,281,1237054.650119543,4843905.014511039,-0.768507958
282,282,1243103.34394196,4844264.236712858,1.310828131
283,283,1237101.323275173,4843894.594250761,-0.441458236
284,284,1237126.103337226,4843891.591923112,-0.278772277
285,285,1243097.56210512,4844253.369296576,0.902510209
286,286,1243114.606532724,4844245.179158257,1.011761904
287,287,1237173.711478723,4843880.961242788,0.972709082
288,288,1242913.691883085,4844232.462147886,0.653824353
289,289,1243135.884875567,4844236.418506845,1.163735707
290,290,1236410.597990929,4843850.420182884,-0.17811449
291,291,1237201.872980343,4843873.774219707,1.026107304
292,292,1242985.056063997,4844218.99365205,1.413799989
293,293,1236450.7356899,4843818.705261761,-9999.0
294,294,1237167.987674272,4843861.728005906,-0.362724649
295,295,1237788.686919739,4843898.890352596,-0.173542863
296,296,1242978.059837946,4844197.251557013,0.923983059
297,297,1243130.75264521,4844206.071980122,0.808797094
298,298,1243154.973628217,4844217.846336798,0.741578946
299,299,1237207.115224021,4843844.040931342,-0.694666695
300,300,1237605.444919833,4843899.49124158,0.559170504
301,301,1236428.227261872,4843805.916799252,-0.077885721
302,302,1243141.036844384,4844197.620665908,0.756315783
303,303,1237708.315571347,4843854.01916293,-0.423869563
304,304,1236475.020770574,4843760.067729368,-9999.0
305,305,1242950.932847962,4844145.398155687,0.960500002
306,306,1242961.960654187,4844149.998057805,0.786999971
307,307,1242896.054115768,4844137.154639752,1.16532844
308,308,1242922.457172021,4844126.454045835,0.923131147
309,309,1242911.318710319,4844113.017985042,0.906771427
310,310,1243103.135419877,4844151.945297432,0.766347008
311,311,1243105.599763484,4844104.442609197,0.876704231
312,312,1242918.000652758,4844091.881649532,0.927103581
313,313,1242899.376920302,4844072.254798331,1.152613636
314,314,1242861.93251567,4844092.41231695,0.684081339
315,315,1238627.603726805,4843758.721067877,-0.710942852
316,316,1238546.98216508,4843743.354732621,-0.576777069
317,317,1243159.1690981,4844017.467561616,0.783823544
318,318,1236500.454897892,4843706.545376323,-0.01124107
319,319,1243166.653708173,4844007.89395883,0.745100006
320,320,1238525.944466867,4843722.606045436,0.131282923
321,321,1238465.750982831,4843715.960453746,-0.816415238
322,322,1243181.622862613,4843988.746729029,0.71511431
323,323,1242894.799907712,4844037.281330456,1.145260872
324,324,1236676.654526852,4843571.852290682,-9999.0
325,325,1243197.180029743,4843959.619438274,0.809176477
326,326,1243137.567099585,4843976.14405815,1.023232685
327,327,1236737.069949537,4843545.429816051,-9999.0
328,328,1238640.305416411,4843659.525948303,0.06077551
329,329,1243185.099991926,4843933.8708577,0.799428572
330,330,1238278.995345807,4843627.732804391,-0.596676263
331,331,1236780.542910531,4843522.110394434,-9999.0
332,332,1238294.611947547,4843616.581055791,0.31911508
333,333,1238175.128006027,4843570.717982645,-0.692574455
334,334,1236900.473695896,4843475.104950218,-9999.0
335,335,1238007.648206532,4843541.992454795,-0.70784782
336,336,1237049.012588118,4843450.533452693,-9999.0
337,337,1238041.335893989,4843493.34147433,0.031728571
338,338,1237883.169410093,4843474.069678228,0.421170212
339,339,1238051.948177531,4843483.37362586,0.240031248
340,340,1237563.246245647,4843444.707847082,-0.816457135
341,341,1237963.628954519,4843484.299194559,0.90414507
342,342,1238948.664176381,4843521.612971027,-0.445631948
343,343,1237217.287367976,4843393.939341664,-0.355261916
344,344,1238832.350702323,4843487.99995575,0.073892472
345,345,1238858.701088329,4843481.329935838,0.063695653
346,346,1238887.647679235,4843484.515357717,-0.074679423
347,347,1237216.605982752,4843376.973256655,0.366230764
348,348,1237239.088972953,4843369.703190185,0.6105
349,349,1237513.744418388,4843383.180559321,0.172843284
350,350,1237727.256393483,4843434.957780913,0.432137918
351,351,1238390.52831188,4843573.005396727,0.890479673
352,352,1238946.049543607,4843467.239090427,-0.05752518
353,353,1238863.461149667,4843457.242340898,-9999.0
354,354,1238977.677110079,4843459.109743739,-0.090971158
355,355,1238999.387526529,4843466.413642058,-0.276455074
356,356,1239023.09672911,4843451.802595396,-0.175100001
357,357,1237333.399034505,4843349.312636485,0.325285724
358,358,1239082.28783029,4843375.561108653,0.80975287
359,359,1242758.531586577,4843654.408061435,0.746123702
360,360,1239262.925015693,4843285.819944447,-0.063506332
361,361,1242730.538696002,4843502.624803481,0.633584864
362,362,1243265.902882481,4843497.986226088,0.857410068
363,363,1242753.410180504,4843462.130102057,0.809349964
364,364,1239229.990440356,4843264.871478166,0.300784803
365,365,1239328.254717337,4843200.823858717,0.225775999
366,366,1239378.415673483,4843166.580473233,0.777666628
367,367,1239402.235704823,4843121.105297296,0.242428584
368,368,1242934.295797265,4843335.538773481,0.846146911
369,369,1242871.536817548,4843298.087457185,0.990411779
370,370,1242322.934201295,4843236.691292441,-0.17821429
371,371,1239223.968044884,4843043.010107874,0.696761201
372,372,1242890.730936501,4843266.503062219,1.41720849
373,373,1239125.131475446,4843017.205500786,0.771571417
374,374,1239076.13601263,4843003.336844411,0.861241605
375,375,1239101.591981635,4843005.786642797,0.603655507
376,376,1242858.229005916,4843247.977485911,0.964312021
377,377,1239123.359104813,4842957.007056377,0.307120475
378,378,1242883.44675056,4843190.685847003,0.885879999
379,379,1243232.123111672,4843190.547481242,0.819978419
380,380,1243432.422432342,4843202.935835848,0.695648933
381,381,1238900.629546668,4842920.86090091,0.624434774
382,382,1242896.654499918,4843164.155490715,0.879383399
383,383,1242860.876717313,4843088.740158008,0.972666675
384,384,1243469.890540726,4843114.156792487,0.320562496
385,385,1242883.329346339,4843060.020509857,1.655812502
386,386,1242894.083124935,4843049.851241658,1.579223392
387,387,1243254.147817363,4843101.973316905,0.784926829
388,388,1243292.17557542,4843049.054938258,0.892442126
389,389,1238856.48034579,4842754.462501571,0.603800023
390,390,1242845.889489221,4843015.835602032,0.909334058
391,391,1238869.852092832,4842732.419433715,0.591285698
392,392,1242720.587126034,4842974.00446703,0.751600005
393,393,1238876.568184081,4842722.26957312,0.67578125
394,394,1238893.175982144,4842710.853767691,0.575335967
395,395,1242876.705564443,4842983.038393526,0.830333322
396,396,1243616.018493198,4842986.381762523,0.409468657
397,397,1238914.544746424,4842676.930085367,0.613163589
398,398,1242902.293397579,4842893.1510467,0.865400028
399,399,1242909.362103639,4842876.639119633,0.873500004
400,400,1243634.162921123,4842888.753372888,0.409752576
401,401,1242930.410261542,4842832.605493654,0.880989121
402,402,1243649.13687297,4842865.328613469,0.247913041
403,403,1242939.034121735,4842817.742908967,0.987845352
404,404,1238989.677802251,4842559.974951544,0.492926831
405,405,1243964.704811357,4842819.715614518,0.478266674
406,406,1243991.779697842,4842803.91445383,0.577454546
407,407,1244000.392922598,4842775.10758818,0.849771426
408,408,1244902.707169001,4842800.829230378,0.019200998
409,409,1239001.820207826,4842508.48207604,0.526540536
410,410,1244912.875443792,4842788.650616,-0.030420292
411,411,1243924.365272701,4842721.149243901,0.28644681
412,412,1244013.670343133,4842725.815681122,0.650676469
413,413,1244927.333557813,4842769.470008162,0.412874993
414,414,1244922.405091806,4842744.144886552,0.513277372
415,415,1243282.709737828,4842633.630764655,1.135629336
416,416,1239036.689879078,4842386.128693352,0.401253516
417,417,1244965.823527401,4842711.641554661,0.498576254
418,418,1239060.132255879,4842302.544798182,0.508044003
419,419,1244951.50021336,4842629.013800124,0.684224283
420,420,1244945.855203749,4842580.282990503,0.834205877
421,421,1244998.640341397,4842599.010815295,0.844796135
422,422,1243513.797789548,4842511.319924129,0.874600598
423,423,1244927.737955525,4842544.039319254,0.889193794
424,424,1244912.033050598,4842508.197866119,0.725978569
425,425,1244899.592670602,4842497.03289461,0.714443551
426,426,1244887.595599189,4842479.482588334,0.741209953
427,427,1244991.61136561,4842523.756755358,-0.165478363
428,428,1244913.546971829,4842467.655309849,0.492639999
429,429,1244873.836588265,4842455.171615054,0.610780961
430,430,1244909.453512856,4842438.27070641,1.0604046
431,431,1244943.710157952,4842439.955502775,0.890003629
432,432,1244204.183424716,4842387.252366256,0.689321424
433,433,1244403.713030333,4842387.295412139,0.592363636
434,434,1244961.871853762,4842426.171533623,0.697676469
435,435,1239166.227221673,4842143.916226557,0.559006822
436,436,1244419.753844933,4842364.103612781,0.563225044
437,437,1244334.599669147,4842352.635864682,0.281924128
438,438,1244523.122028596,4842352.940531241,0.628179505
439,439,1244647.515675477,4842362.450964659,0.502041096
440,440,1244979.534427092,4842382.93952263,0.765684213
441,441,1242904.692074416,4842254.309183872,1.152244355
442,442,1244471.896087148,4842350.880391308,0.511975048
443,443,1244427.861850647,4842329.553691907,0.277117646
444,444,1244986.610088538,4842370.745987924,0.700887491
445,445,1244504.287244987,4842324.029085656,0.25744444
446,446,1244855.532314312,4842343.473644275,0.464061221
447,447,1242832.755802809,4842213.522371256,1.120260244
448,448,1245147.227459971,4842331.719593588,0.412782608
449,449,1239303.680563573,4842044.298152184,0.60282153
450,450,1242769.536842226,4842176.809111802,1.20488379
451,451,1243354.514605759,4842296.796812972,0.879311365
452,452,1245016.985209398,4842351.64219936,-0.191649193
453,453,1242948.152929456,4842132.934166597,0.97992391
454,454,1239332.484986676,4841908.557972433,0.973697469
455,455,1244848.958528619,4842249.004220275,-0.290385044
456,456,1244989.599443975,4842247.366804669,-0.236768956
457,457,1245034.705350301,4842245.005524939,0.774115935
458,458,1245062.282687691,4842246.623051582,0.777014484
459,459,1244898.736961453,4842233.598323118,-0.217836533
460,460,1244917.621126778,4842217.364542572,-0.31551799
461,461,1242741.713690754,4842080.76913448,0.774702893
462,462,1244815.363137641,4842210.648843537,-0.315171336
463,463,1239425.111595709,4841873.29291219,-0.427176476
464,464,1244802.641152436,4842191.331239997,-0.324422533
465,465,1244967.571547626,4842214.253275035,-0.29979536
466,466,1244796.332664005,4842180.946517288,-0.299685708
467,467,1244786.577067217,4842170.359442342,-0.282088239
468,468,1239353.716451188,4841838.991799477,0.079
469,469,1244776.821505832,4842159.772355727,-0.318695647
470,470,1245274.018667259,4842219.326955112,0.341391373
471,471,1244767.065979508,4842149.185245584,-0.308687945
472,472,1244757.310488589,4842138.598123773,-0.333144924
473,473,1243309.960564349,4842043.646149672,0.69697999
474,474,1244751.002141869,4842128.213346391,-0.329202893
475,475,1244741.67611549,4842116.986375015,-0.317904249
476,476,1245295.917111901,4842158.483399676,0.426679348
477,477,1245290.506279563,4842129.817963214,0.41914285
478,478,1242811.183065199,4842041.033785325,1.046827023
479,479,1244732.790480022,4842087.288501873,-0.324478265
480,480,1245284.197099291,4842119.433787966,0.52813235
481,481,1242706.454391936,4841947.751382081,0.698976189
482,482,1245075.122285485,4842094.348798368,-0.246068597
483,483,1243100.008831761,4841960.961561653,0.667222224
484,484,1245096.36324432,4842078.37731973,-0.215724637
485,485,1245285.449428434,4842089.464142662,0.368239128
486,486,1244990.979210346,4842052.519485069,-0.293950819
487,487,1243149.559129793,4842101.991927981,0.80035022
488,488,1245002.65309413,4842033.066742368,0.241539683
489,489,1245019.422460789,4842033.806698776,0.187314289
490,490,1245040.14743131,4842034.29223246,0.253113636
491,491,1245131.0444892,4842052.305379036,-0.208769395
492,492,1245061.329733828,4842026.980776733,0.452181819
493,493,1245075.160584887,4842027.061809866,0.322249997
