OID,FID_,X,Y,BCE_Waihi_
157,157,1905804.62656815,5813647.620841407,0.326237181
158,158,1905909.854324149,5813675.123742551,0.87885186
159,159,1906093.14703968,5813626.908413654,0.255199995
160,160,1906943.992091453,5813595.214097536,0.074012579
161,161,1906904.045827437,5813586.719074297,0.151274999
162,162,1907762.806829038,5813554.644046744,0.00821519
163,163,1906131.440115739,5813621.844326543,0.274916231
164,164,1906883.886860477,5813577.485812251,0.112177216
165,165,1906867.642156889,5813568.175273143,0.069666666
166,166,1907033.319404729,5813561.926231625,0.222627447
167,167,1905620.733882509,5813604.528004209,0.274822785
168,168,1906846.604904724,5813559.893493716,0.072016261
169,169,1907065.183708295,5813550.752071199,0.173424998
170,170,1907100.800360205,5813549.422873124,0.129818749
171,171,1905560.845567417,5813596.975189791,0.271018183
172,172,1906826.967482998,5813550.537166939,0.101312499
173,173,1907053.096015743,5813541.327949322,0.319455131
174,174,1906475.93172986,5813558.438350557,0.451769583
175,175,1906806.792281087,5813540.681346889,0.140517007
176,176,1905589.714736716,5813586.105048428,0.288148274
177,177,1906787.050142534,5813531.171247409,0.133975
178,178,1907751.98560555,5813525.018455152,0.15001108
179,179,1905601.46642925,5814007.275790703,0.403267034
180,180,1905567.806658343,5813566.553801415,0.254662499
181,181,1906457.29147483,5813534.323169946,0.426895998
182,182,1906766.891462164,5813521.937711154,0.141037498
183,183,1907111.183895648,5813509.094619325,-0.014
184,184,1905559.521645726,5813556.876508062,0.257102569
185,185,1905689.012490293,5813621.137027652,0.493186698
186,186,1906180.828417853,5813533.780955731,0.118779877
187,187,1906445.365554261,5813526.129647494,0.4169535
188,188,1906742.775452425,5813512.851656853,0.119
189,189,1905551.236651785,5813547.199207454,0.263925
190,190,1906160.670442129,5813524.546082851,0.621898304
191,191,1906643.469431114,5813506.567965702,0.253428577
192,192,1906679.085778169,5813505.240583506,0.272187503
193,193,1906718.659291952,5813503.765677835,0.178955697
194,194,1906063.306273456,5813551.265305904,0.252720187
195,195,1906202.299319192,5813516.054358563,0.150170734
196,196,1906381.911726758,5813506.326130964,0.345900001
197,197,1906619.495127178,5813498.466885403,0.322901636
198,198,1906065.131010423,5813512.93832968,0.41436569
199,199,1906088.696017418,5813507.253745141,0.288468359
200,200,1906130.244534798,5813509.063982514,0.307576115
201,201,1906227.637454436,5813502.669094991,0.206373833
202,202,1906274.691774722,5813500.332713676,0.247993674
203,203,1906357.769225004,5813496.511909308,0.325481474
204,204,1906389.455166048,5813496.06019076,0.342448711
205,205,1906100.197146276,5813496.840878085,0.304625002
206,206,1906248.09158845,5813493.587123683,0.44244681
207,207,1906288.823154465,5813489.42270279,0.228447367
208,208,1906396.691977076,5813489.584104107,0.345393941
209,209,1906032.547448021,5813488.841275422,0.446021278
210,210,1906343.990779539,5813479.845687179,0.247156797
211,211,1906317.109103001,5813468.798596569,0.259087501
212,212,1907084.014605296,5813468.117734515,-0.013083977
213,213,1907040.967287886,5813414.543088024,-0.012032847
214,214,1907089.772700053,5813360.116538076,-0.014
215,215,1907049.481493291,5813362.26570628,0.030774193
216,216,1907095.717992431,5813305.545126881,-0.014
217,217,1907537.924703823,5813263.496713692,-0.014
218,218,1907628.942189342,5813260.094140789,-0.014
219,219,1907521.722889659,5813254.117093869,-0.014
220,220,1907441.459696674,5813227.160901225,-0.014
221,221,1907409.429177648,5813218.372788788,-0.014
222,222,1907694.351728796,5813207.721608054,-0.014
223,223,1907189.896423373,5813222.727053925,-0.01240171
224,224,1907804.035647233,5813173.663800369,-0.014
225,225,1907769.139898342,5813164.98401068,-0.014
226,226,1907819.491571721,5813163.100320258,-0.014
227,227,1907360.656452441,5813170.268630407,-0.014
228,228,1907374.996153645,5813187.706024317,-7.5567e-05
229,229,1907295.273962594,5813132.770561877,0.007699999
230,230,1907337.309311196,5813139.370060561,-0.01118161
231,231,1907778.054085193,5813114.724383683,0.023099999
232,232,1907801.983910575,5813118.821775576,0.391487497
233,233,1907777.308050486,5813094.781828747,0.125417722
234,234,1907856.425001357,5813091.093649718,0.316340004
235,235,1907820.091191236,5813073.210754231,0.335119497
236,236,1907739.086594496,5813069.991543536,0.139551725
237,237,1907803.889344778,5813063.831690077,0.309600001
238,238,1907887.363081754,5813081.483723188,0.315713043
239,239,1907814.064627124,5813033.495287056,0.216729165
240,240,1907863.816112092,5813056.60637841,0.290139283
