OID,FID_,X,Y,BCE_Avon_H
39,39,1579361.022236191,5178361.801906285,0.363857141
40,40,1576988.348775144,5178330.42623031,0.538444448
41,41,1576436.630158343,5178321.259033795,0.509918477
42,42,1576470.899571061,5178324.133076464,0.153419512
43,43,1576842.687014431,5178312.549560376,0.47538095
44,44,1576949.794197084,5178311.995116772,0.48156435
45,45,1576389.533511881,5178301.140872669,0.043053336
46,46,1576879.08506858,5178301.297881519,0.551478265
47,47,1579396.811305051,5178314.658881946,0.27307143
48,48,1576904.771338283,5178293.306286404,0.438375004
49,49,1576346.204857877,5178282.47291804,0.481417168
50,50,1579416.562546551,5178268.954755305,0.215727278
51,51,1576250.668652874,5178252.830348758,0.308446151
52,52,1576215.890188462,5178224.205902011,-0.11304575
53,53,1576186.791345331,5178195.581768846,0.187656468
54,54,1576163.488450315,5178161.099210455,-0.24087253
55,55,1579460.216667647,5178148.89274882,0.289111118
56,56,1576130.648147914,5178133.245975539,0.237810054
57,57,1578467.350209872,5178136.446573754,0.223615023
58,58,1576111.026238974,5178085.37606838,-0.360875529
59,59,1579487.933295292,5178074.968766345,0.398726922
60,60,1576074.83926452,5178030.664222045,0.440285718
61,61,1576096.589856236,5178035.729869694,-0.777300006
62,62,1576060.451477305,5177995.695495772,-0.361599997
63,63,1579506.173884938,5178006.303190179,0.361277105
64,64,1576039.301302914,5177970.679028699,-0.699272724
65,65,1579525.65222017,5177947.936401124,0.383999988
66,66,1576036.78603486,5177906.648295929,0.097834559
67,67,1576024.598402042,5177875.850566514,0.292428569
68,68,1579554.040962926,5177853.418549906,0.444545766
69,69,1576151.399070667,5177799.289013412,-0.75956933
70,70,1579570.891992666,5177742.897845024,0.513798482
71,71,1575996.344755451,5177666.352974179,0.409678572
72,72,1579555.927422225,5177676.306008905,0.587034063
73,73,1576019.307992156,5177532.312150359,0.497740742
74,74,1576031.030710185,5177514.879761152,0.480785263
75,75,1579501.552732148,5177524.512445319,0.619274161
76,76,1576062.805318139,5177474.847721662,0.370379626
77,77,1577484.531951691,5177436.952709042,0.65367619
78,78,1576120.542204122,5177421.53755882,0.266326533
79,79,1576131.458258097,5177412.327381601,0.331359997
80,80,1578769.995567793,5177425.268659631,-9999.0
81,81,1576146.820583888,5177399.634303087,0.354409754
82,82,1578807.811484765,5177409.308883005,-0.352644607
83,83,1578820.363720122,5177393.007836733,-0.453789517
84,84,1579482.211085242,5177416.734983932,0.672603106
85,85,1576169.47637218,5177379.779198313,0.30611795
86,86,1576186.050976748,5177362.639036537,0.345263635
87,87,1578833.748404514,5177379.515501197,-0.583410968
88,88,1576205.772797603,5177334.004615746,0.25638095
89,89,1576222.811672283,5177324.02334098,0.224574075
90,90,1576262.444163574,5177303.050919261,0.821466669
91,91,1576592.39343238,5177294.541683346,0.157078123
92,92,1576287.908257954,5177283.188022285,0.438025001
93,93,1576338.917599749,5177243.602240234,0.924757575
94,94,1576397.035879563,5177198.772811238,0.645831251
95,95,1576531.27476893,5177194.255056254,0.767333327
96,96,1575833.238429698,5177179.454327227,0.016142858
97,97,1575780.640462169,5177160.945442121,0.155655171
98,98,1576422.263335686,5177170.466889975,0.724460141
99,99,1575733.382066186,5177141.537077308,0.796213325
100,100,1575702.718578389,5177123.69963516,0.275589169
101,101,1576506.088208343,5177114.28484065,0.064352941
102,102,1576459.019947625,5177109.202516096,0.915507145
103,103,1575948.20887196,5177081.841930564,0.02794
104,104,1575927.851716643,5177059.927029269,0.071267759
105,105,1579448.704891081,5177060.886774861,0.358700602
106,106,1575908.874930853,5177036.638834443,0.436999997
107,107,1576437.358258005,5177075.695994825,0.714878156
108,108,1579503.009969026,5177119.325128433,0.619942821
109,109,1579269.663840521,5176856.014821867,-0.472446265
110,110,1579509.699917668,5176832.143548683,0.5522963
111,111,1579010.408047871,5176823.658062042,-0.468968721
112,112,1579285.97454077,5176814.445062545,-0.48390195
113,113,1579274.975013476,5176804.226872547,-0.631628562
114,114,1579362.124317014,5176774.566080155,-0.024957143
115,115,1576441.977735477,5176755.168512288,-0.115097228
116,116,1579046.605218034,5176753.636083692,-0.526333372
117,117,1575866.406356693,5176796.288284794,0.431827955
118,118,1575989.042689666,5176658.598812176,-0.009935715
119,119,1576319.392336251,5176584.948737363,-0.124657144
120,120,1575964.705798855,5176570.846156934,0.002998077
