OID,FID_,X,Y,BCE_Whitfo
60,60,1775377.940926699,5913119.828810206,0.919821415
61,61,1777542.421541937,5913025.395849319,0.407870365
62,62,1773967.660706333,5913058.88591046,1.258999988
63,63,1773999.090402392,5913058.242211429,0.4612766
64,64,1773911.418566765,5913049.339480814,0.760555542
65,65,1777640.728281287,5912952.756748024,0.725090886
66,66,1773818.294036305,5913007.372707051,1.044504795
67,67,1775367.67736865,5913023.539788414,1.160751312
68,68,1777864.622189754,5912918.359378435,0.949607822
69,69,1773806.750706621,5912992.382872725,1.75919996
70,70,1777594.871715266,5912971.175597603,0.70004341
71,71,1777763.571736728,5912898.46043969,0.972499985
72,72,1775390.195326518,5912929.924463598,0.988250012
73,73,1774124.896245712,5912945.983750609,0.586346148
74,74,1775396.675549401,5912915.340701859,1.232037032
75,75,1777646.683203601,5912862.365477688,0.654716979
76,76,1777808.009999356,5912866.274127277,0.666500006
77,77,1774197.099995028,5912924.561229571,0.630886065
78,78,1777798.551761789,5912849.943951238,1.022962982
79,79,1777854.365858887,5912838.804302614,0.400000001
80,80,1774213.648160492,5912912.150279624,0.751066667
81,81,1774524.821680832,5912897.892552837,0.125249996
82,82,1777805.155782187,5912830.001193435,0.947096754
83,83,1774340.324462724,5912881.012183872,0.258076916
84,84,1774549.370612146,5912883.629970486,0.3627704
85,85,1775016.607121041,5912867.832444874,1.185625003
86,86,1774332.131668237,5912871.936388217,0.35737501
87,87,1777860.950771052,5912798.781511379,1.966326524
88,88,1774319.922404569,5912862.215956402,0.541312499
89,89,1777749.115471079,5913124.014242379,0.93913459
90,90,1777989.37683196,5912786.120247314,0.91187502
91,91,1777700.895887633,5912782.390125487,0.978888871
92,92,1777876.966020038,5912778.704941785,1.966250051
93,93,1775283.101613772,5912812.482294836,0.756078451
94,94,1777892.554936622,5912758.436022807,1.030181802
95,95,1774891.311746259,5912809.859808913,0.221914888
96,96,1775019.336878887,5912798.180182158,1.202222261
97,97,1775160.43019809,5912794.144583191,1.765761609
98,98,1775319.287850994,5912791.79337249,1.238808759
99,99,1774625.726235666,5912828.342491027,0.544327932
100,100,1775114.988063624,5912785.309489553,1.717735828
101,101,1775374.973819888,5912834.169389816,0.955035836
102,102,1777904.674302489,5912734.786156441,1.497351329
103,103,1774871.601835655,5912790.262426872,0.82136519
104,104,1775094.78984873,5912776.481872619,1.401772126
105,105,1777915.662731192,5912707.167573815,1.559230745
106,106,1773001.376896749,5912789.462948601,-0.341772144
107,107,1773455.882435043,5912909.286440869,0.728218653
108,108,1773576.984379709,5912747.807111454,0.212874998
109,109,1777666.381502694,5912663.457483047,0.996909107
110,110,1773464.5354651,5912730.162005751,-0.949508164
111,111,1777655.034304735,5912643.55113436,0.962205871
112,112,1773584.3763731,5912717.743501863,0.237374998
113,113,1774665.021375993,5912734.19964629,0.069498526
114,114,1773440.119187926,5912710.719365724,-0.499736832
115,115,1773423.909881426,5912701.079284391,-0.055749998
116,116,1777907.697194602,5912635.465247544,1.806032296
117,117,1773703.809666218,5912685.389081042,0.684875005
118,118,1774912.242725669,5912659.863212915,0.953999972
119,119,1773327.467458906,5912683.10606885,-0.828480987
120,120,1774904.049271646,5912650.788102228,0.987749986
121,121,1777675.063558656,5912605.540312544,1.031479997
122,122,1773295.252593655,5912673.792312387,-0.516118138
123,123,1773261.818889243,5912664.503395858,0.147710843
124,124,1773559.720161597,5912712.153138234,0.562178423
125,125,1773226.820746171,5912655.246229627,0.116937501
126,126,1773709.977919755,5912750.453383534,0.488123963
127,127,1773176.390900067,5912641.091832506,0.426185712
128,128,1773133.473304969,5912627.54939965,0.672612616
129,129,1774883.299022095,5912619.441499126,0.815682697
130,130,1777992.850518529,5912639.766866418,0.913998687
131,131,1773054.853603614,5912632.992293998,0.951867053
132,132,1773109.96637922,5912617.744942331,0.31025
133,133,1773725.88384345,5912618.52611693,0.817218685
134,134,1777902.916141687,5912508.736912789,0.911730736
135,135,1777975.526115141,5912507.215753049,0.939624999
136,136,1773085.551360459,5912598.300806285,-0.050624994
137,137,1774666.954661785,5912613.756316693,0.388096166
138,138,1777919.462511348,5912498.620329743,0.90999998
139,139,1773045.130980975,5912579.182698663,0.045999994
140,140,1777941.642748977,5912484.427051869,0.988563975
141,141,1774861.287798647,5912527.810981236,0.652499999
142,142,1773673.568567201,5912550.327453014,0.335630126
143,143,1774664.540146425,5912514.641972581,0.504507157
144,144,1773523.570442786,5912484.668786957,1.243374984
145,145,1777940.973707399,5912392.994805421,1.083012815
146,146,1774683.633169024,5912416.019493016,-0.851071419
147,147,1777652.073166267,5912354.447695705,0.983291137
148,148,1774683.223188252,5912396.085881645,-0.567962962
149,149,1774665.814333153,5912356.559834874,0.811898734
150,150,1775025.935042158,5912349.146107035,0.832125
151,151,1775017.561312689,5912339.146384037,0.549090902
152,152,1777674.787685409,5912284.375214632,1.007962976
153,153,1774949.601578176,5912335.762283945,0.695249997
154,154,1774981.174305184,5912343.628384678,0.774033412
