OID,FID_,X,Y,BCE_Waimea
340,340,1608276.415985867,5431729.68952414,1.069467548
341,341,1609284.796680124,5431724.939504602,0.622937748
342,342,1608809.375774509,5431719.098194906,-0.720409101
343,343,1609358.530024944,5431713.630984513,0.677622633
344,344,1607219.394479287,5431695.918637408,0.682270593
345,345,1609476.918860462,5431694.324632715,-0.011737383
346,346,1608289.743960556,5431685.010155746,0.970830183
347,347,1607650.475741801,5431675.738057917,0.168653845
348,348,1608263.946822345,5431675.443742573,1.079203874
349,349,1609290.456826177,5431673.828950102,-0.636320018
350,350,1609636.12405704,5431670.164234701,-0.272000021
351,351,1607639.452317002,5431664.907345669,0.199009615
352,352,1609237.926065021,5431663.719005316,0.638649995
353,353,1607620.054174491,5431655.825357569,0.145433961
354,354,1608619.905410131,5431685.525432018,-0.911144353
355,355,1607519.015912923,5431646.334711914,0.054235294
356,356,1607589.603483447,5431650.098432708,-0.112145633
357,357,1608440.182740313,5431644.947955146,0.301905665
358,358,1609324.429174205,5431643.664030365,0.568106664
359,359,1607559.82932176,5431625.971243955,-0.055826923
360,360,1607579.188828612,5431626.327660173,0.07234
361,361,1608598.3192228,5431624.613666587,-9999.0
362,362,1609757.935065538,5431625.701164319,-0.873000011
363,363,1608908.271377466,5431608.70124381,0.529458333
364,364,1607958.578689217,5431595.629089753,1.029384608
365,365,1608013.423748045,5431602.861410386,1.218292102
366,366,1608623.332900343,5431601.149769011,-0.218575758
367,367,1609260.409919309,5431593.884201443,1.353971485
368,368,1607533.107489741,5431597.851733297,-0.054162737
369,369,1608425.222428241,5431589.913048506,-0.30561136
370,370,1609072.842127713,5431584.148181947,1.174234022
371,371,1609595.222339905,5431583.825403631,1.064275517
372,372,1608599.112542482,5431586.869464991,-0.372825076
373,373,1608583.199402266,5431564.070475096,-0.967999995
374,374,1609668.47120093,5431563.896266148,1.092943982
375,375,1609711.667998782,5431563.583440913,1.11239623
376,376,1608664.967819845,5431575.643125795,-0.966000021
377,377,1608849.432558116,5431554.506367557,-0.772615395
378,378,1609746.062361659,5431553.941687896,0.947725493
379,379,1609771.834247091,5431543.558244466,0.680320772
380,380,1609809.606368444,5431543.302908888,0.69539999
381,381,1608651.152295272,5431539.786353571,-0.759321444
382,382,1608819.112789641,5431692.487140032,-0.373347446
383,383,1609787.020629417,5431533.360994807,0.998099978
384,384,1607943.454161439,5431525.839419678,1.05401961
385,385,1608033.894837014,5431525.535611859,1.315550007
386,386,1607981.063659445,5431515.825948504,1.230396235
387,387,1608015.123295916,5431541.117241157,1.314720821
388,388,1608406.723080776,5431515.723147943,-0.437639984
389,389,1608613.211339858,5431516.586683516,-0.212534169
390,390,1609825.162820068,5431513.364952618,0.8671087
391,391,1608082.994269261,5431526.054377634,1.251246115
392,392,1608566.870044512,5431503.108739819,-0.84607822
393,393,1609124.698385167,5431494.536979877,0.941279994
394,394,1609854.531910465,5431493.585101432,0.489849053
395,395,1608414.240510738,5431484.550969414,-0.848652184
396,396,1608774.698740878,5431548.409385038,-9999.0
397,397,1607522.357432436,5431476.42539001,-0.631549029
398,398,1609088.400929689,5431475.166894034,0.905420004
399,399,1607508.390281248,5431465.357297173,-0.628154844
400,400,1608086.649027049,5431465.847788387,1.133846127
401,401,1608604.019643594,5431465.919830644,-9999.0
402,402,1608703.478958533,5431474.903897034,-0.54725374
