OID,FID_,X,Y,BCE_Mouter
116,116,1601111.120564649,5444690.326090354,1.081840699
117,117,1602344.464883895,5444685.676444206,1.095906251
118,118,1601166.113263947,5444634.491175535,0.70526064
119,119,1602357.278813618,5444597.88010547,1.846014925
120,120,1602363.725162192,5444582.283464778,1.731979186
121,121,1602395.554046865,5444578.618784441,1.162374958
122,122,1602380.220552399,5444573.054918383,1.253730226
123,123,1601302.149077496,5444483.741902404,2.500000001
124,124,1602589.109771527,5444472.929534833,1.014189201
125,125,1602575.963210297,5444433.543323317,1.260775013
126,126,1601275.774120082,5444447.692177238,0.769867677
127,127,1601347.42175195,5444423.810368955,3.361328338
128,128,1602564.803314977,5444350.296510566,1.307999998
129,129,1601290.003847688,5444355.306006877,0.779999971
130,130,1601262.865915106,5444337.532375418,0.788000009
131,131,1601440.34055251,5444347.115222891,0.308461545
132,132,1601490.548949336,5444303.479340041,0.517760003
133,133,1601241.538077182,5444349.446138225,0.823143461
134,134,1602568.921531063,5444283.962384274,0.94059184
135,135,1602567.981120752,5444250.17835224,1.254358327
136,136,1602749.241180477,5444214.0939252,1.25684998
137,137,1602771.852744643,5444214.085380719,1.363974959
138,138,1602741.690893469,5444179.194401621,1.082128563
139,139,1602806.03502336,5444178.967057443,1.001699987
140,140,1602726.611006389,5444164.241885505,1.102328585
141,141,1602633.760553553,5444157.492901232,1.087230769
142,142,1602621.083938037,5444144.336301099,1.525587489
143,143,1602613.543254331,5444134.366897914,1.473928555
144,144,1602862.248207651,5444084.413157628,1.282075
145,145,1602884.752349082,5444084.223614759,1.468666671
146,146,1602824.559080276,5444074.455721642,0.886514285
147,147,1603054.056790619,5443970.20778191,1.366000056
148,148,1603058.144822926,5443924.780054587,1.070250013
149,149,1601496.033946459,5444101.656976892,0.718113761
150,150,1603382.977216818,5443780.064401274,0.326615885
151,151,1603269.028220938,5443590.622977152,-0.104513633
152,152,1601478.841900907,5443577.361477233,0.974965703
153,153,1603404.821961735,5443555.86304498,-0.089528305
154,154,1603291.619879534,5443550.724372241,0.26787826
155,155,1601683.166696475,5443531.044607464,0.829999983
156,156,1601850.191984198,5443501.255938877,1.317802969
157,157,1601433.997317878,5443532.677144255,0.784362663
158,158,1603367.100069462,5443538.280899155,0.107147104
159,159,1602182.002554537,5443476.906268616,1.130500012
160,160,1603569.236410348,5443475.067859811,0.259684208
161,161,1603147.511575485,5443444.197141511,0.890166663
162,162,1601851.28742396,5443478.440732268,1.333961982
163,163,1602221.711537482,5443416.170928087,1.409864414
164,164,1602215.360762611,5443405.635777757,1.482999968
165,165,1601926.844165315,5443398.329944869,1.163405708
166,166,1602281.22755717,5443390.299843353,1.622517027
167,167,1603226.385444446,5443370.459130948,1.818523102
168,168,1601527.303568289,5443380.369166147,0.849075063
169,169,1602012.639444645,5443308.325197336,1.064408814
170,170,1603412.289017809,5443156.257517747,1.881565205
171,171,1603433.708522862,5443162.774367281,1.641645844
172,172,1603401.046864677,5443146.586542887,1.880741017
173,173,1603376.922946947,5443121.947478801,1.655131059
