OID,FID_,X,Y,BCE_Mangon
164,164,1650958.017641382,6125516.565536067,-0.070980472
165,165,1650359.58193134,6125499.967983275,0.690727277
166,166,1650392.25661768,6125479.862404236,0.716574978
167,167,1650998.775802659,6125476.487606809,0.487226661
168,168,1650354.613594709,6125484.81323181,0.745965597
169,169,1651023.252843004,6125456.425622091,-0.207191958
170,170,1651039.563406297,6125454.56688867,0.352326464
171,171,1651162.588062237,6125455.644249234,0.594773257
172,172,1651102.154076836,6125442.426483656,0.561596321
173,173,1651121.178726165,6125434.575017428,0.139307694
174,174,1649678.639849084,6125414.248593812,0.690333369
175,175,1651175.566380327,6125432.940746625,1.177976593
176,176,1651170.28160285,6125396.030504998,1.178962985
177,177,1649588.319673378,6125384.853299612,0.777428549
178,178,1651181.302104346,6125382.480995016,0.897231842
179,179,1649637.609028559,6125374.418131977,0.712168667
180,180,1649540.450877244,6125357.577970313,0.958520826
181,181,1649588.872375984,6125362.400074144,0.78881779
182,182,1650519.148754377,6125425.837353246,0.534662863
183,183,1650781.243470098,6125312.4235377,1.675582646
184,184,1649514.129647437,6125280.393364986,2.464436191
185,185,1650933.61802839,6125423.327734914,0.647547459
186,186,1650973.072432993,6125277.382026073,1.801450515
187,187,1650964.764945883,6125257.503550373,1.453013499
188,188,1649128.478031916,6125227.945527193,1.091357152
189,189,1651072.584543963,6125249.515939011,2.366508668
190,190,1649546.368333476,6125175.665851746,0.952299996
191,191,1649726.515480948,6125144.796961119,0.89984444
192,192,1649562.543381687,6125135.728072059,0.964244466
193,193,1650226.524537609,6125122.333342478,0.685247895
194,194,1649560.399562485,6125118.305447874,1.081125256
195,195,1650215.406537757,6125112.190314631,0.706381648
196,196,1650236.757759131,6125076.883459484,0.707557259
197,197,1650282.504147992,6125017.467489665,0.543556272
198,198,1649601.183305967,6124991.997826858,0.823897014
199,199,1649619.019700929,6124971.041290375,1.064000295
200,200,1649495.034764336,6124837.420033675,0.303849057
201,201,1649713.372788934,6125353.876771104,0.721084595
202,202,1649438.768994588,6124795.941866582,0.99305239
203,203,1649632.058712865,6124956.191925442,1.164154249
204,204,1650224.158229874,6124723.643509815,-9999.0
205,205,1650221.503030194,6124701.126774834,-9999.0
206,206,1650583.976061136,6124577.758087692,1.575890946
207,207,1650224.921738697,6124552.718341648,0.241000026
208,208,1650900.619744226,6124082.209498031,3.071287944
209,209,1650917.157472392,6124072.234523687,5.42875517
210,210,1650949.602824429,6124012.278113959,4.881185464
211,211,1650990.298398072,6123962.237852046,3.273257667
212,212,1650687.033811038,6123953.96842149,-9999.0
213,213,1651023.020640643,6123952.090513371,-9999.0
214,214,1650568.98787173,6124650.99864533,0.989237697
215,215,1651088.412978729,6123921.837940226,5.566441814
216,216,1651046.14111235,6123927.98768929,1.834443334
217,217,1650768.732344513,6123895.675620368,-9999.0
218,218,1650477.668445066,6124098.163432407,0.668264752
219,219,1651515.660201386,6123800.413570892,1.607359458
220,220,1651538.394493076,6123789.789800623,1.987869029
221,221,1651735.067178943,6123788.674527252,1.898724972
222,222,1651751.456570569,6123788.581396044,3.239208826
223,223,1651558.8205782,6123779.709049025,3.727096324
224,224,1651780.081356754,6123778.456155539,1.902811768
225,225,1651800.51140229,6123768.37744888,1.927044474
226,226,1651996.956140713,6123727.407748724,1.993175001
227,227,1651948.713655979,6123730.40746823,2.361646458
228,228,1652013.288521624,6123717.351954389,1.643775029
229,229,1652029.62090882,6123707.296086251,3.389451764
230,230,1650996.903099324,6123678.269784638,0.741853646
231,231,1652152.312114911,6123666.744093491,1.478958288
232,232,1651013.20856333,6123663.234702026,0.71007857
233,233,1652193.170888574,6123646.584905724,3.564040402
234,234,1652209.502857849,6123636.528769478,1.284735641
235,235,1652225.890021564,6123636.432425766,1.429937479
236,236,1652242.223928371,6123626.378622768,1.225600027
237,237,1651131.526419986,6123572.908553322,0.981411785
238,238,1651885.529038606,6123684.894447287,0.886948203
239,239,1651141.449870085,6123566.02822615,0.992740757
240,240,1651807.628276671,6123549.365991758,1.557553551
241,241,1651856.630096226,6123549.610788761,0.036351154
242,242,1651873.01906009,6123549.517433741,-0.155086937
243,243,1651948.016993878,6123539.133815191,0.003603075
244,244,1651244.600591372,6123543.061570943,1.207792052
245,245,1652323.539755624,6123516.323922606,-9999.0
246,246,1652206.5932003,6123487.210978071,1.454797694
247,247,1652309.364499592,6123498.075735805,0.534374678
248,248,1652224.977657624,6123477.03976963,1.625200002
249,249,1652298.560567225,6123476.821716351,1.22666672
250,250,1652110.031878722,6123467.940149522,1.76642109
251,251,1652232.517417682,6123467.03399442,1.753040016
252,252,1652142.833958279,6123468.063902891,2.022862691
253,253,1652306.714461905,6123456.738072417,1.329435919
254,254,1652248.851144512,6123437.896614102,1.881743869
255,255,1652278.873657157,6123427.735492753,1.814243687
256,256,1651773.664516879,6123400.121459571,1.364431046
257,257,1652087.747277991,6123425.725372995,2.074351208
258,258,1652041.436697087,6123382.489280092,1.903223803
259,259,1652008.545548874,6123362.752182803,2.641815501
260,260,1651849.354103751,6123352.023200789,1.508806258
261,261,1651557.520813729,6123324.714152357,1.586464328
262,262,1651809.698005683,6123339.000623533,1.444485278
263,263,1651917.232664834,6123322.479283143,2.435875831
264,264,1651441.410047283,6123292.252578575,-0.980856302
265,265,1651469.367295447,6123282.092314689,-0.985000014
266,266,1651540.048545228,6123282.272954663,0.356570648
267,267,1651589.244261263,6123280.749008158,-0.330621872
268,268,1651625.431926645,6123271.450493662,-0.177349672
269,269,1651707.651410566,6123260.612765603,1.635714265
270,270,1651528.396772956,6123261.318197575,-0.180006553
271,271,1651593.698817671,6123252.55825695,-0.043752884
272,272,1651628.738603766,6123241.347646802,-0.187682229
273,273,1651663.309707056,6123234.64204629,-0.521821868
274,274,1651674.481466236,6123221.155338996,-0.630755565
275,275,1651701.73742531,6123210.634877503,-0.801024089
276,276,1651715.282619286,6123191.036110204,-0.775202247
277,277,1651393.879426211,6123578.206406095,0.893047473
278,278,1651797.110838734,6123170.645880641,-9999.0
279,279,1651783.587283021,6123155.118016911,3.98715482
280,280,1651821.466431296,6123130.657195265,-9999.0
281,281,1651719.8319661,6123085.918750939,0.597096697
282,282,1651690.981658539,6123024.212883342,-0.784967932
283,283,1651702.046825322,6123012.349381459,-0.7926
284,284,1651812.425059455,6123011.362707661,1.306714322
285,285,1651730.441093625,6122992.361456938,-0.149818185
286,286,1651747.318084899,6122982.214147118,0.076189185
287,287,1651804.001973553,6122971.151934583,-0.754249995
288,288,1651851.462375657,6123055.134150557,4.633575343
289,289,1651844.426885314,6122948.65110578,1.711764405
290,290,1651810.109907109,6122923.943140931,-0.099409343
291,291,1651901.517305245,6122812.684902326,1.739889364
292,292,1651892.998543568,6122741.71126109,0.238075001
