OID,FID_,X,Y,BCE_Pareng
1729,1729,1588437.040854573,6177757.808756415,0.418166691
1730,1730,1588681.694798209,6177765.136427363,-0.067108698
1731,1731,1589501.167938639,6177762.092512171,-0.654999971
1732,1732,1588147.208788973,6177754.199907839,-0.654999971
1733,1733,1588409.189083979,6177751.382550567,-0.654999971
1734,1734,1588454.527088735,6177748.270443201,0.344372115
1735,1735,1590064.551665172,6177759.431817234,-0.654999971
1736,1736,1591757.993231905,6177763.737974914,-0.654999971
1737,1737,1592484.530822559,6177755.790751746,2.379252976
1738,1738,1594468.006718849,6177757.210491498,-0.595000029
1739,1739,1588668.677648601,6177741.598572542,-0.124436783
1740,1740,1590688.138224315,6177743.846644826,-0.654999971
1741,1741,1592410.107602341,6177759.002288476,-0.654999971
1742,1742,1594429.936876164,6177751.056779144,-0.595000029
1743,1743,1588163.749909102,6177740.546552837,-0.59846549
1744,1744,1588384.717288712,6177741.238810937,-0.474190157
1745,1745,1591822.047722089,6177752.686417875,-0.654999971
1746,1746,1588522.242090137,6177719.156442904,0.144281124
1747,1747,1589023.300597576,6177726.87902159,-0.469194662
1748,1748,1588540.09677566,6177709.379987877,0.01211094
1749,1749,1588619.90325599,6177716.379434811,-0.105438341
1750,1750,1590098.986669147,6177713.148229254,-0.654999971
1751,1751,1590114.775940371,6177723.823549758,-0.654999971
1752,1752,1590952.271705333,6177714.224435071,-0.654999971
1753,1753,1588504.042394612,6177701.346626037,-0.654999971
1754,1754,1591183.075887593,6177704.485548183,-0.654999971
1755,1755,1588602.797292196,6177691.711585748,-0.238724147
1756,1756,1589217.302503817,6177696.571721901,-0.403708183
1757,1757,1595564.134774986,6177704.273858888,-0.745000005
1758,1758,1592081.542714565,6177685.373927637,-0.654999971
1759,1759,1592174.471025908,6177691.59166544,-0.654999971
1760,1760,1595406.050450833,6177704.780913462,-0.423480488
1761,1761,1595575.650535186,6177687.49536135,-0.745000005
1762,1762,1589186.742658664,6177682.019869287,-0.475562481
1763,1763,1592302.728752872,6177696.890368729,-0.654999971
1764,1764,1595667.648279283,6177684.38065796,-0.745000005
1765,1765,1594429.663532346,6177679.033872083,-0.595000029
1766,1766,1590613.905940877,6177662.261376911,-0.654999971
1767,1767,1595587.688624507,6177657.617403853,-0.745000005
1768,1768,1588442.144144594,6177666.775155047,-0.537117325
1769,1769,1590511.191113836,6177644.198319572,-0.654999971
1770,1770,1590803.634757803,6177644.349517293,-0.654999971
1771,1771,1590952.001673029,6177644.495492278,-0.654999971
1772,1772,1589346.809733993,6177637.150985174,-0.38972024
1773,1773,1590839.025233122,6177641.134646849,-0.654999971
1774,1774,1594430.002702296,6177641.483283201,-0.595000029
1775,1775,1595665.477414682,6177645.134468037,-0.745000005
1776,1776,1589164.605454499,6177636.369258343,0.049772731
1777,1777,1590886.244748249,6177629.284940286,-0.654999971
1778,1778,1590944.116601381,6177624.565312897,-0.654999971
