OID,FID_,X,Y,BCE_Rangau
72,72,1627967.964758174,6137749.914401127,-9999.0
73,73,1626326.957231771,6137745.40255333,-9999.0
74,74,1625593.052886284,6137745.618894477,-9999.0
75,75,1627705.679240345,6137721.407088209,-9999.0
76,76,1627725.598562183,6137720.97057561,-9999.0
77,77,1627746.653921222,6137701.358993334,-9999.0
78,78,1627773.664873659,6137682.912559051,-9999.0
79,79,1625573.074712812,6137660.053038388,-9999.0
80,80,1627774.598730384,6137641.126291092,-9999.0
81,81,1625784.20640493,6137606.47760306,-9999.0
82,82,1627843.704122381,6137595.933104607,-9999.0
83,83,1625657.038701972,6137587.538767772,-9999.0
84,84,1626129.43607374,6137606.609888986,-9999.0
85,85,1628339.701023298,6137568.224772033,-9999.0
86,86,1625792.224892665,6137572.319471367,-9999.0
87,87,1626260.786196908,6137566.277790343,-9999.0
88,88,1626235.23961768,6137556.473462421,-9999.0
89,89,1626219.73122051,6137545.22642743,-9999.0
90,90,1625189.483714018,6137487.661172913,-9999.0
91,91,1625828.734660413,6137491.643764552,-9999.0
92,92,1627733.080757845,6137481.860931183,-9999.0
93,93,1627749.373492476,6137441.963684696,-9999.0
94,94,1628377.727711453,6137444.504557953,-9999.0
95,95,1628516.134268457,6137421.546770266,-9999.0
96,96,1625541.08425244,6137442.869984807,-9999.0
97,97,1625812.463641475,6137407.786610935,-9999.0
98,98,1625533.588653793,6137403.384043783,-9999.0
99,99,1625852.623313869,6137410.363115359,-9999.0
100,100,1626362.421467053,6137375.430256502,-9999.0
101,101,1627804.447684881,6137359.741947992,-9999.0
102,102,1628623.266309716,6137344.427919555,-9999.0
103,103,1627831.077489745,6137322.17193128,-9999.0
104,104,1625598.537901058,6137363.749717913,-9999.0
105,105,1628680.526006472,6137274.584700581,-9999.0
106,106,1625619.777547684,6137283.291694361,-9999.0
107,107,1625525.020544237,6137273.902754652,-9999.0
108,108,1625583.714510229,6137269.843593748,-9999.0
109,109,1628596.911506817,6137283.03517571,-9999.0
110,110,1625857.607401968,6137198.834470314,-9999.0
111,111,1625869.458639956,6137188.258553083,-9999.0
112,112,1625778.990972782,6137178.756328207,-9999.0
113,113,1628256.872994629,6137135.796666186,-9999.0
114,114,1625508.204490877,6137129.501503255,-9999.0
115,115,1628278.292191189,6137111.975125863,-9999.0
116,116,1625869.832960142,6137108.561929299,-9999.0
117,117,1626839.975496169,6137085.782109034,-9999.0
118,118,1628768.019356924,6137081.546053919,-9999.0
119,119,1625869.692077704,6137058.752595625,-9999.0
120,120,1627990.299579243,6137002.698880162,-9999.0
121,121,1625909.787403506,6136999.071712494,-9999.0
122,122,1626081.725313243,6136992.828626898,-9999.0
123,123,1625405.222275846,6136985.33996039,-9999.0
124,124,1625253.195831777,6136971.022369673,-9999.0
125,125,1625469.288612517,6136996.721521213,-9999.0
126,126,1625387.538146805,6136967.629759206,-9999.0
127,127,1627034.541858016,6136940.300697712,-9999.0
128,128,1626830.622371668,6136939.072221616,-9999.0
129,129,1627018.964136307,6136925.016267514,-9999.0
130,130,1627542.524298189,6136884.718995955,-9999.0
131,131,1628864.070708998,6136880.643647323,-9999.0
132,132,1627522.576814016,6136875.193246405,-9999.0
133,133,1628839.86280912,6136858.147056853,-9999.0
134,134,1626812.17779665,6136871.357921014,-9999.0
135,135,1628348.248637177,6136833.905985037,-9999.0
136,136,1628019.653599001,6136826.139821057,-9999.0
137,137,1628154.183022749,6136783.612958428,-9999.0
138,138,1628461.28569754,6136772.324242749,-9999.0
139,139,1626196.352695864,6136768.721911999,-9999.0
140,140,1628157.626581083,6136763.302244123,-9999.0
141,141,1626796.794985761,6136776.847400724,-9999.0
142,142,1626794.672517657,6136715.734005496,-9999.0
143,143,1625359.13237309,6136701.756727307,-9999.0
144,144,1626795.170046757,6136687.699940201,-9999.0
145,145,1628173.238710211,6136691.667064588,-9999.0
146,146,1626590.129700902,6136668.898207814,-9999.0
147,147,1628866.84641281,6136661.931787702,-9999.0
148,148,1625055.396602005,6136662.337555814,-9999.0
149,149,1625012.577294076,6136655.003093253,-9999.0
150,150,1625168.78206842,6136801.812428503,-9999.0
151,151,1626330.088745065,6136658.854399242,-9999.0
152,152,1626628.327887098,6136664.521218547,-9999.0
153,153,1626188.725759667,6136651.053569394,-9999.0
154,154,1626618.33141898,6136637.621802209,-9999.0
155,155,1625317.908845475,6136632.137313231,-9999.0
156,156,1626770.552510451,6136630.532915776,-9999.0
157,157,1628378.393991559,6136627.35975459,-9999.0
158,158,1625658.259846135,6136626.311503679,-9999.0
159,159,1626204.899249667,6136619.472393747,-9999.0
160,160,1626758.191722256,6136612.889204625,-9999.0
161,161,1628140.891441263,6136603.75786309,-9999.0
162,162,1628473.39866353,6136639.022876672,-9999.0
163,163,1626327.332173416,6136599.19634071,-9999.0
164,164,1628153.169805112,6136593.758093552,-9999.0
165,165,1628255.577308715,6136593.64654872,-9999.0
166,166,1628926.143869907,6136598.73939906,-9999.0
