OID,FID_,X,Y,BCE_Mahura
71,71,1751722.781249731,5968614.565223498,-0.432405069
72,72,1751246.337637129,5968553.127714673,1.053874973
73,73,1751258.2452467,5968542.95085392,1.044712495
74,74,1751273.894769719,5968532.545716166,0.954675342
75,75,1751261.924012952,5968522.949213664,0.947299981
76,76,1751293.967907045,5968512.420174561,0.885725012
77,77,1751243.466299826,5968519.403910574,1.008143024
78,78,1751285.405752891,5968492.833789648,0.786296304
79,79,1751648.605605059,5968486.273009976,0.694981486
80,80,1751252.985508362,5968472.535334358,0.905333341
81,81,1751309.074622733,5968480.994555646,1.54445853
82,82,1751285.591825992,5968467.182002791,0.725513758
83,83,1751672.294507357,5968537.691100266,0.001680814
84,84,1750783.579060871,5968351.864935859,3.733048808
85,85,1750802.694584596,5968344.332126729,1.099585044
86,86,1750787.258802869,5968331.86352052,0.306937499
87,87,1750823.503401849,5968331.231621849,0.661190468
88,88,1750839.438329883,5968320.985121373,0.449036147
89,89,1750816.080880263,5968306.483334916,0.729761085
90,90,1751732.94703189,5968275.45158028,0.748291146
91,91,1750852.546911251,5968277.005272829,0.555121943
92,92,1754180.187297401,5968202.430904473,0.815156258
93,93,1750870.525874269,5968255.64679426,0.525337416
94,94,1750926.645050739,5968239.714796185,0.780249991
95,95,1750922.70506973,5968220.430352602,0.757222218
96,96,1750950.460037741,5968219.361927888,0.546265062
97,97,1750974.448858536,5968208.974600815,-0.011666659
98,98,1750893.819474967,5968205.397258332,0.663812513
99,99,1750917.736212952,5968200.196855327,0.004464284
100,100,1750998.437624231,5968198.587205238,0.170602403
101,101,1751022.426334829,5968188.199741151,0.197682937
102,102,1751663.687960718,5968320.265492924,0.651021558
103,103,1751038.360770987,5968177.952856241,0.070375003
104,104,1751054.295170069,5968167.705940627,-0.13599999
105,105,1751070.229532073,5968157.458994301,0.755512812
106,106,1751086.163857,5968147.212017271,0.774999994
107,107,1751102.09814485,5968136.965009537,2.073750001
108,108,1751462.457781348,5968021.207850676,0.763872742
109,109,1754176.85006691,5967973.045904928,0.938499991
110,110,1753933.452693737,5967877.69307719,2.512409648
111,111,1753944.25476463,5967867.17330748,1.600071416
112,112,1754214.764328296,5967852.531659719,2.588000027
113,113,1754278.531548001,5967801.762402238,1.111774191
114,114,1754302.515646595,5967791.365679564,0.78903614
115,115,1754373.756051726,5967720.312389314,0.896000005
116,116,1752074.023375479,5967741.119940921,0.824224987
117,117,1754413.272547627,5967709.602609476,0.905191567
118,118,1754453.939031645,5967698.943016271,1.004750001
119,119,1752173.995004006,5967699.486534508,0.872692304
120,120,1752189.927244158,5967689.237448823,0.84849999
121,121,1751378.778416895,5968053.32175994,0.765073283
122,122,1754460.74694637,5967629.039424483,1.022999979
123,123,1752221.616199243,5967658.773545813,0.886125005
124,124,1751688.251279507,5967660.25344596,-9999.0
125,125,1751736.991252535,5967587.540679174,-9999.0
126,126,1754290.016701152,5967542.367506998,0.918874992
127,127,1751748.905242527,5967577.367973696,-9999.0
128,128,1751768.856220048,5967567.044103361,-9999.0
129,129,1751780.761816733,5967556.866445488,-9999.0
130,130,1754296.94205153,5967522.245652051,0.95054348
131,131,1751800.72103923,5967546.547404706,-9999.0
132,132,1752308.101467622,5967537.6260106,1.440050018
133,133,1753588.457995567,5967505.011969108,0.571686739
134,134,1751816.478438381,5967526.333374765,-9999.0
135,135,1753620.336670963,5967494.67810196,0.389122802
136,136,1751828.383923109,5967516.155647143,-9999.0
137,137,1752371.828376401,5967496.628426977,0.882824992
138,138,1753602.522699298,5967483.958762643,0.511877822
139,139,1754127.383085579,5967465.588436264,1.619246863
140,140,1752403.867242452,5967486.095090401,0.954458334
141,141,1752662.347619792,5967452.369376021,0.797055223
142,142,1754003.89528937,5967318.385669922,-9999.0
143,143,1752723.019820194,5967310.995545671,0.515124998
144,144,1751651.308652154,5967288.49318029,1.131607083
145,145,1751672.6810307,5967282.651518807,0.998432057
146,146,1751634.74209236,5967269.608970914,1.28581815
147,147,1752786.390998909,5967250.063464957,0.654500008
