OID,FID_,X,Y,BCE_Coroma
174,174,1823540.249639124,5926152.672972416,0.689699988
175,175,1823484.743623266,5926385.204661722,0.672543868
176,176,1819136.314824672,5926177.139801582,-0.963
177,177,1819144.076361342,5926166.966441355,-0.963
178,178,1819159.343058071,5926136.651900679,-0.963
179,179,1823591.671183688,5925971.784615619,0.208124997
180,180,1823627.982676883,5925938.09936555,0.7296
181,181,1818924.025901858,5926032.977359674,-0.013024999
182,182,1819187.517863085,5926032.661260461,-0.963
183,183,1823599.298213745,5925929.378101138,0.489942688
184,184,1818774.504063764,5926012.999349518,-0.164786501
185,185,1818718.126176205,5925999.024000493,0.044831771
186,186,1818706.281969144,5925988.691173991,-0.025449992
187,187,1823556.679364024,5925864.249829149,-0.526983046
188,188,1823535.285146862,5925860.331209737,-0.036657901
189,189,1818682.338821621,5925959.805095215,-0.523082871
190,190,1823518.414548777,5925835.37019132,0.591136049
191,191,1818656.901444662,5925940.086334557,-0.393350009
192,192,1818648.628751053,5925930.323947584,-0.432901234
193,193,1818640.356289914,5925920.561989143,-0.383708864
194,194,1823466.554186414,5925795.722745677,0.594315807
195,195,1818629.345817051,5925904.075228248,-0.520334884
196,196,1823502.242823103,5925811.956650369,0.722649831
197,197,1823485.732932459,5925765.683492715,0.569799995
198,198,1818623.884899032,5925881.087861234,-0.880551018
199,199,1819248.764182552,5925870.040126276,-0.963
200,200,1818622.789500995,5925861.167751317,-0.897599998
201,201,1818421.8517715,5925846.366074327,0.1997
202,202,1818622.278682149,5925841.232660209,-0.936000001
203,203,1823462.309482818,5925727.263907938,0.588085251
204,204,1818369.485548179,5925837.732120625,-0.915796266
205,205,1823445.642920605,5925705.894951661,0.541439654
206,206,1823431.751291436,5925685.986147233,0.490180001
207,207,1819302.449851138,5925773.90596723,-0.963
208,208,1819294.176605815,5925764.144474272,-0.840724998
209,209,1818630.883375549,5925795.269458693,-0.850044902
210,210,1819285.519150079,5925739.431417579,-0.755779871
211,211,1823416.290431462,5925642.578883826,0.454327055
212,212,1818273.907006843,5925779.50267092,-0.716545362
213,213,1818707.400600451,5925719.361895834,-0.963
214,214,1819155.2138425,5925707.251163265,-0.825931036
215,215,1819273.603855069,5925712.807671831,-0.915024875
216,216,1818250.306156119,5925726.079875442,-0.956937888
217,217,1823416.437183415,5925592.691938184,0.473333336
218,218,1818241.906949735,5925711.333773552,-0.954899999
219,219,1823405.432304121,5925577.683212246,0.433129643
220,220,1819227.479344816,5925666.116617358,-0.344137501
221,221,1819250.620996607,5925682.145841768,-0.879345835
222,222,1823396.308669947,5925557.973131875,0.41605
223,223,1818231.529111726,5925689.900884334,-0.900109091
224,224,1819219.206105591,5925656.355564981,-0.764575011
225,225,1818048.226395725,5925666.415953227,-0.536499991
226,226,1818214.438359054,5925664.919439564,-0.890354545
227,227,1818200.292442643,5925652.553868333,-0.757506322
228,228,1823416.252783294,5925506.331170845,1.174500009
229,229,1818175.731946119,5925633.233884372,-0.900724998
230,230,1818664.249778822,5925600.778675123,-0.431650002
231,231,1818677.781828832,5925607.081111902,-0.733083338
232,232,1818027.037930089,5925633.716622627,-0.653070605
233,233,1818655.977575181,5925591.01645282,-0.414625002
234,234,1823386.073123505,5925473.457929759,0.734791144
235,235,1823418.010365519,5925467.634333311,1.051500024
236,236,1818002.744014845,5925601.337543298,-0.343279478
237,237,1818022.119207767,5925586.56368802,-0.963
238,238,1823436.255823639,5925443.001488294,1.115484121
239,239,1818045.187891674,5925547.532473646,-0.963
240,240,1818622.25626689,5925527.198899309,-0.293960623
241,241,1817826.425684069,5925462.627473424,-0.122530851
242,242,1818066.92639625,5925456.483106797,-0.924696203
243,243,1817786.08777991,5925453.683343197,-0.896
244,244,1818074.688285813,5925446.310639684,-0.963
245,245,1823485.462413478,5925286.326424194,1.174197543
246,246,1817641.02469891,5925427.463113688,-0.490417723
