OID,FID_,X,Y,BCE_Whanga
307,307,1561245.595418841,5504972.283340862,0.124011235
308,308,1563664.815467193,5504982.813219401,1.204382998
309,309,1563867.399924723,5504967.342071083,1.382668601
310,310,1561317.75483099,5504941.93276605,0.063695652
311,311,1563046.534797996,5504941.621927055,1.58050539
312,312,1560010.615359155,5504905.561511612,0.328421056
313,313,1560017.576127577,5504896.01764359,0.355934788
314,314,1564430.715071124,5504928.845668479,0.533358856
315,315,1560032.387818406,5504885.002472374,0.28286364
316,316,1563073.560626847,5504901.291749948,-9999.0
317,317,1560040.434654337,5504876.403489266,0.288461543
318,318,1562521.246679543,5504897.066132387,0.384854805
319,319,1562841.99172537,5504885.551881058,0.755931631
320,320,1562923.765542227,5504884.432213997,1.462353306
321,321,1562946.348174355,5504872.401097537,0.513365072
322,322,1562807.952743869,5504867.110359481,2.806428578
323,323,1562480.712147191,5504861.827105288,1.248663554
324,324,1562779.647812265,5504828.870372863,0.601000009
325,325,1562775.193045042,5504799.499490278,1.552340896
326,326,1562455.172142985,5504788.145942035,1.383256412
327,327,1562760.294341457,5504788.887827305,0.350119998
328,328,1564295.55118598,5504786.793105221,0.386794115
329,329,1560122.32467653,5504829.259828582,0.678868877
330,330,1562447.742638106,5504768.136558621,3.124600014
331,331,1562754.645891907,5504773.699869357,1.043363174
332,332,1562656.403593703,5504828.259852109,0.892249447
333,333,1562441.112704533,5504754.833608432,3.608666658
334,334,1563100.219832791,5504831.868763214,1.303678877
335,335,1560168.104370912,5504743.404536378,-0.233205179
336,336,1563080.624909855,5504740.221568616,-9999.0
337,337,1563073.557613062,5504729.790512392,3.923166696
338,338,1560185.14820875,5504712.327018379,-0.529665169
339,339,1563065.917617026,5504719.483728702,4.481769222
340,340,1563058.164754863,5504709.817821726,5.095999956
341,341,1564369.68031589,5504724.474868305,0.586967926
342,342,1560193.414619661,5504686.32178616,-0.678950909
343,343,1563408.781514199,5504710.220927657,0.766424348
344,344,1564356.734458891,5504694.022955747,0.516921048
345,345,1563435.845924109,5504679.939372107,0.337985511
346,346,1560193.549170513,5504649.808540983,0.591317458
347,347,1563361.596425172,5504668.816314802,1.405364579
348,348,1563451.084825018,5504661.930672653,0.39291139
349,349,1564354.70014145,5504656.996626304,0.175488193
350,350,1563476.409554026,5504645.277230699,-0.101149993
351,351,1562936.881955207,5504629.413694053,0.175896555
352,352,1564323.248386896,5504641.43555911,1.846252652
353,353,1564353.703086336,5504636.794311236,-0.213477065
354,354,1564897.912796398,5504650.761519781,0.843201465
355,355,1562928.939664477,5504620.132750007,0.204227846
356,356,1563499.7446104,5504624.816142327,-0.099181818
357,357,1564873.929628387,5504630.613614443,0.969442629
358,358,1564100.207551377,5504617.20494815,-0.41450008
359,359,1564848.838964741,5504617.731341148,0.841580696
360,360,1563560.275442044,5504574.873694897,-0.043634615
361,361,1564331.166183435,5504582.191671167,2.325793339
362,362,1563575.414555908,5504566.245242365,-0.034550003
363,363,1564707.403446862,5504568.298469804,0.508367345
364,364,1564772.738410277,5504581.935757787,0.980308967
365,365,1562366.79942175,5504547.159250346,0.969733464
366,366,1564709.415569728,5504547.14454183,2.219061549
367,367,1564687.59621672,5504523.742899399,1.901308655
368,368,1564115.065722033,5504544.784686368,0.881543835
369,369,1559540.720835665,5504467.191428931,0.772417382
370,370,1563773.644781369,5504474.749646693,1.221500009
371,371,1564145.221048448,5504477.835929444,0.104254549
372,372,1564120.239031268,5504474.982593074,0.192925463
373,373,1559809.823616979,5504504.133430591,0.60647721
374,374,1562901.750298574,5504523.220868097,0.956006732
375,375,1562868.981279596,5504440.429769882,2.679753411
376,376,1564152.901349085,5504445.31832826,0.509217396
377,377,1564536.405346693,5504494.740257398,0.915202783
378,378,1564046.154371309,5504436.337635689,0.443672127
379,379,1561702.068769225,5504458.765529585,0.725550148
380,380,1562194.884561468,5504448.97867759,1.045207377
381,381,1563776.282492359,5504434.926855556,0.304559794
382,382,1564008.993198016,5504416.112852042,0.473099992
383,383,1561745.106832884,5504401.413672251,-0.052045486
384,384,1563331.975379429,5504487.292351775,1.347164343
385,385,1564137.071933583,5504416.618090563,0.94205644
386,386,1563849.557658164,5504385.426208869,0.386171425
387,387,1563973.205247592,5504393.244382345,0.565813397
388,388,1561422.208842412,5504372.438344957,0.446100822
389,389,1564535.488672961,5504383.264182946,1.189447373
390,390,1562097.703523012,5504380.289443555,1.280419922
391,391,1564154.076653023,5504384.828312201,1.494284989
392,392,1564560.164039288,5504368.899358537,0.528799993
393,393,1563200.218430898,5504373.046446149,0.934898343
394,394,1564571.610030055,5504358.98240166,0.469942852
395,395,1562032.797206821,5504337.700488521,-0.089891303
396,396,1564176.549339903,5504352.161962421,1.222728675
397,397,1564579.256484465,5504349.047351222,0.725299992
398,398,1559553.531922502,5504389.302146015,1.598298134
399,399,1563278.171255715,5504356.443288461,1.063781831
400,400,1563273.739913276,5504323.947215404,2.913931056
401,401,1563859.4091467,5504349.965595976,0.033136434
402,402,1564472.965469034,5504328.598111445,0.483799998
403,403,1564491.505105673,5504355.886722064,1.615849121
404,404,1564602.148323799,5504329.213355508,0.330775002
405,405,1559587.193310197,5504294.328960394,0.599042867
406,406,1561756.890503138,5504339.512162454,0.156083032
407,407,1561941.689816214,5504320.422069198,1.341688442
408,408,1564471.484077894,5504309.598998738,1.81993182
409,409,1563187.410186501,5504293.737743475,0.578614281
410,410,1564620.025307328,5504302.733811791,0.227614191
411,411,1561974.398745446,5504272.579798504,0.351416662
412,412,1562003.521450138,5504271.534646262,0.044202902
413,413,1564204.261499403,5504300.248241654,0.830843508
414,414,1562776.307959795,5504316.181608593,1.616612845
415,415,1563179.552973025,5504243.425150791,0.591499995
416,416,1559646.211561413,5504223.447795227,0.334180724
417,417,1561791.679802383,5504255.388449521,0.531462502
418,418,1564237.755906207,5504252.68640292,0.841792392
419,419,1559633.753247405,5504203.150831019,0.436589278
420,420,1561991.389147908,5504237.12821888,0.450106502
421,421,1563871.131717065,5504277.845617481,0.557472892
422,422,1559626.173426567,5504193.174295266,0.554961538
423,423,1561218.663645104,5504209.842508387,1.158535716
424,424,1564449.364669648,5504224.878935606,0.46526596
425,425,1564642.457121191,5504249.845235542,0.294540503
426,426,1559617.969330033,5504184.014755766,1.354571428
427,427,1564443.140899601,5504208.798573588,0.530650011
428,428,1561197.918250975,5504187.935889148,2.294289784
429,429,1562993.352229839,5504192.643088296,0.090589996
430,430,1564435.637284496,5504188.819871387,0.513285719
431,431,1562703.14926462,5504170.371645349,0.725762504
432,432,1563034.813372082,5504185.79585855,0.628898273
433,433,1564324.785361886,5504214.61463662,1.420592327
434,434,1564423.268053198,5504168.92181685,0.586221067
435,435,1564662.505762223,5504194.972562088,1.006103121
436,436,1562976.421425355,5504157.62783741,1.780057947
437,437,1563045.871868937,5504152.630392338,0.476131149
438,438,1563145.711204819,5504197.588892098,1.484185267
439,439,1559466.252108268,5504123.473331817,2.774285738
440,440,1559444.837366603,5504105.725939027,2.261711272
441,441,1564684.551849191,5504143.743581182,0.302596089
442,442,1564706.170038915,5504110.917136081,-0.18568933
443,443,1563927.551530954,5504086.661257369,0.533980387
444,444,1562946.606127023,5504072.110678128,-0.377432447
445,445,1562685.155782098,5504142.27312071,1.350224253
446,446,1562939.258743969,5504061.865345809,-0.18380001
447,447,1563077.628098341,5504076.887256735,1.271048096
448,448,1564706.127774507,5504080.937343346,0.16046362
449,449,1562927.472087121,5504042.082165357,0.162486488
450,450,1563927.79307847,5504036.805215094,0.419148941
451,451,1562922.606554254,5504023.145929907,0.087975612
452,452,1559331.819971368,5504042.24986269,1.070984243
453,453,1559307.629094239,5503943.160492708,2.691818198
454,454,1564733.319495689,5504017.627280537,0.288494667
455,455,1560663.895372809,5503978.551626246,0.816263807
456,456,1562510.874115419,5503949.822835019,1.936718314
457,457,1561069.896856453,5503966.36331697,1.170051376
458,458,1564769.167880312,5503948.528502315,-0.006592783
459,459,1561002.17976822,5503912.551593628,2.218014481
460,460,1562453.795440622,5503889.91736174,0.751875056
461,461,1564792.950590507,5503908.536594401,0.203473372
462,462,1561570.278129664,5503878.134312319,1.783151228
463,463,1563902.920255356,5504031.974102654,0.561459494
464,464,1559137.349950929,5503873.487349441,1.522903283
465,465,1560979.961250077,5503879.295202263,1.958200003
466,466,1560653.208333479,5503850.557508615,-9999.0
467,467,1560672.091288526,5503850.804302162,-0.273656055
468,468,1561550.012605416,5503859.21386388,2.918704568
469,469,1559458.87080768,5503847.782721978,1.173381835
470,470,1561542.174447805,5503845.378192947,3.435700051
471,471,1564806.248515528,5503877.707064884,1.164481696
472,472,1561534.636711632,5503835.355775547,2.391485684
473,473,1559064.204336562,5503814.969522608,1.224446858
474,474,1562333.128899985,5503866.727293406,1.418373844
475,475,1560951.985825761,5503812.876630147,5.627999996
476,476,1561578.547799526,5503816.588963382,0.47005883
477,477,1560942.654729368,5503802.371170625,4.394375041
478,478,1561474.334966987,5503794.420092117,3.306599991
479,479,1561462.754345743,5503785.10156105,3.287210534
480,480,1562353.950558921,5503810.002582408,0.917321634
481,481,1562374.514518711,5503789.802410662,0.714020052
482,482,1564829.55942966,5503830.508641297,0.729008652
483,483,1559497.90703815,5503788.653611724,1.447006626
484,484,1561559.174617973,5503783.598372053,1.113083332
485,485,1561430.524217508,5503768.39723202,2.56852001
486,486,1559483.969448763,5503748.451296023,5.397399902
487,487,1564848.579029758,5503785.578191944,0.681838218
488,488,1560918.900607265,5503749.224734777,2.342333346
489,489,1559476.367038539,5503728.413662753,-9999.0
490,490,1561547.401902357,5503755.312319375,1.368819503
491,491,1562373.599330287,5503749.271696608,0.793562787
492,492,1562586.145197816,5503742.00734364,0.956842578
493,493,1564872.703708578,5503758.707143725,0.3353284
