OID,FID_,X,Y,BCE_Opua_I
130,130,1698342.785943044,6097318.965512079,0.863620249
131,131,1696136.28975828,6097332.666799153,1.307800004
132,132,1698351.17720412,6097309.537936771,3.95236768
133,133,1696119.840709083,6097322.877871119,1.319825017
134,134,1696173.009725708,6097334.247398818,0.90486519
135,135,1696038.580796849,6097282.707851451,1.926472699
136,136,1696030.182243266,6097273.009317292,2.030606561
137,137,1696022.045509012,6097263.279553058,1.866116789
138,138,1698497.064687372,6097227.608872729,1.799022777
139,139,1698440.835320617,6097292.337617587,1.920720758
140,140,1696865.57389633,6097227.415952032,0.959641008
141,141,1698531.734130766,6097209.94429356,-0.33629416
142,142,1696535.877953106,6097256.199740706,0.512632765
143,143,1698545.682504816,6097197.077286218,-9999.0
144,144,1696009.56940405,6097225.014237547,2.956233958
145,145,1696805.294591671,6097205.652522386,1.061621596
146,146,1698521.989548547,6097188.257476663,-0.578716978
147,147,1698566.002276859,6097186.891145175,-9999.0
148,148,1696570.798881276,6097200.775662499,0.377463673
149,149,1696796.873649266,6097195.967850476,1.099848089
150,150,1697393.7730567,6097187.958755148,0.640212772
151,151,1698537.67767345,6097177.941061744,-9999.0
152,152,1698578.150659214,6097176.794264127,-9999.0
153,153,1696788.519117756,6097186.190434311,1.179888915
154,154,1697385.044447476,6097179.753474276,0.526050624
155,155,1698553.860604228,6097167.666306089,1.146289459
156,156,1698586.213128722,6097166.742048963,-9999.0
157,157,1696025.073610284,6097194.38234565,3.074287514
158,158,1696592.123333724,6097178.134007187,0.434868424
159,159,1696772.896675378,6097175.146377155,0.729090904
160,160,1698594.275590226,6097156.689821278,-9999.0
161,161,1696567.680451963,6097169.362437365,0.379888892
162,162,1696074.409761645,6097256.560320471,1.412103017
163,163,1696598.006548324,6097158.347187969,0.357541967
164,164,1696755.532178366,6097156.626833949,0.724956028
165,165,1697360.19312332,6097150.884330651,0.34177778
166,166,1697336.145796764,6097139.52949895,0.350970585
167,167,1697327.52294955,6097130.255147962,0.360085716
168,168,1697580.596122647,6097127.849055496,1.139690459
169,169,1696610.588315378,6097137.869143022,0.270903034
170,170,1696722.508817708,6097127.848064415,0.714527622
171,171,1696771.033548755,6097131.015821122,0.69191816
172,172,1696834.58011745,6097175.562308396,0.877134566
173,173,1696852.242854969,6097126.400850534,0.878483853
174,174,1696052.183063254,6097124.520314279,0.739285731
175,175,1696624.346525993,6097118.935346485,0.338269239
176,176,1696663.427690919,6097118.659579765,0.401920211
177,177,1697304.293236806,6097110.22344509,2.566410876
178,178,1696636.821175768,6097098.146045056,0.407371898
179,179,1697295.271872242,6097080.651850524,0.466945455
180,180,1697503.646886132,6097074.465044905,0.947134685
181,181,1697620.708105294,6097057.679196059,0.838650008
182,182,1696260.703225223,6097076.165355071,0.672916123
183,183,1696362.21144463,6097060.500018827,5.532500097
184,184,1697473.508020176,6097049.293160945,0.661844436
185,185,1697547.029761323,6097117.051055503,0.893668231
186,186,1698586.455780097,6097037.239310274,3.50776
187,187,1697448.723999939,6097039.800974301,0.502535083
188,188,1697465.062062753,6097039.215868937,0.634327266
189,189,1696376.170314627,6097048.362891288,4.12248435
190,190,1696835.774503652,6097036.434121655,0.397607147
