OID,FID_,X,Y,BCE_Croisi
81,81,1662219.90363157,5454645.71212675,-0.110740006
82,82,1661643.846487749,5454555.653451649,-0.137291153
83,83,1661620.802537058,5454536.302381416,-0.026885693
84,84,1660933.438224785,5454524.002462505,0.525767442
85,85,1660999.565113164,5454528.064714072,-0.20875617
86,86,1660884.197962669,5454502.61942906,-0.062307687
87,87,1661112.581473379,5454499.048127673,-0.796437521
88,88,1661171.502680025,5454489.799857632,-0.339592835
89,89,1661250.758012016,5454489.137878798,-0.330141498
90,90,1661345.335678709,5454469.803155617,-9999.0
91,91,1661518.141448441,5454479.005568872,-0.111551684
92,92,1661567.467154281,5454458.896029317,0.489594598
93,93,1661364.541535467,5454428.362613624,-9999.0
94,94,1661385.781336971,5454409.120814294,1.199877206
95,95,1660743.711157899,5454333.794034865,0.730890421
96,96,1660735.765569303,5454324.779252785,1.163461543
97,97,1650838.556142822,5454364.566270474,2.142530829
98,98,1660583.80257252,5454165.581175164,0.547850009
99,99,1650803.284485572,5454209.46654384,1.459918915
100,100,1650795.556149706,5454145.305854609,1.706142856
101,101,1651230.90458359,5453877.391867195,-0.098462412
102,102,1651392.227158255,5453807.558348606,-0.821897412
103,103,1651417.795491327,5453806.803453255,-0.81573331
104,104,1651410.178207377,5453796.884379514,-0.563269266
105,105,1660730.332048579,5453593.737548934,0.568090916
106,106,1660722.423680711,5453586.743671377,0.199979591
107,107,1660755.525384535,5453590.924738042,0.608401663
108,108,1660716.358322918,5453566.653504927,0.221609469
109,109,1660493.401870096,5453525.319893218,-0.115192712
110,110,1660659.681777634,5453500.655565607,0.277135298
