FID,X,Y,BCE_Manukau_Harbour_System_MHS__Seagrass
160,1755658.218877497827634,5911135.706713397055864,-0.117666672000000
161,1755968.055342498701066,5911136.028536670841277,
162,1755119.131212594453245,5911141.012508020736277,-0.236147434000000
163,1759102.369173912564293,5911067.155023637227714,
164,1761448.521368765039369,5911023.599519872106612,-0.961920646000000
165,1751002.298707763664424,5911205.712938383221626,
166,1755134.309490819228813,5911131.335988983511925,-0.285962267000000
167,1755742.512003223411739,5911126.720389544963837,-0.323306810000000
168,1755771.082407744135708,5911124.982842672616243,-0.543497615000000
169,1752511.591426689643413,5911215.624135404825211,0.509168753000000
170,1755462.463107740739360,5911112.648112692870200,-0.651590894000000
171,1755423.500919752055779,5911101.290934191085398,-0.395384637000000
172,1750005.958663936238736,5911191.110855525359511,-0.516453337000000
173,1750029.287493942538276,5911191.862084542401135,-0.144749999000000
174,1750123.616264267824590,5911187.637024518102407,-0.689595234000000
175,1752493.328937028767541,5911148.768797170370817,-0.144092596000000
176,1758746.558266533538699,5911032.749559990130365,
177,1758906.296170639572665,5911026.397718219086528,
178,1749936.800133293960243,5911179.218556059524417,
179,1751465.636044184211642,5911157.580441737547517,
180,1755200.819684523623437,5911088.953063863329589,-0.256934304000000
181,1759110.262735899537802,5911030.434236270375550,
182,1761283.940120870713145,5910981.112482812255621,-0.247575749000000
183,1761310.114996921969578,5910975.840967160649598,0.005600002000000
184,1752535.762621125206351,5911141.765140313655138,-0.111141766000000
185,1758018.024008377455175,5911061.837796629406512,
186,1756166.673581124283373,5911089.948499452322721,
187,1759141.491753714159131,5910996.832552719861269,
188,1755244.928104209480807,5911059.037086007185280,-0.007365073000000
189,1759100.874833786860108,5910987.422623525373638,
190,1752588.144625609274954,5911096.561637138947845,0.363701496000000
191,1758373.456356126815081,5911004.062519058585167,
192,1752566.299364770064130,5911102.382640146650374,-0.160419436000000
193,1752588.221436016960070,5911066.903990075923502,-0.280236364000000
194,1762694.511490249307826,5910878.489561954513192,0.218356717000000
195,1749748.767756385263056,5911104.190143881365657,-0.083555553000000
196,1751334.937818817561492,5911070.606929311528802,-0.848752681000000
197,1751444.885654605692253,5911068.380059552378953,-0.965846183000000
198,1751455.679289154941216,5911048.092529161833227,-0.911907402000000
199,1761586.817300897790119,5910876.530680197291076,-0.101934183000000
200,1754934.938240953255445,5910975.412096265703440,
201,1749710.034142513526604,5911065.556829035282135,-0.604526731000000
202,1751231.889661908382550,5911044.140490945428610,-0.609659396000000
203,1752613.331581552978605,5911028.615536592900753,-0.566650805000000
204,1754923.031188911758363,5910964.796341805718839,
205,1762641.834238886134699,5910821.778780213557184,0.217560980000000
206,1757171.200858561554924,5910903.931314476765692,
207,1751483.801402256591246,5911007.443545388989151,-0.875444820000000
208,1752642.004102373961359,5910980.831450317986310,-0.755666643000000
209,1754866.195089181186631,5910940.545448771677911,
210,1757272.659377734875306,5910901.746841154992580,
211,1749664.433812332572415,5911039.074386894702911,-0.324688519000000
212,1752674.126447224756703,5910965.674006091430783,-0.867999971000000
213,1754757.291317870840430,5910923.812458572909236,-0.971999943000000
214,1761592.332779202610254,5910819.606332823634148,-0.018238003000000
215,1751116.545122536364943,5911007.593513246625662,-0.496468779000000
216,1752682.109929526690394,5910956.473435489460826,
217,1754602.259644326753914,5910920.996994176879525,0.036675328000000
218,1757158.665514009539038,5910884.022320359945297,
219,1760010.583201637491584,5910820.973600549623370,
220,1754543.605113286292180,5910919.769302488304675,-0.206241178000000
221,1754740.430752045242116,5910909.423736244440079,-0.620860604000000
222,1757126.287186882225797,5910864.331330875866115,
223,1749595.106185132870451,5910988.599387717433274,-0.570206876000000
224,1751513.369833758799359,5910967.568114489316940,-0.878536879000000
225,1752921.442612075014040,5910931.038268624804914,-0.520555548000000
226,1754464.601198124466464,5910902.823272380977869,-0.484931669000000
227,1754634.464638462290168,5910901.080114898271859,-0.276111098000000
228,1757154.111606643768027,5910854.196795555762947,
229,1762577.336900044698268,5910763.034159901551902,0.198262716000000
230,1750317.816087933490053,5910968.622083974070847,-0.742824086000000
231,1750376.287935645086691,5910971.582922255620360,-0.599959899000000
232,1751058.723028862150386,5910955.625557425431907,-0.336403732000000
233,1752738.150710937101394,5910924.833525033667684,-0.437163637000000
234,1755673.645106167998165,5910871.707880327478051,
235,1757181.496749567333609,5910843.135657038539648,
236,1757246.974864096380770,5910915.380658999085426,
237,1759298.393650023499504,5910819.213053106330335,0.210401385000000
238,1749582.129413943737745,5910970.744825101457536,-0.616916636000000
239,1752745.401693877298385,5910915.460335589945316,-0.768222188000000
240,1752968.917711617890745,5910910.519659277983010,-0.609288443000000
241,1753726.565869100857526,5910925.597496422007680,0.591253195000000
242,1757229.071501237340271,5910831.726413068361580,
243,1759561.792059715371579,5910789.541223106905818,
244,1762594.320255805272609,5910736.778905825689435,0.240687501000000
245,1749570.208771427860484,5910959.585179281421006,-0.702232545000000
246,1753037.267873106291518,5910897.365147247910500,0.295114944000000
247,1754426.184120192890987,5910890.120262981392443,-0.397222222000000
248,1762520.411333861295134,5910742.886413081549108,0.283171644000000
249,1751080.750701308017597,5910924.786095766350627,-0.245178572000000
