OID,FID_,X,Y,BCE_Wellin
119,119,1751618.927580027,5424810.901016121,0.765709703
120,120,1753076.979028472,5424352.379615943,0.817400035
121,121,1756500.860253944,5423400.39864737,-9999.0
122,122,1756477.875726345,5423380.938077696,-9999.0
123,123,1753905.604158829,5423390.824539204,-9999.0
124,124,1756411.117141377,5423257.755348254,-9999.0
125,125,1753899.415453444,5423271.580707451,0.690545462
126,126,1756344.911223057,5423144.330354187,-9999.0
127,127,1756293.037156343,5423103.331933614,0.423904761
128,128,1753854.325480536,5423111.959659137,-9999.0
129,129,1756189.273281042,5423044.842167505,-0.129647059
130,130,1756165.815017588,5423028.241766497,0.334678349
131,131,1753868.5153506,5423071.747366622,0.871333381
132,132,1753849.747933623,5423052.627816481,0.126545475
133,133,1753825.250001868,5422973.769211938,-9999.0
134,134,1753200.108380054,5422840.929711988,0.486190503
135,135,1753798.896629877,5422809.369800295,0.334866693
136,136,1755866.043735116,5422765.552250231,-9999.0
137,137,1753175.552022612,5422791.859177077,0.167216397
138,138,1753129.267845585,5422740.811564532,0.129605131
139,139,1752871.954641533,5422709.225400715,-9999.0
140,140,1753094.133071999,5422705.275823241,0.145784319
141,141,1752912.925720443,5422705.051054913,0.522000015
142,142,1752934.736029752,5422687.481325611,0.416058154
143,143,1753046.795166381,5422673.282306613,0.169864023
144,144,1752998.280114406,5422647.703155915,0.028669433
145,145,1752827.389575809,5422618.619373899,-9999.0
146,146,1752813.665319135,5422600.70360614,-0.158999977
147,147,1752821.122321463,5422590.360891854,-0.557999976
148,148,1752808.816907345,5422572.931659139,0.086666689
149,149,1752821.20237485,5422506.681029141,-0.124818156
150,150,1752821.775622949,5422431.494645685,-9999.0
151,151,1752761.024082073,5422422.21137138,0.039697369
152,152,1752719.260469151,5422403.134833737,0.2512
153,153,1752700.259249121,5422384.175781476,0.179373598
154,154,1752674.648674642,5422367.820905073,-0.044591822
155,155,1755550.533476223,5422301.005756589,-9999.0
156,156,1755525.383607166,5422288.966949717,-9999.0
157,157,1752655.697211645,5422313.741553453,-0.472499975
158,158,1752670.173448095,5422292.063709462,-9999.0
159,159,1752693.411495772,5422254.219574762,-9999.0
160,160,1752710.675771304,5422233.293754961,-9999.0
161,161,1752687.128022992,5422175.41538344,-0.091877143
162,162,1752687.899265614,5422144.956438099,-9999.0
163,163,1755391.290765826,5421982.210277438,-9999.0
164,164,1752674.37795675,5421949.996812912,-0.188666653
165,165,1752672.680584665,5421841.053187842,-0.247874995
166,166,1752606.515863841,5421789.637167635,-0.138726255
167,167,1755394.133919443,5421649.243844179,-9999.0
168,168,1755376.515718729,5421628.332286716,-9999.0
169,169,1752545.245298187,5421614.131429783,0.516909115
170,170,1752411.48785541,5421435.448875081,0.086315813
171,171,1752398.302953897,5421412.735997352,-0.341249967
172,172,1752385.534537514,5421392.409332552,0.082592615
173,173,1754705.646544906,5419994.513567247,-0.163058542
174,174,1754589.261641056,5419819.367212324,-9999.0
