OID,FID_,X,Y,BCE_Waitem
223,223,1745651.657490849,5930466.565011623,-0.079870469
224,224,1749694.023654602,5930389.366888244,0.720374992
225,225,1742549.189911247,5930496.756552248,-0.232500002
226,226,1745499.82778066,5930467.2395802,3.818368247
227,227,1745628.640168156,5930456.515769509,1.355954183
228,228,1742533.509794313,5930488.201877395,0.051176489
229,229,1742597.875948681,5930497.632849229,0.464696626
230,230,1742693.280284766,5930489.231735231,-0.835675658
231,231,1742845.922150099,5930505.493707648,0.2440801
232,232,1742975.178289375,5930499.245779394,-0.003132984
233,233,1749701.693210384,5930369.294125705,0.806125008
234,234,1742540.916459497,5930481.605366343,0.170909094
235,235,1745657.576233649,5930440.559481749,0.538562785
236,236,1749709.537381317,5930359.187478299,0.849024406
237,237,1742503.999553648,5930467.957033237,0.560000002
238,238,1742524.542143006,5930471.384079278,0.436666676
239,239,1742588.703980064,5930471.040294906,0.703750001
240,240,1742973.602395394,5930464.60733295,0.510124998
241,241,1749717.38153326,5930349.08082296,0.893875021
242,242,1742532.418828748,5930462.737663318,1.156862735
243,243,1742708.818228083,5930459.065846108,0.464285724
244,244,1742732.957761134,5930463.646530991,-9999.0
245,245,1745652.500073393,5930409.55355334,1.441363645
246,246,1749725.238402748,5930339.700855583,0.848518519
247,247,1749741.088567702,5930328.726934027,0.846624988
248,248,1742717.095562102,5930439.638023691,0.695468741
249,249,1749748.932653429,5930318.62024723,0.839249994
250,250,1742724.356137702,5930428.899887818,0.666874994
251,251,1742746.319347705,5930435.749718955,-0.541630403
252,252,1749756.776720168,5930308.513552497,0.817341761
253,253,1742756.264463838,5930418.397876881,-0.092749995
254,254,1742923.172889612,5930426.386884555,0.19704044
255,255,1745661.205677573,5930378.560453912,1.772191774
256,256,1745683.459574351,5930390.912060665,-0.215929809
257,257,1748821.697021304,5930300.219066774,0.442000002
258,258,1749764.53340702,5930293.423789965,0.754968554
259,259,1745666.708265238,5930349.328289118,0.260999995
260,260,1742964.249414482,5930385.013395772,0.837500016
261,261,1745678.56634475,5930339.157120156,-0.397543857
262,262,1749772.202699284,5930273.35095341,0.639562511
263,263,1742915.97096733,5930375.852072652,0.616750008
264,264,1748835.13925347,5930285.781293399,0.065575429
265,265,1745674.217196404,5930319.293167851,-0.528113214
266,266,1745890.720965465,5930315.598638201,0.543749988
267,267,1742971.76769733,5930354.981080154,0.874249978
268,268,1745876.730855543,5930318.329801248,0.261962617
269,269,1749787.628543407,5930238.188314961,0.465249997
270,270,1742979.631652125,5930345.607608884,0.847962972
271,271,1745818.225173586,5930297.625392555,0.607272715
