OID,FID_,X,Y,BCE_Kawhia
184,184,1763525.95785263,5786450.719399027,0.055436364
185,185,1763505.783020686,5786442.034660146,0.053504674
186,186,1767220.048224034,5786413.589290348,-0.407622983
187,187,1767301.450335148,5786364.34571487,0.510479995
188,188,1763494.029640216,5786431.415044469,0.031982456
189,189,1760534.611484789,5786490.801699284,0.470475807
190,190,1767167.478219257,5786342.733910157,-0.81400001
191,191,1764946.647743308,5786382.198812778,0.305189444
192,192,1767284.303881991,5786305.069606334,0.483563634
193,193,1763435.170910914,5786380.577529575,-0.162476463
194,194,1767145.902162206,5786304.727222753,-0.81400001
195,195,1760529.166136516,5786420.73939262,0.408125
196,196,1766949.36936834,5786291.514959871,2.294626165
197,197,1763378.224542534,5786359.66234578,-0.175895218
198,198,1764911.01335228,5786334.843030257,-0.1590051
199,199,1767128.527886988,5786285.358971294,-0.81400001
200,200,1766853.637104965,5786274.472683918,0.723863631
201,201,1767114.609340912,5786267.776716077,-0.810309102
202,202,1766842.042667019,5786264.062307376,0.677849987
203,203,1766929.120576272,5786269.648855393,0.592648394
204,204,1766833.956831086,5786254.255448033,0.643749999
205,205,1760512.241883791,5786376.198076786,0.497119272
206,206,1763305.376015119,5786328.590991383,-0.248621835
207,207,1765801.196782295,5786264.627054139,0.727584898
208,208,1767076.283143935,5786245.181287589,0.030075861
209,209,1762640.166781292,5786324.048510253,0.504017858
210,210,1763240.638220706,5786307.787227711,-0.288407649
211,211,1765789.185999327,5786255.625828072,0.674031447
212,212,1760511.453458566,5786351.283531694,0.52809258
213,213,1765769.278192383,5786246.05831309,0.611787497
214,214,1765386.800680028,5786243.854807126,0.432693746
215,215,1765406.520309608,5786244.181856757,0.412333333
216,216,1765875.481905149,5786233.925349571,0.726726665
217,217,1766810.698298981,5786229.914125448,0.569763974
218,218,1765429.794256258,5786233.217658529,0.230648146
219,219,1767339.032081218,5786204.044748176,1.272147496
220,220,1765517.215891752,5786232.73046606,0.191617068
221,221,1765713.750821216,5786217.100149268,0.605394735
222,222,1765742.739851048,5786232.123795449,0.553418571
223,223,1765303.534819963,5786220.612517152,0.753727275
224,224,1765347.018659521,5786230.540204916,0.833727658
225,225,1766742.888216021,5786211.596378366,0.880150037
226,226,1767337.30598007,5786174.356951771,0.53757143
227,227,1765145.438597176,5786209.065804944,0.351207543
228,228,1766714.219608283,5786176.812410736,0.6951579
229,229,1762622.945308081,5786229.447499036,0.439333327
230,230,1767331.020130107,5786140.091953674,0.60136527
231,231,1767320.760700022,5786124.606305717,0.456509812
232,232,1765286.558379835,5786161.121625428,0.423389617
233,233,1762606.585055608,5786199.856902877,0.39784905
234,234,1760508.901785149,5786221.695330442,0.798659992
235,235,1762598.313835632,5786180.492763487,0.185283017
236,236,1766703.003654805,5786120.704514362,0.565681204
237,237,1767059.061824009,5786080.110357604,0.439137497
238,238,1767153.644024839,5786078.171868732,1.359835422
239,239,1765261.510619418,5786113.385766693,0.582069043
240,240,1766901.065976311,5786073.58263759,-0.424763641
241,241,1762576.151018426,5786158.713222885,0.000877863
242,242,1761818.327631466,5786156.64438517,0.770613927
243,243,1762525.06381972,5786142.381250518,0.164858757
244,244,1761793.063081928,5786146.65424071,0.764090888
