OID,FID_,X,Y,BCE_Whitia
121,121,1838859.756870655,5919063.483830846,-0.258574076
122,122,1839813.463489208,5919031.822714825,-0.338028776
123,123,1841509.075322679,5918980.811805267,-0.155655172
124,124,1838794.149066037,5919081.89952768,-0.213829225
125,125,1838764.698235027,5919036.167710763,-0.218477268
126,126,1839844.32361629,5919011.06479104,-0.109775931
127,127,1839868.18786557,5919005.367012345,0.222849999
128,128,1840878.704112646,5918967.637239065,-0.725472058
129,129,1841327.355180575,5918954.931259546,-0.73815002
130,130,1839731.017371623,5918979.541281342,-0.353654544
131,131,1839799.429979604,5918968.021691859,-0.372242992
132,132,1839897.06585219,5918968.399931598,-0.039965329
133,133,1840481.582425188,5918947.305412224,0.219749999
134,134,1840623.748579483,5918944.84079087,-0.323183492
135,135,1840602.85081451,5918938.403842571,-0.312227395
136,136,1838763.59300031,5918982.831321455,-0.222060772
137,137,1839914.742673699,5918949.224219724,0.193590065
138,138,1840539.061047032,5918916.844483662,-0.321872734
139,139,1839981.857447231,5918912.416311556,-0.174496855
140,140,1840017.929812316,5918912.126804732,-0.386416666
141,141,1840083.027219541,5918906.446125755,-0.327974016
142,142,1840125.644736333,5918901.398486072,-0.154708627
143,143,1840181.232197676,5918900.561059782,0.163600001
144,144,1838917.558048151,5918903.175355865,-0.234085563
145,145,1839015.329631296,5918898.975905983,-0.2680204
146,146,1838741.45413782,5918905.371088167,-0.183720933
147,147,1839247.423170066,5918883.935130774,-0.319666657
148,148,1839036.45341398,5918879.051420517,-0.192199997
149,149,1841240.136844559,5918823.182425009,-0.754986391
150,150,1838862.309774561,5918862.211529564,-0.212143646
151,151,1840080.494336531,5918810.614761615,-0.630416157
152,152,1841289.342797573,5918790.661023258,-0.148875
153,153,1838773.643265094,5918841.11558851,-0.24255555
154,154,1838738.926053781,5918851.235525756,-0.218254748
155,155,1838788.094213413,5918820.719172638,-0.212709098
156,156,1839793.177481301,5918794.268580609,-0.361122276
157,157,1838772.371596981,5918806.559931136,-0.201945458
158,158,1839055.101902188,5918821.870530638,-0.178736623
159,159,1841212.114138702,5918738.565089616,-0.727092605
160,160,1838833.455309097,5918801.328143083,-0.230545963
161,161,1838709.391532942,5918784.215772106,-0.097292282
162,162,1838818.476711619,5918776.93386913,-0.21322449
163,163,1841303.105282115,5918710.461300466,-0.092911395
164,164,1838633.219606228,5918763.194594311,-0.165352457
165,165,1838794.014321379,5918762.350542821,-0.206873782
166,166,1840434.86355645,5918711.114166319,-0.681679907
167,167,1838773.039534944,5918749.627773271,-0.214861535
168,168,1838994.154888545,5918766.37917641,-0.214144402
169,169,1839475.421644071,5918726.138624905,-0.318944436
170,170,1838655.827232842,5918746.06255816,-0.175984847
171,171,1838722.184382593,5918741.368978727,-0.256088687
172,172,1839344.499909831,5918713.73393986,-0.331340905
173,173,1839391.090521357,5918718.378215532,-0.356999993
174,174,1839430.905195481,5918708.457135291,-0.113477986
175,175,1840676.505350799,5918673.532479344,-0.662200026
176,176,1841149.174407105,5918660.155561273,-0.714218192
177,177,1839649.121893878,5918693.218918844,-0.313678785
178,178,1838953.505231814,5918709.134124745,-0.190803278
179,179,1839751.341484345,5918669.649631736,-0.278239098
180,180,1839795.453130235,5918651.90792468,-0.151142843
181,181,1840514.870464637,5918628.220190052,-0.768785711
182,182,1839184.859979822,5918654.790441509,-0.201519226
183,183,1839866.385274866,5918647.726124703,-0.271987372
184,184,1839132.091345524,5918611.568624955,-0.194999993
185,185,1838914.131164207,5918639.98614704,-0.119671428
186,186,1839117.632174707,5918600.170714245,-0.199148144
187,187,1838887.192976674,5918575.016178966,-0.155917677
188,188,1839067.357902245,5918552.408143637,-0.201363642
189,189,1839929.991791606,5918569.918928064,-0.343550634
190,190,1838084.429007083,5918577.841270968,-0.324464283
191,191,1838864.886090845,5918543.400138569,-0.056439284
192,192,1839901.980994128,5918496.399889363,-0.23869091
193,193,1841207.662317347,5918454.721223381,-0.461666673
