OID,FID_,X,Y,BCE_Coroma
116,116,1823457.557110954,5925894.71698904,0.058121496
117,117,1819208.31647337,5925981.792786556,-0.923112499
118,118,1822313.630729315,5925899.882473464,-0.899999976
119,119,1818854.090375955,5925964.951683488,-0.963
120,120,1818733.576792964,5925958.067939564,-0.963
121,121,1818841.641947344,5925955.095574794,-0.963
122,122,1819248.402273773,5925942.100939986,-0.963
123,123,1822676.908864262,5925863.185823209,-0.718452708
124,124,1822361.702169091,5925869.616069787,-0.899999976
125,125,1822443.044772934,5925844.326188025,-0.899999976
126,126,1822412.883272609,5925823.63710419,-0.899999976
127,127,1822432.331769313,5925822.746964894,-0.899999976
128,128,1822310.773817061,5925790.238512802,-0.899999976
129,129,1819259.893974932,5925834.843625318,-0.963
130,130,1819255.052202231,5925815.441177454,-0.925571428
131,131,1822229.450193771,5925739.810863298,-0.899999976
132,132,1818300.959212197,5925824.523786349,-0.663256051
133,133,1818444.942673178,5925813.587287942,-0.102500023
134,134,1819294.946348159,5925794.045876708,-0.963
135,135,1822295.845904833,5925720.663803013,-0.899999976
136,136,1823349.898555491,5925695.705300685,-0.002030357
137,137,1822302.382702792,5925693.740630522,-0.899999976
138,138,1818283.554947444,5925763.93731591,-0.963
139,139,1818451.101544943,5925759.77374562,-0.858395348
140,140,1819284.879332592,5925714.511890588,-0.963
141,141,1823045.031120217,5925617.236720551,-0.361290905
142,142,1822548.839430237,5925620.759281956,-0.838608681
143,143,1823037.170988884,5925607.266438941,-0.311345446
144,144,1823044.499410713,5925596.899073729,-0.295672723
145,145,1822672.332056155,5925640.208599443,-0.658359419
146,146,1823364.353882632,5925584.296341529,0.304317071
147,147,1818712.547555927,5925689.323231089,-0.963
148,148,1819251.78686878,5925675.465729306,-0.963
149,149,1823215.185792429,5925582.112384518,-0.012232139
150,150,1822799.480260138,5925574.163776243,-0.469871568
151,151,1818495.22434581,5925672.963193892,0.171523815
152,152,1819173.109773972,5925657.538681352,-0.643408807
153,153,1818721.646350089,5925649.176995935,-0.963
154,154,1819205.628083954,5925648.012847722,-0.65748996
155,155,1818713.374213349,5925639.414677568,-0.866835442
156,156,1818188.012677697,5925642.89332555,-0.516537492
157,157,1818488.773645317,5925640.18265658,-0.960712499
158,158,1822777.541721245,5925524.481333532,-0.377714276
159,159,1818509.649492743,5925631.103764114,-0.019776738
160,160,1822351.863586097,5925505.663422312,-0.899999976
161,161,1822724.967719538,5925502.476446111,-0.498875446
162,162,1822843.68929118,5925530.119897251,-0.341864611
163,163,1818511.985556749,5925596.81397864,-0.788327493
164,164,1822415.479253415,5925484.056288467,-0.899999976
165,165,1822848.381993265,5925472.356278888,-0.255962967
166,166,1818145.634919863,5925554.210075672,-0.963
167,167,1818165.676890189,5925553.697566959,-0.963
168,168,1822391.807667563,5925458.734721146,-0.899999976
