OID,FID_,X,Y,BCE_Kaipar
238,238,1709586.490287037,6002244.957284933,1.102172424
239,239,1713013.572227774,6002195.900162191,1.341509428
240,240,1713029.851529872,6002200.108416028,-0.615547153
241,241,1707759.256498242,6002251.968631841,1.109621628
242,242,1723112.449495813,6002055.428722591,1.014999988
243,243,1723349.784413614,6002077.085280436,-0.105025611
244,244,1710006.376313147,6002214.308095512,0.519899994
245,245,1713029.913195255,6002175.957684002,-0.556555511
246,246,1707597.037365547,6002239.215390687,1.743515734
247,247,1709594.054842349,6002219.48439078,0.47687983
248,248,1723119.969178167,6002034.789059071,1.040136366
249,249,1723330.589215431,6002026.602774162,-0.547269235
250,250,1707590.278810947,6002223.514342152,1.876530606
251,251,1712843.706412222,6002158.42968076,1.384163659
252,252,1713085.883007716,6002155.569931364,3.946944396
253,253,1707615.024896804,6002220.712865829,1.556019351
254,254,1723127.007801249,6002009.537859626,1.151901963
255,255,1723305.303759913,6002007.227082071,0.546500009
256,256,1707633.019107035,6002203.973086627,1.469143741
257,257,1707734.392040545,6002202.376569394,1.234464746
258,258,1712690.512649147,6002146.421195401,1.002354549
259,259,1707591.490280466,6002202.970128439,1.667143955
260,260,1709601.293434598,6002174.546293337,0.479749998
261,261,1712867.214066364,6002246.908500059,1.299349655
262,262,1713546.87603363,6002119.198976968,1.552924988
263,263,1707789.106816531,6002200.540295226,1.359624068
264,264,1712689.582652525,6002120.551995189,0.722732136
265,265,1713536.043611774,6002108.880424267,1.557175588
266,266,1707626.465972653,6002181.37068938,1.463686634
267,267,1707689.693538161,6002172.715619848,1.20316364
268,268,1723134.531468623,6001969.565225407,0.904509816
269,269,1723321.061683706,6001966.21006556,0.564555546
270,270,1707636.817098018,6002164.390288564,1.844554041
271,271,1707660.514270809,6002180.002832002,1.352599989
272,272,1707741.51054371,6002162.974382099,-0.377407369
273,273,1713046.251612527,6002155.740481437,0.790259742
274,274,1713523.721531676,6002089.055539798,1.55002221
275,275,1707677.03212726,6002153.400165861,1.248368385
276,276,1712826.317779398,6002093.107947879,2.95495145
277,277,1713570.251825233,6002079.594715359,2.614742858
278,278,1707645.184126097,6002154.643748364,1.313470574
279,279,1709553.429108739,6002119.552382263,1.3559259
280,280,1712764.40172563,6002090.860132148,0.859058697
281,281,1723265.369005728,6001961.720635309,0.573387065
282,282,1707768.152847699,6002148.255292106,1.355849693
283,283,1709609.440135948,6002109.664639381,-0.217750005
284,284,1713038.085414291,6002078.228158822,-0.252500013
285,285,1723232.166660075,6001928.323306223,0.396142851
286,286,1723332.44708452,6001936.313511043,1.334118992
