OID,FID_,X,Y,BCE_Manaia
116,116,1818059.366283219,5918893.714063285,0.85667502
117,117,1818151.039509203,5918882.223189321,0.362046157
118,118,1818179.270614341,5918882.605514954,0.330652174
119,119,1818275.394746287,5918878.203260495,0.135098765
120,120,1816256.243998492,5918909.79040128,-0.434524985
121,121,1818298.915050685,5918857.651754568,0.1687
122,122,1818526.04316218,5918853.526083631,0.46041347
123,123,1818089.182076263,5918883.157914629,0.881092922
124,124,1818314.680403127,5918847.273254428,0.174099998
125,125,1818611.068476715,5918839.666687836,0.728649991
126,126,1817665.576684474,5918853.921772106,-0.336500026
127,127,1818334.806820828,5918837.029326947,0.209157893
128,128,1818466.398245149,5918834.765668192,0.43532076
129,129,1818353.881899763,5918826.671131144,0.334571424
130,130,1818391.840890459,5918829.678820657,0.232499994
131,131,1819002.813392987,5918799.674281429,0.923512498
132,132,1818994.658512281,5918791.098400131,0.941491813
133,133,1816251.21150218,5918862.107690499,-0.398455872
134,134,1817652.749387444,5918823.651804882,0.037511903
135,135,1816254.199541881,5918829.32295194,-0.3663269
136,136,1816261.975297124,5918819.878721713,-0.746824978
137,137,1817638.260157936,5918796.770676363,0.161363635
138,138,1817619.55807612,5918770.028115387,0.017999984
139,139,1816269.225949115,5918789.772196024,-0.838799975
140,140,1817598.002460346,5918746.750753053,-0.306915257
141,141,1816260.202788725,5918750.105498959,0.273650011
142,142,1819439.707216846,5918641.230743442,1.03039535
143,143,1816283.201850989,5918708.897874625,-0.898319976
144,144,1816307.251219494,5918709.013938135,-0.899999976
145,145,1816640.411430265,5918713.10809678,-0.826750618
146,146,1816769.646360097,5918697.250881882,-0.899999976
147,147,1819798.772801945,5918619.109667103,1.192631996
148,148,1816708.01832901,5918680.783246984,0.018918918
149,149,1816630.897200907,5918670.510489646,0.072500006
150,150,1816765.30990083,5918674.858801749,-0.710033885
151,151,1816290.597384782,5918684.502191035,-0.458553791
152,152,1816610.551890723,5918661.53046269,-0.17636
153,153,1816786.93070823,5918657.033864884,-0.681230749
154,154,1819576.944495621,5919119.85017008,0.757551133
155,155,1816593.934800155,5918653.338188921,-0.237999994
156,156,1816810.628935887,5918646.336832709,-0.898518495
157,157,1816822.390376052,5918636.063171125,-0.854881964
158,158,1816561.323160991,5918634.481904354,0.107823525
159,159,1816293.218329453,5918629.929106403,0.170385967
160,160,1816846.523297474,5918618.492397265,-0.788367479
161,161,1816937.385224953,5918593.996423811,-0.740473664
162,162,1817001.095698039,5918571.664583538,-0.731637478
163,163,1817270.745447184,5918569.154582625,-0.544499964
164,164,1817016.861895916,5918561.288528818,-0.573399981
