OID,FID_,X,Y,BCE_Bluesk
122,122,1411895.857584495,4930895.830530276,-0.164928569
123,123,1411903.448400577,4930876.081425563,-0.219471422
124,124,1411917.724213161,4930866.523905229,0.044600003
125,125,1411793.341666354,4930991.06054148,0.387955974
126,126,1411931.142680094,4930850.253310408,-0.048525221
127,127,1412016.0454011,4930826.047493787,0.028111114
128,128,1412044.663657718,4930807.62623174,-0.031724148
129,129,1412073.316592454,4930788.832454339,0.244277774
130,130,1411927.123218058,4930771.340138661,0.672333347
131,131,1412095.223930745,4930771.645407859,0.025187499
132,132,1412109.327711727,4930761.605858834,0.291491233
133,133,1411899.877107947,4930746.111538545,0.523869563
134,134,1412116.96700395,4930752.658848738,0.343999996
135,135,1412131.554507848,4930733.137543867,0.008485714
136,136,1412146.131176043,4930713.599276975,-0.10844927
137,137,1411705.736737271,4930691.225127016,0.202860005
138,138,1411726.295022095,4930731.840808693,0.352966535
139,139,1411884.630782003,4930754.076783738,0.566082903
140,140,1412169.795356956,4930639.913304335,0.309764546
141,141,1412181.590176595,4930611.953230296,0.199000007
142,142,1412195.131059358,4930575.674249196,0.692072456
143,143,1412035.384359104,4930470.258030637,0.487717839
