OID,FID_,X,Y,BCE_Croisi
140,140,1661551.349459148,5455983.26647101,-9999.0
141,141,1660685.221615129,5455979.196430393,-9999.0
142,142,1660711.897669851,5455979.761228933,-9999.0
143,143,1663555.338796314,5455965.205335201,-0.760250028
144,144,1663659.334650113,5455978.06448577,-0.826847457
145,145,1661642.979236592,5455967.915143219,-9999.0
146,146,1661670.770956944,5455961.58232284,-9999.0
147,147,1663518.425471798,5455945.884043759,-0.666567922
148,148,1660728.475326146,5455952.709998803,-9999.0
149,149,1662109.032166117,5455937.937849011,-0.681181816
150,150,1660694.045866501,5455943.087573624,-9999.0
151,151,1661368.99084042,5455972.460517904,-9999.0
152,152,1660774.439106065,5455966.804431809,-0.303455176
153,153,1663496.118962283,5455905.296992731,-9999.0
154,154,1660718.937410114,5455899.716747724,-9999.0
155,155,1661571.888738438,5455892.808682733,-9999.0
156,156,1660831.014246417,5455894.422413207,-0.496125005
157,157,1660665.797760562,5455932.934975138,-9999.0
158,158,1661398.081488666,5455874.320618537,-9999.0
159,159,1660693.540956521,5455877.921306895,-9999.0
160,160,1661326.750512305,5455901.953923317,-0.836103485
161,161,1661440.074131116,5455864.372723361,-9999.0
162,162,1661485.371405387,5455863.993034963,-9999.0
163,163,1663401.983790128,5455842.393902821,-9999.0
164,164,1663944.778420049,5455989.058449212,-0.616554455
165,165,1660673.309914304,5455860.203585402,-9999.0
166,166,1660893.011800136,5455853.264000219,-9999.0
167,167,1661348.993170457,5455854.581510901,-9999.0
168,168,1662107.805930502,5455858.166152437,0.27188645
169,169,1663527.028454977,5455835.306308524,-9999.0
170,170,1664055.502671785,5455831.437504122,-0.308070419
171,171,1661570.807291407,5455856.561867008,-9999.0
172,172,1661609.368337254,5455842.425684951,-9999.0
173,173,1662696.424263376,5455832.055184151,0.342785714
174,174,1663379.652966564,5455826.531063866,-9999.0
175,175,1661517.056074857,5455834.101247256,-9999.0
176,176,1661586.636006095,5455832.643917569,-9999.0
177,177,1662115.102083963,5455828.186217311,-0.356866706
178,178,1663360.434906297,5455816.040583555,-9999.0
179,179,1661571.453240921,5455822.798690295,-9999.0
180,180,1662660.791355511,5455810.384930375,-9999.0
181,181,1662711.471282773,5455818.123616606,0.410657145
182,182,1664047.735370464,5455806.57336186,-0.214763165
183,183,1662479.64966841,5455801.314000922,-9999.0
184,184,1662502.803993313,5455809.339048586,-0.714714269
185,185,1662652.83677346,5455800.858382361,-9999.0
186,186,1661376.386534787,5455837.775612415,-9999.0
187,187,1663323.67084441,5455785.577134651,-9999.0
188,188,1660911.496646363,5455807.916292569,-0.658000027
189,189,1662471.843037465,5455793.144766373,-9999.0
190,190,1662620.636398677,5455778.810546272,-9999.0
191,191,1663307.867975733,5455768.938600426,-9999.0
192,192,1664003.567073226,5455777.252032465,-0.630009374
193,193,1662582.096198713,5455761.321523181,-9999.0
194,194,1661306.874414521,5455765.383762175,-9999.0
195,195,1662724.325380975,5455771.785751848,-0.178887466
196,196,1663975.492922786,5455747.367234403,-0.412358329
197,197,1663263.717817238,5455735.308301426,-9999.0
198,198,1661268.366721147,5455762.988402174,-9999.0
199,199,1663953.718320319,5455738.054882247,-0.295486063
200,200,1660957.232455808,5455750.736789137,-0.397881371
201,201,1661223.66040254,5455730.733327442,-9999.0
202,202,1660803.149357901,5455737.188281312,-9999.0
203,203,1660974.213208129,5455728.062253317,-0.23600003
204,204,1660996.488397337,5455724.579453959,-0.91866676
205,205,1661415.43111507,5455725.045352493,-9999.0
206,206,1662744.214733067,5455723.015615906,-0.113135151
207,207,1663935.881758924,5455715.810074174,-0.484291896
208,208,1661004.097766552,5455718.156499573,-0.950000018
209,209,1661401.092864701,5455713.861709874,-9999.0
210,210,1663240.697074365,5455702.367481086,-9999.0
211,211,1663914.619194506,5455693.047719039,-0.675892886
212,212,1660943.84983759,5455708.369251227,-9999.0
213,213,1661381.707775961,5455703.987986806,-9999.0
214,214,1662249.892785106,5455697.397354363,0.321025015
215,215,1662416.561713113,5455693.630498638,-9999.0
216,216,1662793.297785945,5455692.968155416,-0.870333304
217,217,1662823.620197286,5455692.469419429,0.559500005
218,218,1663218.40582665,5455685.951470549,-9999.0
219,219,1663891.881064159,5455682.924109616,-9999.0
220,220,1661033.44065204,5455703.514535123,-9999.0
221,221,1661415.602562284,5455694.460225366,-9999.0
222,222,1662400.347504755,5455683.77078837,-9999.0
223,223,1661366.448194183,5455684.899058586,-9999.0
224,224,1661381.553015003,5455685.501423968,-9999.0
225,225,1662236.202749504,5455692.396531581,-0.149967282
226,226,1662350.936403066,5455671.742229843,-9999.0
227,227,1662824.627427167,5455676.046625765,-0.068296885
228,228,1660815.111590691,5455679.724537292,-9999.0
229,229,1660869.517251985,5455695.225570234,-9999.0
230,230,1661085.554852226,5455674.245656298,-0.692157942
231,231,1661358.821482022,5455675.718956652,-9999.0
232,232,1662838.48833746,5455662.458276112,0.155844847
233,233,1663188.290293466,5455655.486741123,-9999.0
234,234,1660988.580714996,5455658.338235595,-9999.0
235,235,1661255.301882735,5455683.919931873,-9999.0
236,236,1662339.121777299,5455653.097560403,-0.704800043
237,237,1663165.387317399,5455636.208160357,-9999.0
238,238,1663855.986898121,5455649.61048633,-0.46167512
