OID,FID_,X,Y,BCE_Houhor
88,88,1612229.525994059,6148174.727678688,0.690770278
89,89,1612433.523915357,6147945.219263335,0.569891543
90,90,1612458.145239603,6147925.262496716,0.504729684
91,91,1612413.778253711,6147943.550980272,0.851194172
92,92,1612482.766456827,6147905.305663167,0.669975001
93,93,1612507.387567031,6147885.348762688,0.44861728
94,94,1613459.62117297,6147878.024854371,0.261595124
95,95,1613423.450050023,6147864.131481402,0.0154
96,96,1610716.183223532,6147857.660474063,3.999963583
97,97,1612820.139580915,6147860.840546464,1.172672901
98,98,1612499.473111854,6147863.873801847,0.29078837
99,99,1613234.437790117,6147834.520833367,-9999.0
100,100,1610844.546425817,6148000.419935718,0.658953353
101,101,1610697.545482968,6147843.2683728,0.20687825
102,102,1612537.898525729,6147822.787056442,0.210050678
103,103,1612802.394544733,6147822.681406721,0.258763991
104,104,1613160.465009091,6147814.703803611,-0.03115389
105,105,1613178.275888409,6147821.319385385,-0.212411809
106,106,1612786.62293467,6147805.270351657,0.108169781
107,107,1610765.429564359,6147758.055041367,-9999.0
108,108,1610832.566613331,6147749.73499641,-9999.0
109,109,1613583.456686995,6147724.432298451,0.110666665
110,110,1610873.945919807,6147692.611485264,-9999.0
111,111,1610888.563319311,6147668.98259362,-9999.0
112,112,1610896.695541095,6147598.513117241,-9999.0
113,113,1610923.534941501,6147522.661618497,-9999.0
114,114,1613813.578285822,6147375.429216318,0.617875819
115,115,1610994.986921526,6147349.353547843,-9999.0
116,116,1613807.465888007,6147352.194389543,0.209012559
117,117,1611003.190570236,6147339.382051897,-9999.0
118,118,1613819.765051308,6147340.147521316,5.079904872
119,119,1611011.388172673,6147324.429677002,-9999.0
120,120,1611019.585812504,6147309.477271961,-9999.0
121,121,1613809.297899816,6147318.061142179,1.430300489
122,122,1611027.789372175,6147299.50574279,-9999.0
123,123,1613796.427984882,6147296.489348762,0.157090906
124,124,1613804.583013372,6147260.917886577,1.054374922
125,125,1613790.855022806,6147232.678881883,0.122
126,126,1611134.494708981,6147219.683309468,-9999.0
127,127,1613767.552897524,6147216.111019854,-0.016745499
128,128,1611150.913568527,6147209.701697988,-9999.0
129,129,1613746.999308899,6147206.180147123,-9999.0
130,130,1613738.768932877,6147196.230762599,-9999.0
131,131,1613709.970260103,6147166.388649005,0.190739094
132,132,1613722.343563878,6147121.174336678,1.547548097
133,133,1611388.939340779,6147030.098803938,-9999.0
134,134,1611413.548069686,6147000.183125665,-9999.0
135,135,1611429.966207416,6146990.200989065,-9999.0
136,136,1611520.296623435,6146960.202833656,-9999.0
137,137,1612270.759488315,6146889.060376057,-9999.0
138,138,1613294.513845024,6146768.531528186,-9999.0
139,139,1613269.854267154,6146758.605495307,-0.209000051
140,140,1613228.735878643,6146728.779711881,-0.048000045
141,141,1613370.619999097,6146720.423589495,0.16568732
142,142,1613433.856018683,6146668.915728883,-0.063754386
143,143,1613466.826701539,6146629.544237546,-0.118491231
144,144,1613072.494113202,6146619.424765798,-9999.0
145,145,1613623.30282092,6146489.121163439,-9999.0
146,146,1612866.925093627,6146480.251342383,-9999.0
147,147,1614378.434872593,6146468.045450331,1.003633314
148,148,1614394.864480688,6146468.019688505,1.30031251
149,149,1614411.278441994,6146458.032198154,0.208999998
150,150,1613754.035183189,6146419.194112053,0.025596982
151,151,1612792.89457703,6146410.622882486,0.242706739
152,152,1613752.910995298,6146399.49273346,2.049569298
153,153,1613647.2062502,6146394.449348982,-9999.0
154,154,1613736.96054235,6146389.334523944,0.278245611
155,155,1612754.272779009,6146386.7978299,0.330193855
156,156,1612695.820700734,6146342.993421286,0.160473846
157,157,1612677.750450186,6146311.165542596,-0.040586239
158,158,1613647.058053025,6146294.832338137,-0.125769274
159,159,1613638.784188789,6146254.997695922,-9999.0
160,160,1613737.277474243,6146200.061286306,0.1351
161,161,1613724.910912888,6146170.194653014,0.13090909
162,162,1613610.377465783,6146189.524235277,-9999.0
163,163,1613720.697553273,6146115.469920717,0.833772145
164,164,1613572.838841001,6146100.68883724,-9999.0
