OID,FID_,X,Y,BCE_Mangon
320,320,1650576.543284136,6126137.628309616,0.258295597
321,321,1649560.024291772,6126127.004718891,0.349039553
322,322,1650584.35883318,6126116.452474223,0.332090457
323,323,1649248.34758684,6126113.546461833,-0.456142846
324,324,1649567.827199522,6126107.037385839,1.028812508
325,325,1650592.816505216,6126096.827906867,0.403705792
326,326,1649432.086385099,6126100.579622184,-0.449268493
327,327,1650594.036277662,6126155.724267749,-0.205014054
328,328,1649255.902071292,6126087.146036869,-0.401915253
329,329,1649403.757081185,6126083.02222809,-0.060125
330,330,1649444.740676573,6126082.800003665,0.265983743
331,331,1649493.921182449,6126082.532930855,-0.803504137
332,332,1650600.988685671,6126082.769103541,0.296703454
333,333,1649461.107114078,6126077.72997351,0.28779167
334,334,1649576.001253921,6126071.920116438,0.428052632
335,335,1650608.85491487,6126066.689149223,0.348932052
336,336,1650747.653826221,6126068.998300747,0.194696101
337,337,1649477.419444904,6126062.69776842,0.441660138
338,338,1650616.763748995,6126056.440522335,0.211250021
339,339,1649493.758775369,6126052.646606031,0.472976281
340,340,1649583.75560064,6126052.361671748,0.785087711
341,341,1649247.989346098,6126054.462084879,0.11989319
342,342,1649272.420730297,6126048.864795366,-0.346511493
343,343,1649501.901369134,6126042.639943418,0.466834471
344,344,1649280.536586479,6126033.877316821,-0.30286667
345,345,1650625.499181172,6126033.50418535,0.399871951
346,346,1649288.679393988,6126023.870846845,-0.27872499
347,347,1649599.705703943,6126027.684928469,0.5640221
348,348,1650633.475012473,6126016.989396323,0.378338481
349,349,1650643.682414736,6126045.829024591,-0.297999971
350,350,1649256.145947945,6126024.990864703,0.367426007
351,351,1649419.772282404,6126013.198413474,-0.195299996
352,352,1650668.417888795,6126009.66195749,-9999.0
353,353,1649427.914920114,6126003.191816892,-0.091550004
354,354,1650641.528892847,6126002.576126281,0.242761554
355,355,1649264.160604236,6125999.610013776,0.446251651
356,356,1649436.061489378,6125993.913239622,0.115999999
357,357,1649649.003620656,6125992.231789907,0.560816086
358,358,1650774.200225716,6126016.498948956,0.521908756
359,359,1649312.884597017,6125983.685858058,-0.187157897
360,360,1650649.396583059,6125982.133846465,0.396931043
361,361,1649272.393281093,6125980.015122147,0.479619355
362,362,1649672.825762627,6125974.01993469,0.469321911
363,363,1649698.187548558,6125961.871999863,1.069320614
364,364,1649280.651886256,6125960.513214813,0.47464615
365,365,1650657.655197385,6125958.504916597,0.954604543
366,366,1649288.603239003,6125944.548232621,0.48826715
367,367,1649320.867775421,6125944.201539128,-0.031298245
368,368,1649712.248845951,6125949.082872484,2.189078983
369,369,1650665.302712028,6125936.647559569,0.782806169
370,370,1649296.440696639,6125934.224842931,0.405604935
371,371,1649722.614361945,6125931.851486215,3.583377981
372,372,1650673.36524681,6125916.65156102,0.863500021
373,373,1649304.941359128,6125921.109864824,0.440187057
374,374,1649730.533019429,6125911.679084237,2.255680364
375,375,1649319.312399508,6125902.461800516,0.51308982
376,376,1649330.26187315,6125885.880044651,0.499087497
377,377,1649345.249731571,6125874.131542053,0.371075004
378,378,1649730.317774507,6125872.239111339,0.941915309
379,379,1649369.695724201,6125844.13392919,0.459124997
380,380,1650682.180851367,6125832.522855474,1.547365231
381,381,1649386.001612802,6125824.145936132,0.543291121
382,382,1649394.156924161,6125814.154830767,0.584379738
383,383,1650698.570695533,6125893.338545508,0.127660638
384,384,1649410.441206057,6125804.037882105,0.616666646
385,385,1649721.962039997,6125812.305761028,0.315024997
386,386,1649762.890114316,6125802.119885217,0.735275011
387,387,1650689.675135055,6125809.045128589,1.227375213
388,388,1650697.240313555,6125787.013563272,0.614399115
389,389,1649426.726099805,6125784.024687878,0.720674986
390,390,1649787.374688181,6125782.789298143,0.908641503
391,391,1649803.713177336,6125772.737566485,0.616867898
392,392,1649820.05163069,6125762.685804979,0.849777777
393,393,1650707.086063317,6125762.141978091,0.481637239
394,394,1649448.929883859,6125761.229296362,0.770685528
395,395,1649836.386066377,6125751.905986255,1.639219556
396,396,1650733.650295388,6125769.596313396,-9999.0
397,397,1649467.492103089,6125743.953713683,0.829333326
398,398,1650713.29478748,6125727.142689843,0.487864775
399,399,1649854.340744583,6125733.900267521,1.63420884
400,400,1649491.919065873,6125713.933751445,0.776599977
401,401,1649868.953744814,6125711.878019023,1.093918727
402,402,1650745.997281709,6125712.016939465,-9999.0
403,403,1649877.638740203,6125691.905587374,1.316860024
404,404,1649508.176553005,6125688.939334994,0.732162497
405,405,1650714.414835186,6125677.518415153,0.501879515
406,406,1649516.291728129,6125673.951574675,0.700274992
407,407,1649885.726044618,6125671.936419903,1.062499995
408,408,1649524.433949952,6125663.944882289,0.671044458
409,409,1650720.505375301,6125657.365320321,0.649559746
410,410,1649626.888463357,6125663.387433609,0.048608696
411,411,1649893.813312734,6125651.967244271,0.95822292
412,412,1649614.485424804,6125643.530092448,0.036590909
413,413,1649901.357455297,6125641.963483924,0.895900004
414,414,1649913.952660407,6125612.321960577,0.942345895
415,415,1649931.592259484,6125589.235552108,1.609028936
416,416,1649946.055081485,6125571.981431947,1.899621777
417,417,1650905.022310286,6125567.022740005,0.380232592
418,418,1649387.397979945,6125573.072614367,0.742565084
419,419,1649318.931784993,6125555.472724654,0.559897418
420,420,1649958.626100926,6125555.50825508,2.21519086
421,421,1650179.883824423,6125548.533525955,-9999.0
422,422,1650200.044931976,6125551.001705308,0.502733361
423,423,1650731.001634344,6125584.041000629,0.128912836
424,424,1650865.807109108,6125552.833094072,0.273057424
425,425,1649302.489295863,6125546.327323163,0.499061393
426,426,1649584.878431494,6125556.383684829,2.030398682
427,427,1649974.578143023,6125541.937681246,1.559689154
428,428,1650147.14836359,6125538.147553074,0.414857179
429,429,1650695.848767436,6125537.95298763,0.591300001
430,430,1649277.846658483,6125536.498198004,0.548175427
431,431,1649986.817870402,6125531.90808501,1.610102047
432,432,1650187.458956232,6125531.009403378,0.634696393
433,433,1650687.597086645,6125528.03643364,0.541505879
434,434,1649018.99119638,6125521.27357904,-0.275000009
435,435,1650935.889930806,6125532.257511404,0.376727847
436,436,1649118.287562719,6125507.324912679,0.474198195
437,437,1650186.34472991,6125501.480223156,0.548527105
438,438,1649026.44012679,6125510.154038726,0.246153842
439,439,1649060.425854871,6125496.74511686,0.612448263
440,440,1649186.060716026,6125511.646350836,0.462030475
441,441,1650299.723705809,6125520.411596958,0.556265285
442,442,1650357.491577334,6125492.507690065,0.714283128
443,443,1650647.86633709,6125487.22438961,0.492202901
444,444,1650098.89991218,6125512.515399139,1.335092277
445,445,1650166.389379542,6125515.250155009,1.100709544
446,446,1650332.660540784,6125487.404234341,0.781333766
447,447,1649073.191567101,6125482.650480362,0.648407065
448,448,1650390.166241037,6125472.40211805,0.712611098
449,449,1650662.671949564,6125467.672161369,-0.256999992
450,450,1650987.872286199,6125480.976401492,0.347008962
451,451,1651208.114484875,6125463.978053941,0.580430882
452,452,1649050.813838909,6125470.062451683,0.320545457
453,453,1650421.353916934,6125459.563064993,0.704186037
454,454,1651187.180721834,6125456.234166999,0.535568629
455,455,1650441.272409262,6125450.431839781,0.706909081
456,456,1650498.641618602,6125449.385992591,0.79965
457,457,1650646.502783196,6125452.940470218,-0.281774413
458,458,1651024.847444892,6125448.446706392,0.2686568
459,459,1651088.766494372,6125446.096023576,0.504565624
460,460,1649059.735645168,6125451.406388049,0.519666687
461,461,1650373.513319873,6125450.078675409,0.697135646
462,462,1650804.579989848,6125438.125787226,0.380324792
463,463,1651055.759006156,6125436.522886502,-0.08235715
464,464,1651096.906803679,6125436.087901114,0.474250006
465,465,1651129.89785228,6125435.60257243,0.280746671
466,466,1651163.319984843,6125445.387862568,0.596121619
467,467,1649695.476971667,6125434.08166456,0.715821427
468,468,1650514.75655101,6125429.576042424,0.533508765
469,469,1650609.17744822,6125428.499070392,0.05207144
470,470,1650629.669743736,6125428.733804527,-0.836999953
471,471,1651194.74148727,6125426.085848621,3.883201183
472,472,1649066.942145444,6125438.842111496,-0.050078937
473,473,1649089.455023742,6125447.965019633,0.330302939
474,474,1650580.378191919,6125408.354586015,0.316641503
475,475,1649104.856642223,6125407.396765674,0.433368428
476,476,1650559.836510834,6125399.234256496,0.440962501
477,477,1650940.789806657,6125397.316547516,0.454947372
478,478,1650539.290933906,6125389.385821001,0.390425011
479,479,1649078.969080157,6125406.662456033,0.27131249
480,480,1649686.836066489,6125384.270877651,1.361825
481,481,1649703.217639601,6125374.108759256,0.275194101
482,482,1650896.199451562,6125374.1886486,0.588476683
483,483,1651077.627325272,6125373.555344581,0.718860609
484,484,1651135.691808237,6125396.462857344,0.920741909
485,485,1649089.83400969,6125374.827987101,0.781106386
486,486,1650911.614804678,6125356.844939118,0.53214677
487,487,1651096.686753138,6125362.17233228,1.136215595
488,488,1649594.282931539,6125401.795687449,0.715824775
489,489,1649711.292404675,6125359.072721582,0.553675004
490,490,1650858.717343206,6125347.758413931,3.05286162
491,491,1651112.948082922,6125353.24665392,1.03784646
492,492,1650924.063434998,6125337.63523073,0.626275849
493,493,1650983.218550398,6125382.722262202,0.424070209
494,494,1649098.456220339,6125344.607291931,0.846674988
495,495,1649513.679194845,6125336.810625509,2.663615353
496,496,1650881.72695315,6125335.85749544,2.607593687
497,497,1650989.487789832,6125327.351167504,-9999.0
498,498,1649696.465554325,6125323.336387008,0.588577768
499,499,1650981.096664097,6125307.537633919,3.950044709
500,500,1649105.438485614,6125320.01582662,0.815955544
501,501,1649497.373476805,6125309.856065513,1.025701768
502,502,1650941.189011875,6125313.485288047,1.165786904
503,503,1650973.18391025,6125297.306340531,2.038146318
504,504,1649112.575310304,6125287.601606776,0.799992281
505,505,1649690.524166536,6125287.473402626,0.659039269
506,506,1650964.876405576,6125277.427879532,1.588757323
507,507,1649505.903010456,6125270.529084837,0.984643803
508,508,1650918.403190559,6125291.183689195,1.223027898
509,509,1650972.960955344,6125257.457696823,1.69497499
