OID,FID_,X,Y,BCE_Ruatan
108,108,1572388.518924507,5498002.328270151,0.686729047
109,109,1571860.647089854,5497948.584194723,0.212773914
110,110,1571822.7605465,5497928.497768286,0.304860981
111,111,1572045.960164143,5497973.927603193,0.801931884
112,112,1571858.141640036,5497914.144235112,0.871126404
113,113,1572055.080342742,5497917.151868225,0.535875818
114,114,1571710.765520468,5497950.541205456,1.247514374
115,115,1571943.402938358,5497888.235383493,1.113317468
116,116,1572098.429836656,5497892.014637914,0.477387458
117,117,1571978.630606169,5497869.258604583,0.200080005
118,118,1572000.841659935,5497868.834582086,0.996570376
119,119,1572127.774208315,5497871.329523101,0.442135132
120,120,1572043.491816144,5497851.250979699,0.679906905
121,121,1572140.622072913,5497853.900512341,0.664844687
122,122,1572107.666234118,5497839.399574907,0.769595493
123,123,1572020.412005265,5497800.51076141,0.128456854
124,124,1571904.026799986,5497808.454835898,0.647114579
125,125,1572162.604918555,5497758.135182669,0.714464624
126,126,1572362.332908422,5497751.243011206,0.62648077
127,127,1572191.157172393,5497739.743442501,0.43969072
128,128,1572560.483894291,5497727.41399218,0.485542859
129,129,1572472.716010923,5497723.843449046,0.069376263
130,130,1572529.142876506,5497716.187448759,0.310019233
131,131,1572461.391591375,5497696.563464478,-0.151349995
132,132,1572230.932000759,5497710.40382963,0.572757074
133,133,1572367.765955261,5497691.581833641,0.853827238
134,134,1572446.669456165,5497571.866028411,0.024914282
135,135,1572287.520502558,5497463.719773,-0.222999999
136,136,1573088.594478169,5497464.53313373,-0.099283783
137,137,1572181.395895418,5497451.220362201,-0.358999997
138,138,1572468.550153857,5497510.957158789,0.832368979
139,139,1571203.859011828,5497369.686808106,-0.299936606
140,140,1571270.750660912,5497348.040449824,-0.301999986
141,141,1572042.284751127,5497350.351799535,-0.344968251
142,142,1571335.113094433,5497338.173514575,1.160315077
143,143,1572470.372428646,5497373.727340481,0.844899519
144,144,1572527.604678582,5497345.658712334,0.522074628
145,145,1571202.54021033,5497317.862030045,-0.255685715
146,146,1571120.025714025,5497314.781676424,-0.129614286
147,147,1571031.879054235,5497277.660886814,-0.200205879
148,148,1571094.560860778,5497290.762174665,-0.05324701
149,149,1571472.201962133,5497279.016592434,0.339440001
150,150,1571490.627773376,5497279.087323603,0.726320003
151,151,1571810.034851504,5497280.306147458,0.001099996
152,152,1571639.258547678,5497269.68469913,-0.039596713
153,153,1572586.893734829,5497301.967092419,0.963511153
154,154,1571531.625997283,5497270.646515159,0.21253509
155,155,1571696.234577723,5497259.930567553,1.287989471
156,156,1571756.96841345,5497260.161710787,-0.009954542
157,157,1573032.079154071,5497266.721738425,-0.593999982
158,158,1571038.425967833,5497259.922158794,-0.054427562
159,159,1572138.586925379,5497281.806605878,1.269013322
160,160,1571362.413864963,5497236.834924635,-0.217809509
161,161,1571654.556148421,5497239.828737616,-0.329360649
162,162,1572993.88281437,5497246.076045527,-9999.0
163,163,1571285.549985349,5497226.468784524,-0.301999986
164,164,1572669.2592854,5497273.00327117,0.834804672
165,165,1571324.519939762,5497212.6094529,-0.301999986
166,166,1572322.737990652,5497212.433787961,-0.756418088
167,167,1572994.637703985,5497204.935128232,2.325971421
168,168,1572996.84113249,5497178.906629684,-0.185286336
169,169,1571701.879102762,5497151.787399448,0.043175823
170,170,1573015.690248567,5497158.570538701,0.150073853
171,171,1571809.957617924,5497121.396081152,0.304586212
172,172,1573047.026385086,5497133.663479939,0.413838795
173,173,1572301.363698482,5497103.367364704,-0.59374802
174,174,1572523.7695625,5497103.49423288,-0.132095229
175,175,1572316.850659746,5497093.480327099,-0.832042007
176,176,1573070.951962209,5497095.526425204,2.261392405
177,177,1572608.950037045,5497090.575547044,0.300616755
178,178,1571755.730505236,5497112.988461199,1.436335362
179,179,1573080.232533145,5497062.257144311,1.910511184
180,180,1572434.002471408,5497076.519766405,-0.002132327
181,181,1573093.943313264,5497035.781151968,1.761075009
182,182,1571780.457701755,5497006.010283967,0.758398149
183,183,1571801.397112483,5497023.429837158,0.330980506
184,184,1572395.343213366,5496999.10382143,-0.802993447
185,185,1572722.621436728,5497029.442552055,0.661476857
186,186,1573081.475180565,5496999.678557374,0.175245283
187,187,1571781.4488501,5496966.055691553,1.331249991
188,188,1572847.609005632,5496970.081241651,0.158877966
189,189,1573055.553321806,5496967.61760274,-0.065102046
190,190,1571818.523103848,5496973.12878444,1.991849889
191,191,1572404.673575031,5496948.634506078,0.15512767
192,192,1572829.250429628,5496943.875340744,0.326775511
193,193,1572957.016153992,5496888.27221336,-0.342583328
194,194,1572422.256955412,5496898.374087117,0.50356429
195,195,1571748.746342924,5496897.885130323,0.90258738
196,196,1572926.989999283,5496867.299711565,-0.828347825
197,197,1572445.419915116,5496863.747584934,0.382183409
198,198,1572456.942465178,5496843.966424922,-0.002379747
199,199,1572342.817336712,5496833.173123486,0.575899999
200,200,1572434.816177941,5496840.601533332,-0.755576262
201,201,1572427.788522291,5496803.575077943,1.014313442
202,202,1572407.802005163,5496793.949790449,0.154033328
203,203,1571757.792707109,5496798.291175862,0.885593038
204,204,1572620.228693178,5496871.269168695,0.771915082
205,205,1572310.602363381,5496810.757955412,0.339324898
206,206,1572440.72774733,5496754.066299842,0.405286272
207,207,1571835.266745729,5496734.36469106,-0.175452395
208,208,1572103.489952693,5496733.931083048,1.324042247
209,209,1571858.144888636,5496724.8433867,0.145066664
210,210,1572187.567781311,5496716.536002865,1.449227768
211,211,1571986.771172283,5496705.828051649,-0.607956519
212,212,1572437.955467114,5496646.484376844,0.068495976
