OID,FID_,X,Y,BCE_Patter
152,152,1221382.860779936,4794372.434772689,-9999.0
153,153,1221346.991221803,4794318.203933431,-9999.0
154,154,1218113.21158244,4794161.415452089,-9999.0
155,155,1231576.315420296,4794914.465096298,-9999.0
156,156,1224585.18219606,4794470.896206938,-9999.0
157,157,1231460.250008749,4794898.028536987,-9999.0
158,158,1231487.972504705,4794903.427864321,-9999.0
159,159,1231556.830125358,4794907.765585746,-9999.0
160,160,1224366.372646215,4794448.677951135,-9999.0
161,161,1223959.317453609,4794393.731679429,-9999.0
162,162,1224303.894555078,4794425.106345383,-9999.0
163,163,1223966.58072925,4794383.880108987,-9999.0
164,164,1224233.205020939,4794485.148303236,-9999.0
165,165,1224596.723426022,4794442.163180672,-9999.0
166,166,1224316.146693855,4794401.396819104,-9999.0
167,167,1231371.782927228,4794815.075692238,-9999.0
168,168,1221597.615065064,4794256.574591243,-9999.0
169,169,1224597.788857889,4794389.879489918,-9999.0
170,170,1224291.019583317,4794326.864466408,-9999.0
171,171,1231334.183118709,4794760.509439129,-9999.0
172,172,1224169.723171352,4794308.182283184,-9999.0
173,173,1224236.666620404,4794320.564895784,-9999.0
174,174,1223895.093478662,4794277.502777995,-9999.0
175,175,1231306.588929283,4794736.869513098,-9999.0
176,176,1224294.031353743,4794301.140382327,-9999.0
177,177,1224534.229466028,4794333.994556305,-9999.0
178,178,1224336.641513508,4794286.8949485,-9999.0
179,179,1231281.542183849,4794717.103920572,-9999.0
180,180,1224330.429664793,4794276.483893421,-9999.0
181,181,1231115.843457059,4794689.400688589,-9999.0
182,182,1231256.864628404,4794698.080979667,-9999.0
183,183,1217266.918279521,4793810.880735753,-9999.0
184,184,1221613.015670885,4794124.866439191,-9999.0
185,185,1223934.92796709,4794231.509610052,-9999.0
186,186,1224023.770643453,4794254.46013909,-9999.0
187,187,1223778.509371201,4794210.330235781,-9999.0
188,188,1224658.857865423,4794273.494572229,-9999.0
189,189,1224392.308274924,4794262.680834667,-9999.0
190,190,1217591.435577688,4793922.036331099,-9999.0
191,191,1217562.786585962,4793787.263735028,-9999.0
192,192,1217018.940875471,4793780.042193255,-9999.0
193,193,1223862.270249023,4794192.063352376,-9999.0
194,194,1224451.343545762,4794214.553645007,-9999.0
195,195,1223794.155601805,4794162.89052213,-9999.0
196,196,1224089.897800853,4794182.361505231,-9999.0
197,197,1223738.247479947,4794156.940637235,-9999.0
198,198,1224110.328126856,4794174.521398293,-9999.0
199,199,1224468.715550041,4794199.650767331,-9999.0
200,200,1224488.867078035,4794190.165837428,-9999.0
201,201,1224817.07062189,4794223.664779383,-9999.0
202,202,1230910.370776207,4794596.339875066,-9999.0
203,203,1219974.343769705,4793870.128506131,-9999.0
204,204,1219924.635973964,4793847.505531923,-9999.0
205,205,1230551.710459301,4794504.947080794,-9999.0
206,206,1216875.769881601,4793639.808531504,-9999.0
207,207,1224472.505565583,4794115.347434789,-9999.0
208,208,1216899.439904028,4793624.940824305,-9999.0
209,209,1224891.331193333,4794130.366101615,-9999.0
210,210,1219936.420726169,4793814.356969265,-9999.0
211,211,1224815.431770674,4794125.794214697,-9999.0
212,212,1216941.947055154,4793606.716620508,-9999.0
213,213,1221582.870627093,4793975.71419778,-9999.0
214,214,1219869.83591426,4793783.503222332,-9999.0
215,215,1221559.104496044,4793892.571103769,-9999.0
216,216,1216997.656760894,4793589.42791234,-9999.0
217,217,1219921.926302391,4793776.601992851,-9999.0
218,218,1219875.003273941,4793764.176579068,-9999.0
219,219,1224987.723036515,4794087.071369219,-9999.0
220,220,1216985.443366209,4793568.907786063,-9999.0
221,221,1219885.727727077,4793754.050550408,-9999.0
222,222,1224995.36377343,4794077.877844851,-9999.0
223,223,1225009.478913538,4794068.482733311,-9999.0
224,224,1221490.117611761,4793865.020720954,-9999.0
