OID,FID_,X,Y,BCE_Raglan
248,248,1764048.658226257,5814163.295879038,-0.304142846
249,249,1763994.373711486,5814142.306781275,0.587282049
250,250,1763162.445518347,5814256.884685341,0.101655451
251,251,1764028.874003583,5814134.151115187,-0.379188675
252,252,1764200.632700061,5814154.257592979,0.216750519
253,253,1764284.943227074,5814187.312040429,-0.437859202
254,254,1763973.431269898,5814125.411046845,0.574470562
255,255,1764190.213106746,5814120.168197718,0.336946426
256,256,1764229.920865016,5814119.583240723,-0.411215196
257,257,1764008.120294684,5814114.24450584,-0.258909102
258,258,1764218.293144364,5814109.168239022,-0.24741666
259,259,1763897.552518247,5814116.241661019,0.779066655
260,260,1763933.620959298,5814101.925531133,0.485032609
261,261,1763956.042572316,5814094.546781621,0.149245286
262,262,1764160.704810043,5814098.579936384,-0.154241382
263,263,1764205.761253618,5814090.357434931,-0.324018847
264,264,1763905.661764589,5814086.439101732,0.301708331
265,265,1764197.325974778,5814080.138364884,-0.274611114
266,266,1764243.517960168,5814098.685991433,-0.659374995
267,267,1764172.877767378,5814064.604224238,0.030892431
268,268,1765240.646009957,5814019.564769056,0.831999993
269,269,1765264.37221734,5814019.088094659,1.4408481
270,270,1764140.978067346,5814031.819184974,-0.042272729
271,271,1764179.409483703,5814015.193710185,0.138169946
272,272,1764124.321902882,5813982.083529334,-0.164999971
273,273,1764119.770879613,5813952.258458012,0.063525012
274,274,1765307.939534282,5813909.822388605,0.939888888
275,275,1764876.96445798,5813909.383918396,1.032857145
276,276,1764161.685701197,5813923.493821284,0.181252905
277,277,1765317.228961122,5813893.375619869,0.967037502
278,278,1764197.180935111,5813870.889924794,0.343213838
279,279,1764949.073080521,5813837.93815045,1.142833946
280,280,1764113.473246082,5813842.900305089,-0.893685175
281,281,1764026.081843446,5813824.699701474,-0.707185226
282,282,1764210.544487861,5813818.72127318,0.994035292
283,283,1764136.558595012,5813802.344037184,-0.736786661
284,284,1764222.574379038,5813799.893565088,0.590360001
285,285,1764147.433273857,5813754.339045296,-0.555840592
286,286,1764230.681862803,5813765.127282724,1.077849175
287,287,1764026.054810123,5813755.935287085,-0.606417566
288,288,1764131.055655346,5813737.207606453,-0.475277517
289,289,1764106.854661027,5813718.486717024,-0.74086794
290,290,1764147.059537239,5813712.971075718,-0.496233629
291,291,1764086.764585681,5813693.853785966,-0.517232139
292,292,1764146.661643727,5813693.035085955,-0.576754738
293,293,1764276.349431832,5813689.350087449,0.495191175
294,294,1764284.227027199,5813679.487299475,0.282027775
295,295,1764616.427110271,5813673.297263152,0.169851849
296,296,1765288.54288801,5813649.699978937,1.737512802
297,297,1764047.764681776,5813670.013691153,-0.467095707
298,298,1767300.247446629,5813568.941017163,0.424664427
299,299,1764019.561981886,5813625.888233131,-0.487031262
300,300,1764030.126350935,5813614.792428413,-0.616750011
301,301,1764169.309274766,5813638.228292383,-0.521685805
302,302,1764071.676790314,5813524.423683299,-0.440910818
303,303,1764754.275965094,5813516.760757781,0.768426074
304,304,1764083.495703658,5813514.008168712,-0.649327248
305,305,1764094.728562923,5813568.885543068,-0.291014322
306,306,1764248.660014175,5813481.210710852,-0.534309103
307,307,1767459.750010335,5813426.21482467,0.830348478
308,308,1764093.698237539,5813476.020196695,-0.520149813
309,309,1764068.355529129,5813460.732416554,0.119183007
310,310,1764240.154601753,5813451.464653178,-0.072648148
311,311,1764268.218196495,5813441.308698349,-0.495819042
312,312,1764111.596500482,5813440.558772941,-0.512310922
313,313,1763890.793234427,5813417.84409868,1.326134614
314,314,1764074.3162666,5813395.462596864,0.013698724
315,315,1764122.12185376,5813338.078736304,1.375610781
316,316,1764068.178209336,5813305.694538593,-0.320852936
317,317,1764065.707907839,5813267.633569285,-0.118404627
318,318,1764086.742094191,5813258.329954735,0.017408719
319,319,1764686.260358714,5813203.142276238,1.110623346
320,320,1764079.264504147,5813022.921206907,0.495461912
321,321,1764559.950592648,5812996.708158058,-0.210963293
322,322,1764531.823066414,5812966.77073417,-0.769468079
323,323,1764538.969238009,5812957.382858246,-0.756745431
324,324,1764853.684848784,5812945.215591691,0.768265632
325,325,1764524.912959382,5812936.992993166,-0.603702692
326,326,1764550.646467565,5812927.090332742,-0.61958491
327,327,1764597.663747655,5812925.564960867,-0.818743572
328,328,1764071.506045902,5812921.122982123,0.566373393
329,329,1764577.340113489,5812906.23552146,-0.751867939
330,330,1764116.620049678,5812910.051365205,0.910461541
331,331,1764813.902820187,5812831.48515983,0.337921564
332,332,1764013.010316123,5812830.861531046,0.492454545
333,333,1763943.276565828,5812809.059302513,0.110268294
334,334,1764871.151235785,5812768.788877224,0.581688822
335,335,1764898.26949224,5812749.425863061,-0.423507671
336,336,1764906.406302084,5812739.866587354,-0.481103911
337,337,1764944.799982359,5812689.459541126,-0.33352726
