OID,FID_,X,Y,BCE_Aotea_
286,286,1762190.908089748,5795381.89442791,0.078265936
287,287,1762466.911612397,5795399.186385319,-0.377020558
288,288,1762472.744350621,5795361.661147169,-0.392527267
289,289,1761341.102101773,5795370.269198471,0.236814812
290,290,1761601.493347105,5795365.126379292,0.332861108
291,291,1762382.339791716,5795356.342518162,-0.398706975
292,292,1762009.877830324,5795358.541932292,0.202103217
293,293,1762472.629320637,5795337.51210203,-0.406444448
294,294,1762045.456689259,5795330.838416439,0.136798508
295,295,1762373.521545956,5795324.626705784,-0.422840372
296,296,1762480.123750236,5795317.41883512,-0.540277782
297,297,1762500.433157935,5795317.391730762,-0.600138895
298,298,1763159.448502196,5795303.681926642,-9999.0
299,299,1764081.031717138,5795460.938749473,0.110002275
300,300,1761840.504465484,5795324.340471201,0.233376147
301,301,1762592.87954973,5795321.502200708,-9999.0
302,302,1760623.862450896,5795338.972466127,-0.612074771
303,303,1761036.138855549,5795358.902449906,-0.418157438
304,304,1762134.997963683,5795330.72488671,0.058311598
305,305,1762422.463136465,5795320.070412417,-0.468184437
306,306,1763805.605975047,5795275.802528156,-0.04331624
307,307,1761039.224436269,5795315.219970661,-0.468435177
308,308,1762446.597338383,5795296.432115799,-0.522241253
309,309,1761085.321715499,5795319.287099929,-0.177278736
310,310,1761263.347855914,5795386.177816578,0.270317413
311,311,1762301.846659566,5795401.397177959,-0.062895398
312,312,1763670.811294914,5795253.779365896,-0.030277779
313,313,1764853.562664658,5795229.830107696,0.641625013
314,314,1761776.872068393,5795281.504412121,0.358415088
315,315,1762573.968860348,5795281.473648109,-9999.0
316,316,1763150.19352903,5795264.315397561,-9999.0
317,317,1763587.282710566,5795235.974156485,-0.217314814
318,318,1764395.327803912,5795215.863032278,0.589531234
319,319,1761046.32354388,5795276.451332662,-0.437925919
320,320,1761389.840681389,5795269.209735701,0.232482148
321,321,1762289.363576689,5795251.402715858,-0.375833336
322,322,1761409.070645789,5795267.714668836,0.259990023
323,323,1762372.708245246,5795271.786378635,-0.484309942
324,324,1761207.965022109,5795252.853955898,0.150090911
325,325,1761591.380010813,5795251.78968057,0.353885242
326,326,1761854.706897623,5795244.28231629,0.348799997
327,327,1762257.405663779,5795232.092752428,-0.344094341
328,328,1762367.864951164,5795229.484176506,-0.535072729
329,329,1761405.031366308,5795238.993553145,0.234814813
330,330,1761811.038210364,5795242.627750702,0.371209736
331,331,1761906.662226968,5795229.450967526,0.275514284
332,332,1761286.476956295,5795231.361232514,0.276407408
333,333,1762490.363143764,5795207.898064411,-9999.0
334,334,1760574.125664966,5795254.173006658,-0.023022687
335,335,1761567.685547498,5795229.700320555,0.33820435
336,336,1764253.268821526,5795162.112507291,0.306537498
337,337,1760504.925887038,5795226.798702786,0.022781818
338,338,1761907.552532928,5795200.806997548,0.32662393
339,339,1764245.178075639,5795152.302687555,0.164662499
340,340,1761696.191938423,5795193.351498722,0.361509092
341,341,1762303.561481216,5795171.343626421,-0.482903837
342,342,1761327.877658282,5795243.686696132,0.174382694
343,343,1761922.682806812,5795149.64228096,0.378099526
344,344,1760535.627369867,5795193.118441634,0.016741953
345,345,1761072.359546847,5795199.835321961,-0.41568785
346,346,1761807.095171396,5795141.815953031,0.399360759
347,347,1761869.840389329,5795146.377894218,0.375263515
348,348,1761892.46701894,5795139.606379472,0.381145443
349,349,1762474.148800887,5795117.886524686,-9999.0
350,350,1763352.00032178,5795100.600197318,-0.313454548
351,351,1761580.364323396,5795140.101490646,0.156409145
352,352,1761130.371381359,5795129.836522277,-0.435464796
353,353,1761234.431637984,5795184.338446907,0.140417578
354,354,1761347.788777297,5795130.222715374,-0.09568214
355,355,1763322.759365365,5795123.16430532,-0.468778659
356,356,1764243.319457532,5795062.511482198,1.340710498
357,357,1761699.81511871,5795117.443111325,0.383098591
358,358,1761825.333628586,5795107.55231702,0.39432967
359,359,1762265.010794964,5795108.628869917,-0.545754762
360,360,1762368.639227972,5795098.548659816,-0.633623609
361,361,1761404.873662749,5795103.46443113,-0.106015875
362,362,1761554.039568305,5795106.918780678,0.081158788
363,363,1761862.318880358,5795084.447734224,0.401402121
364,364,1762424.466217601,5795069.597282315,-0.648354843
365,365,1763300.299669522,5795052.148569313,-0.410537733
366,366,1764246.099559797,5795042.626130494,0.832639056
367,367,1762369.03552822,5795060.726275304,-0.440138895
368,368,1762399.748387716,5795066.530582025,-0.307659453
369,369,1763319.243651365,5795041.421347757,-0.349254546
370,370,1761494.569354423,5795081.553783515,0.085618897
371,371,1762343.068212853,5795063.557636652,-0.553607744
372,372,1761202.143918721,5795065.854707916,-0.492713041
373,373,1761563.141289282,5795055.749241574,-0.088759655
374,374,1764264.691095582,5794990.517680499,0.703318203
375,375,1762185.904633642,5795024.563879254,-0.488551416
376,376,1762174.141535065,5795013.942152646,-0.48607409
377,377,1763514.241263862,5795141.283976843,-0.164449096
378,378,1761641.741639112,5795005.334673699,0.257981308
379,379,1762106.607773479,5795000.842807976,-0.327688681
380,380,1763306.596970658,5794972.244999431,-0.505242705
381,381,1762055.202079699,5794986.79995469,-0.207722218
382,382,1762079.126910935,5794991.103944493,-0.26600417
383,383,1761651.924267009,5794969.075293476,0.290564815
384,384,1764260.197514915,5794917.651676665,0.694107259
385,385,1762318.392878212,5794995.021368315,-0.455283823
386,386,1759679.408924402,5794983.485985369,0.99173334
387,387,1761052.153520744,5794956.762609876,-9999.0
388,388,1762322.538594011,5794926.441224405,-0.708272723
389,389,1759655.404788485,5794963.94376182,0.973346145
390,390,1764017.109255277,5794880.184263004,0.187488049
391,391,1764077.795878981,5794865.766011292,0.388885967
392,392,1760801.753541026,5794928.088307012,-0.21706818
393,393,1761497.746913622,5794908.459615866,-0.328962269
394,394,1762273.279351066,5794904.033983852,-0.584895836
395,395,1761567.247845295,5794934.380184308,0.036405241
396,396,1764049.161738734,5794837.457189215,0.396338027
397,397,1760808.52924225,5794897.402577003,-0.22863921
398,398,1761492.837496537,5794880.7957166,-0.391829791
399,399,1763421.599811764,5794884.805217874,-0.400430297
400,400,1760821.57175579,5794871.553631064,-0.268618191
401,401,1762021.779362129,5794892.264792105,-0.177467469
402,402,1763847.048170643,5794856.10829208,-0.118321941
403,403,1761949.948276556,5794832.551825657,-0.172903471
404,404,1762178.435793145,5794791.449585655,-0.617514922
405,405,1763707.774019479,5794734.482410968,-0.188418178
406,406,1761731.0299072,5794768.951076018,-0.67116666
407,407,1761793.080523676,5794769.982417087,-0.331707207
408,408,1763830.453701447,5794722.428768056,0.13612963
409,409,1761049.648456469,5794757.889729654,-0.431742139
410,410,1761821.055453795,5794722.190876269,-0.496727268
411,411,1762127.426160533,5794741.317576127,-0.688937844
412,412,1759584.195959725,5794755.988557219,0.867762512
413,413,1761820.801503603,5794701.316753528,-0.791000009
414,414,1761844.485930243,5794701.574965604,-0.71466127
415,415,1762041.736271591,5794697.666978009,-0.46737499
416,416,1764065.841802638,5794660.475459235,0.748753165
417,417,1761859.871169279,5794681.326050612,-9999.0
418,418,1761883.526754382,5794680.130446644,-0.656980013
419,419,1761949.104945996,5794965.079413849,-0.01596552
420,420,1762071.092066468,5794690.556668182,-0.656228843
421,421,1762846.79063437,5794670.838398816,-0.601205971
422,422,1763010.369400398,5794736.653472543,-0.523232311
